params,mean_score
"{'regressor__C': 105, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221638977558285
"{'regressor__C': 110, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221857693012876
"{'regressor__C': 100, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221940912681909
"{'regressor__C': 115, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.22275286902591
"{'regressor__C': 95, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2229416897142675
"{'regressor__C': 120, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.224130202851113
"{'regressor__C': 90, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.224694897464774
"{'regressor__C': 125, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2256413696522905
"{'regressor__C': 130, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.227100989409094
"{'regressor__C': 85, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.22755671365673
"{'regressor__C': 95, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.228312816158685
"{'regressor__C': 100, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.228498526896192
"{'regressor__C': 135, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.228713351994998
"{'regressor__C': 90, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.228900269681632
"{'regressor__C': 105, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.229062037876548
"{'regressor__C': 110, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.2303555917335265
"{'regressor__C': 140, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.230372154424106
"{'regressor__C': 85, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.23116190752344
"{'regressor__C': 115, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.2317282217491625
"{'regressor__C': 145, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.232022374530251
"{'regressor__C': 80, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.232691599217028
"{'regressor__C': 120, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.233215489027302
"{'regressor__C': 80, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.2343003048318115
"{'regressor__C': 125, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.234706490300448
"{'regressor__C': 90, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.236091890484573
"{'regressor__C': 85, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.236181661014047
"{'regressor__C': 95, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.236205124775402
"{'regressor__C': 130, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.2366651397132316
"{'regressor__C': 100, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.237045437161452
"{'regressor__C': 80, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.238084182017787
"{'regressor__C': 135, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.23829048467876
"{'regressor__C': 105, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.238302717354261
"{'regressor__C': 75, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.239498130670582
"{'regressor__C': 110, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.239759884693219
"{'regressor__C': 140, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.240170906575482
"{'regressor__C': 75, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2406302909337015
"{'regressor__C': 115, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.241421011908152
"{'regressor__C': 145, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.241960772219718
"{'regressor__C': 75, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.24223119868242
"{'regressor__C': 120, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.243260767458328
"{'regressor__C': 85, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.244190607485112
"{'regressor__C': 90, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.2446664851258635
"{'regressor__C': 125, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.244972049642691
"{'regressor__C': 80, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.245176718932239
"{'regressor__C': 95, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.245775153870283
"{'regressor__C': 130, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.246425743027113
"{'regressor__C': 75, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.247079349662652
"{'regressor__C': 100, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.247248483528237
"{'regressor__C': 70, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.248066730015666
"{'regressor__C': 135, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.248257688872602
"{'regressor__C': 70, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.248320619406677
"{'regressor__C': 105, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.248896817873022
"{'regressor__C': 140, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.250162491101716
"{'regressor__C': 110, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.250432556495289
"{'regressor__C': 115, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.251555760416826
"{'regressor__C': 145, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.251841477918996
"{'regressor__C': 70, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.251847227580045
"{'regressor__C': 70, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.252854102493387
"{'regressor__C': 120, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.2530946284632725
"{'regressor__C': 125, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.254669052651825
"{'regressor__C': 130, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.256305516308077
"{'regressor__C': 65, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.257536980172409
"{'regressor__C': 135, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.257870434029301
"{'regressor__C': 140, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.259372299442244
"{'regressor__C': 65, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.259414128950994
"{'regressor__C': 65, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.259805844349221
"{'regressor__C': 145, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.261041720501968
"{'regressor__C': 60, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.270414298155902
"{'regressor__C': 60, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.271255073222795
"{'regressor__C': 65, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.272014580807945
"{'regressor__C': 60, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.280125566231899
"{'regressor__C': 55, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.286984753094562
"{'regressor__C': 55, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.294695950867831
"{'regressor__C': 60, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.299089470248969
"{'regressor__C': 55, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.308779817251858
"{'regressor__C': 50, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.315167664698723
"{'regressor__C': 50, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.327706089823575
"{'regressor__C': 55, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.33529610535739
"{'regressor__C': 50, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.349861301951085
"{'regressor__C': 50, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.390629501240287
