params,mean_score
"{'regressor__C': 106.9, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.212989926616592
"{'regressor__C': 106.8, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213003437905792
"{'regressor__C': 106.7, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213021240021908
"{'regressor__C': 106.6, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.2130448810116965
"{'regressor__C': 106.5, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.2130604647518055
"{'regressor__C': 106.4, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213077315929141
"{'regressor__C': 106.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.21308671495564
"{'regressor__C': 106.2, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213109455856224
"{'regressor__C': 106.1, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213127120663816
"{'regressor__C': 106.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213146386739628
"{'regressor__C': 105.9, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.21315603511895
"{'regressor__C': 105.8, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213179332177836
"{'regressor__C': 105.7, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213197750956117
"{'regressor__C': 105.6, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213222471546017
"{'regressor__C': 105.5, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213234978908704
"{'regressor__C': 105.4, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213255863734357
"{'regressor__C': 105.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213277890977843
"{'regressor__C': 105.2, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213300284254857
"{'regressor__C': 105.1, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213323664859029
"{'regressor__C': 105.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213348013674923
"{'regressor__C': 104.9, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213371061535744
"{'regressor__C': 104.8, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213403415423604
"{'regressor__C': 104.7, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213434069285774
"{'regressor__C': 104.6, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213472558836841
"{'regressor__C': 104.5, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.2135035405504535
"{'regressor__C': 104.4, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213533605719687
"{'regressor__C': 104.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.21356115990427
"{'regressor__C': 104.2, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213598699606646
"{'regressor__C': 104.1, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213632396677933
"{'regressor__C': 104.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213665307073554
"{'regressor__C': 103.9, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213696477375514
"{'regressor__C': 103.8, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213727349079738
"{'regressor__C': 103.7, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213749628445717
"{'regressor__C': 103.6, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213776929849255
"{'regressor__C': 103.5, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.2138067568861155
"{'regressor__C': 103.4, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213841491449863
"{'regressor__C': 103.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.21386756250338
"{'regressor__C': 103.2, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213897243551556
"{'regressor__C': 103.1, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213924609190065
"{'regressor__C': 103.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",-4.213958192577919
"{'regressor__C': 106.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216851664515142
"{'regressor__C': 106.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.21686579356739
"{'regressor__C': 106.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216878223378783
"{'regressor__C': 106.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216894308229231
"{'regressor__C': 106.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216900399163916
"{'regressor__C': 106.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216909981694888
"{'regressor__C': 106.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216915283009084
"{'regressor__C': 106.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2169316288892995
"{'regressor__C': 106.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216944981662389
"{'regressor__C': 106.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2169568436430165
"{'regressor__C': 105.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.21696781884513
"{'regressor__C': 105.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2169860651246704
"{'regressor__C': 105.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.216999915752572
"{'regressor__C': 105.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217018301096733
"{'regressor__C': 105.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2170429855515605
"{'regressor__C': 105.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217058547693777
"{'regressor__C': 105.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217088130397563
"{'regressor__C': 105.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.21710525995517
"{'regressor__C': 105.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2171295729510785
"{'regressor__C': 105.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217145963342078
"{'regressor__C': 104.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217157926333902
"{'regressor__C': 104.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217177908842785
"{'regressor__C': 104.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217190232264899
"{'regressor__C': 104.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217201187937178
"{'regressor__C': 104.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2172114562965035
"{'regressor__C': 104.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217224678131654
"{'regressor__C': 104.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217235571927683
"{'regressor__C': 104.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2172503306761016
"{'regressor__C': 104.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217265869597472
"{'regressor__C': 104.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217283005408874
"{'regressor__C': 103.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217299165616728
"{'regressor__C': 103.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217310490208547
"{'regressor__C': 103.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217324666364105
"{'regressor__C': 103.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217347926012117
"{'regressor__C': 103.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217361946301605
"{'regressor__C': 103.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217377972359138
"{'regressor__C': 103.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217398528259197
"{'regressor__C': 103.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.21742102118883
"{'regressor__C': 103.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2174348546590155
"{'regressor__C': 103.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217461049634809
"{'regressor__C': 106.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221571137002116
"{'regressor__C': 106.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221572193578017
"{'regressor__C': 106.1, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2215737595336975
"{'regressor__C': 106.3, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221574387503661
"{'regressor__C': 106.5, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221575919175362
"{'regressor__C': 106.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221578160749342
