params,Trial,mean_score
"{'regressor__C': 670.0, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.42140113142218
"{'regressor__C': 670.0, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.091928111257957
"{'regressor__C': 670.0, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.690362372796777
"{'regressor__C': 670.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.391401209071732
"{'regressor__C': 670.0, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.17088832768159
"{'regressor__C': 670.0, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983908220350461
"{'regressor__C': 670.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.862611794058703
"{'regressor__C': 670.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.80955984464315
"{'regressor__C': 670.0, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.52200242784206
"{'regressor__C': 670.1, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.421191634721657
"{'regressor__C': 670.1, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.091820665766013
"{'regressor__C': 670.1, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.690339866737377
"{'regressor__C': 670.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.3912824625419
"{'regressor__C': 670.1, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170864759905836
"{'regressor__C': 670.1, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983795609575715
"{'regressor__C': 670.1, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.862556914903275
"{'regressor__C': 670.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.809448015889519
"{'regressor__C': 670.1, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.52139961895122
"{'regressor__C': 670.2, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.421067754236468
"{'regressor__C': 670.2, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.091691856699324
"{'regressor__C': 670.2, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.690169282119527
"{'regressor__C': 670.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.391162014495094
"{'regressor__C': 670.2, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170700952235983
"{'regressor__C': 670.2, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983684185832269
"{'regressor__C': 670.2, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.86243045933591
"{'regressor__C': 670.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.8094180496077
"{'regressor__C': 670.2, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.520810794746723
"{'regressor__C': 670.3, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.420918218224301
"{'regressor__C': 670.3, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.09158401877995
"{'regressor__C': 670.3, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.690154733806835
"{'regressor__C': 670.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.391069202578375
"{'regressor__C': 670.3, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170653082742119
"{'regressor__C': 670.3, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983615550290468
"{'regressor__C': 670.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.862364757160616
"{'regressor__C': 670.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.809262634086565
"{'regressor__C': 670.3, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.520235161155117
"{'regressor__C': 670.4, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.420735644687335
"{'regressor__C': 670.4, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.091456204724105
"{'regressor__C': 670.4, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689976554243325
"{'regressor__C': 670.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.39100214033443
"{'regressor__C': 670.4, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170589619266295
"{'regressor__C': 670.4, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.98358112477986
"{'regressor__C': 670.4, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.862293111045611
"{'regressor__C': 670.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.809196566752771
