params,mean_score
"{'regressor__C': 346.2, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694887845162143
"{'regressor__C': 346.8, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694889887949657
"{'regressor__C': 346.6, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.6948902635885625
"{'regressor__C': 346.4, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694894893874922
"{'regressor__C': 346.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694900763143828
"{'regressor__C': 345.8, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694901244475605
"{'regressor__C': 345.6, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.6949021390571355
"{'regressor__C': 345.2, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694906376189991
"{'regressor__C': 344.8, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.6949063992141795
"{'regressor__C': 345.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694907483099148
"{'regressor__C': 345.4, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694907846947696
"{'regressor__C': 344.4, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694918081070877
"{'regressor__C': 344.6, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.69491880873294
"{'regressor__C': 344.2, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694927954861073
"{'regressor__C': 344.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.6949312787156385
"{'regressor__C': 343.8, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694935299495519
"{'regressor__C': 343.2, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694948347212877
"{'regressor__C': 343.6, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694948534785047
"{'regressor__C': 343.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.6949495577274964
"{'regressor__C': 343.4, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694957788654319
"{'regressor__C': 346.8, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695284564979582
"{'regressor__C': 346.6, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695291515430184
"{'regressor__C': 346.4, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695324087642476
"{'regressor__C': 346.2, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695335587324266
"{'regressor__C': 346.0, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695342135978149
"{'regressor__C': 345.8, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.6953565661863275
"{'regressor__C': 345.6, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.6953792430831145
"{'regressor__C': 345.4, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695389096085186
"{'regressor__C': 345.2, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695405296239655
"{'regressor__C': 345.0, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695408487760404
"{'regressor__C': 344.8, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695423006836463
"{'regressor__C': 344.6, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695442043813128
"{'regressor__C': 344.4, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695454369846515
"{'regressor__C': 344.2, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695473079313391
"{'regressor__C': 344.0, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695484429275293
"{'regressor__C': 343.8, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.6954844966820755
"{'regressor__C': 343.6, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695496386604745
"{'regressor__C': 343.4, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695511219336277
"{'regressor__C': 343.2, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695527142603101
"{'regressor__C': 343.0, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695539528888826
"{'regressor__C': 343.0, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704876746404566
"{'regressor__C': 343.2, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704881636352772
"{'regressor__C': 344.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.7048864348077535
"{'regressor__C': 344.6, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704892276975893
"{'regressor__C': 345.0, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704892481303047
"{'regressor__C': 343.4, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704892612607463
"{'regressor__C': 343.6, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.7048936188755235
"{'regressor__C': 344.0, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704893995029275
"{'regressor__C': 345.2, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704895211928882
"{'regressor__C': 343.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704897617625425
"{'regressor__C': 344.2, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704898873255951
"{'regressor__C': 344.4, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704899017084441
"{'regressor__C': 345.4, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704900702438205
"{'regressor__C': 346.0, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704901261259234
"{'regressor__C': 345.6, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704902759483906
"{'regressor__C': 345.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704902916049003
"{'regressor__C': 346.2, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704908576752035
"{'regressor__C': 346.4, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.7049125975233475
"{'regressor__C': 346.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704914345761664
"{'regressor__C': 346.6, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704917223717493
"{'regressor__C': 346.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715445659993748
"{'regressor__C': 346.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715497602088735
"{'regressor__C': 346.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715552448591754
"{'regressor__C': 346.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715601751924139
"{'regressor__C': 346.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715651002659376
"{'regressor__C': 345.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715697484080268
"{'regressor__C': 345.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715749764673985
"{'regressor__C': 345.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715795368696892
"{'regressor__C': 345.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.71584591210248
"{'regressor__C': 345.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715888976902622
"{'regressor__C': 344.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.7159387172466465
"{'regressor__C': 344.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715983847431742
"{'regressor__C': 344.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716022049923206
"{'regressor__C': 344.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716059633242528
"{'regressor__C': 344.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716099162452178
"{'regressor__C': 343.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716136726527431
"{'regressor__C': 343.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716174271379372
"{'regressor__C': 343.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716217283963097
"{'regressor__C': 343.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716262679680899
"{'regressor__C': 343.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716308437168467
