params,mean_score
"{'regressor__C': 250, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.643009425268003
"{'regressor__C': 255, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.643057693730711
"{'regressor__C': 260, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.643916797626519
"{'regressor__C': 265, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.6447503968861055
"{'regressor__C': 270, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.645691679657669
"{'regressor__C': 275, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.646784468677454
"{'regressor__C': 280, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.6478850103753135
"{'regressor__C': 285, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.648766175431499
"{'regressor__C': 290, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.648832488326812
"{'regressor__C': 295, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.6489347800491245
"{'regressor__C': 300, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.649006919335018
"{'regressor__C': 305, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.649087728796007
"{'regressor__C': 310, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.6491857464513
"{'regressor__C': 315, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.649272372389151
"{'regressor__C': 320, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.649372230336684
"{'regressor__C': 325, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.649461224514323
"{'regressor__C': 330, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.649548515898312
"{'regressor__C': 335, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-5.649705429379006
