params,mean_score
"{'regressor__C': 450, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.639266776856653
"{'regressor__C': 455, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.63962451582159
"{'regressor__C': 460, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.639732715516698
"{'regressor__C': 465, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.63978096867725
"{'regressor__C': 470, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.63982725283027
"{'regressor__C': 475, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.63993441558707
"{'regressor__C': 480, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.6400686885465054
"{'regressor__C': 485, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640170878268538
"{'regressor__C': 490, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640268157168771
"{'regressor__C': 495, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640333321855698
"{'regressor__C': 500, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640419976538268
"{'regressor__C': 515, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640473340155699
"{'regressor__C': 505, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640496352538188
"{'regressor__C': 510, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640504358986274
"{'regressor__C': 520, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640551791073835
"{'regressor__C': 525, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.640769803003609
"{'regressor__C': 530, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.641144694791618
"{'regressor__C': 535, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.641383578351751
"{'regressor__C': 540, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.641481512920632
"{'regressor__C': 545, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-6.641607727991443
"{'regressor__C': 545, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.010815318187586
"{'regressor__C': 540, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.0109078259301905
"{'regressor__C': 535, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.011091522730489
"{'regressor__C': 530, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.01133402714244
"{'regressor__C': 525, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.011542945236972
"{'regressor__C': 520, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.011747562479858
"{'regressor__C': 515, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.011953467641917
"{'regressor__C': 510, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.012155339000867
"{'regressor__C': 505, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.012395088442286
"{'regressor__C': 500, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.012651888423644
"{'regressor__C': 495, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.012894973749039
"{'regressor__C': 490, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.013106528636839
"{'regressor__C': 485, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.013372991685644
"{'regressor__C': 480, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.0137122258625615
"{'regressor__C': 475, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.0141847785888345
"{'regressor__C': 470, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.014587462755199
"{'regressor__C': 465, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.014886528108403
"{'regressor__C': 460, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.015176095162948
"{'regressor__C': 455, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.015434871523151
"{'regressor__C': 450, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-7.015689138884177
"{'regressor__C': 545, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.397500125990854
"{'regressor__C': 540, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.397723977379238
"{'regressor__C': 535, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.397955516684743
"{'regressor__C': 530, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.398188070816471
"{'regressor__C': 525, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.398429425635733
"{'regressor__C': 520, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.398674792227829
"{'regressor__C': 515, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.398959578143282
"{'regressor__C': 510, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.399273914064566
"{'regressor__C': 505, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.3996031289256345
"{'regressor__C': 500, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.399993637280622
"{'regressor__C': 495, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.400444783646629
"{'regressor__C': 490, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.400917274155813
"{'regressor__C': 485, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.401371018373048
"{'regressor__C': 480, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.401823948768179
"{'regressor__C': 475, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.40226806877528
"{'regressor__C': 470, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.402848239138414
"{'regressor__C': 465, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.40344968346465
"{'regressor__C': 460, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.4040824140321035
