params,mean_score
"{'regressor__C': 304.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.78472169011367
"{'regressor__C': 304.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.784757012007222
"{'regressor__C': 304.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.784806605056906
"{'regressor__C': 304.6, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.784849246914677
"{'regressor__C': 304.5, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7848966251346616
"{'regressor__C': 304.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.784944690768685
"{'regressor__C': 304.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.78500061876121
"{'regressor__C': 304.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.785043032790429
"{'regressor__C': 304.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7850869395830617
"{'regressor__C': 304.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7851378338981885
"{'regressor__C': 303.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.785185775188384
"{'regressor__C': 303.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.785226732491812
"{'regressor__C': 303.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7852771096818585
"{'regressor__C': 303.6, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.785322344354579
"{'regressor__C': 303.5, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7853757522609834
"{'regressor__C': 303.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7854157920073312
"{'regressor__C': 303.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7854682154165364
"{'regressor__C': 303.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7855160955139477
"{'regressor__C': 303.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.7855616004875916
"{'regressor__C': 303.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-3.785615528698588
"{'regressor__C': 304.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.788521105481706
"{'regressor__C': 304.8, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7885483626521563
"{'regressor__C': 304.7, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.78856646771972
"{'regressor__C': 304.6, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7885906050767026
"{'regressor__C': 304.5, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7886169943843133
"{'regressor__C': 304.4, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7886407488778207
"{'regressor__C': 304.3, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.788675852541142
"{'regressor__C': 304.2, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.788697733521687
"{'regressor__C': 304.1, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7887268469267337
"{'regressor__C': 304.0, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.788754090387193
"{'regressor__C': 303.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.788782199367104
"{'regressor__C': 303.8, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7888090053981873
"{'regressor__C': 303.7, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7888403021853407
"{'regressor__C': 303.6, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.78886562158313
"{'regressor__C': 303.5, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7888861267388374
"{'regressor__C': 303.4, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.788918848684141
"{'regressor__C': 303.3, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.788948034522374
"{'regressor__C': 303.2, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7889712768734825
"{'regressor__C': 303.1, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.7889952377220393
"{'regressor__C': 303.0, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",-3.789028043799025
"{'regressor__C': 304.9, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8030695862138226
"{'regressor__C': 304.6, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8030781470060555
"{'regressor__C': 304.7, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8030798608801306
"{'regressor__C': 304.8, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8030804552758717
"{'regressor__C': 304.5, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.803080978385475
"{'regressor__C': 304.3, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.803085021605515
"{'regressor__C': 304.2, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8030888519317854
"{'regressor__C': 304.4, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.803089492167536
"{'regressor__C': 304.1, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.803098118055473
"{'regressor__C': 304.0, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031034054391757
"{'regressor__C': 303.9, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031066079830147
"{'regressor__C': 303.8, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031117306900173
"{'regressor__C': 303.7, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031171251312577
"{'regressor__C': 303.6, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.803123253418137
"{'regressor__C': 303.5, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.803130151379128
"{'regressor__C': 303.4, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031324405365026
"{'regressor__C': 303.3, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031424281309136
"{'regressor__C': 303.2, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.803143083690942
"{'regressor__C': 303.0, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031497036480646
"{'regressor__C': 303.1, 'regressor__gamma': 0.0005, 'regressor__kernel': 'rbf'}",-3.8031530457749225
"{'regressor__C': 303.1, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.8226068761122094
"{'regressor__C': 303.0, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.8226097878000838
"{'regressor__C': 303.2, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.822617439109927
"{'regressor__C': 303.3, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.822629680026863
"{'regressor__C': 303.4, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.8226364591919118
"{'regressor__C': 303.5, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.8226409645442403
"{'regressor__C': 303.6, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.822652797677744
"{'regressor__C': 303.8, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.822655381115967
"{'regressor__C': 303.7, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.822656513178204
"{'regressor__C': 303.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.822667403507339
"{'regressor__C': 304.0, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",-3.8226700070720185
