params,mean_score
"{'regressor__C': 345, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.694907483099148
"{'regressor__C': 340, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.695146450534521
"{'regressor__C': 345, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.695408487760404
"{'regressor__C': 335, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.695496996847802
"{'regressor__C': 340, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.69567190011769
"{'regressor__C': 330, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.695851338483226
"{'regressor__C': 335, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.696095148297649
"{'regressor__C': 325, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.696135326404446
"{'regressor__C': 310, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.696294124888304
"{'regressor__C': 305, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.696296441526206
"{'regressor__C': 320, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.696362429400954
"{'regressor__C': 315, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.69643092753142
"{'regressor__C': 300, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.696603584715533
"{'regressor__C': 330, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.696768111065617
"{'regressor__C': 295, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.697163100615849
"{'regressor__C': 325, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.697511917846928
"{'regressor__C': 290, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.6976141403423775
"{'regressor__C': 285, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.698150760600411
"{'regressor__C': 320, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.698400481884828
"{'regressor__C': 280, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.698882296061315
"{'regressor__C': 315, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.699451411204111
"{'regressor__C': 275, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.699833362721727
"{'regressor__C': 310, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.70064801223783
"{'regressor__C': 270, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.700886566841247
"{'regressor__C': 265, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.701829185598755
"{'regressor__C': 305, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.701921730547287
"{'regressor__C': 260, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.702684371365731
"{'regressor__C': 300, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.703154147808588
"{'regressor__C': 255, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.7036295944053075
"{'regressor__C': 295, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.704116267950117
"{'regressor__C': 250, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",-4.704554249100796
"{'regressor__C': 340, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704857603520938
"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704892481303047
"{'regressor__C': 335, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.70495172226617
"{'regressor__C': 330, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.704992503091998
"{'regressor__C': 290, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.705024003259569
"{'regressor__C': 325, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.705117190753273
"{'regressor__C': 320, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.705288296148941
"{'regressor__C': 315, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.7053165580007486
"{'regressor__C': 310, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.705498517459445
"{'regressor__C': 305, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.7057444702523625
"{'regressor__C': 285, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.70597869407364
"{'regressor__C': 300, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.706190515517621
"{'regressor__C': 295, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.706487901115701
"{'regressor__C': 280, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.706592990167775
"{'regressor__C': 275, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.706619541286987
"{'regressor__C': 290, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.706619835757487
"{'regressor__C': 285, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.706634307963565
"{'regressor__C': 270, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.70694788054413
"{'regressor__C': 280, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.706963804010297
"{'regressor__C': 265, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.707427685018519
"{'regressor__C': 260, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.70773058707782
"{'regressor__C': 275, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.708067268210249
"{'regressor__C': 255, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.708114344541782
"{'regressor__C': 250, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-4.708592286102121
"{'regressor__C': 270, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.709026593497855
"{'regressor__C': 265, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.709813859330794
"{'regressor__C': 260, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.710793036948561
"{'regressor__C': 255, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.711666520212204
