Trial,rmse,r2,mae,percent_madae,percent_mae,best_parameter,best_train_score
0,5.611583016136152,0.9355320108088863,4.249476884089131,0.013388947666882749,0.01905147591099089,"{'regressor__C': 346.6, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.443527329461454
1,5.218323590109587,0.8386638823343718,3.963636434712339,0.01463539972898513,0.01776653755761169,"{'regressor__C': 346.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.352568857133702
2,3.1958733247116307,0.9797225322716611,2.441243427992535,0.010599429350631406,0.01082281953206862,"{'regressor__C': 346.8, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",5.143142336569659
3,4.588354722596902,0.9328776887382829,3.198696810765195,0.008377279890299148,0.014648893985702757,"{'regressor__C': 343.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",5.031633957166832
4,5.2757694438289935,0.9297885379485995,3.8674576557182934,0.013049300936809002,0.01742889347698819,"{'regressor__C': 346.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.724731839570962
5,5.138536971318156,0.9236999562075864,3.710575663300127,0.012398360476736103,0.016117623725950336,"{'regressor__C': 343.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.638887844143335
6,5.227336179477629,0.9278433183824509,4.066708925734815,0.013531509680630525,0.01770059140665052,"{'regressor__C': 346.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.551807210333116
7,3.9780777681678665,0.9105521812430882,3.1797570065825607,0.01108153914975702,0.014598366175453235,"{'regressor__C': 346.8, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",4.793262161279047
8,4.49826087304787,0.8875567193084913,3.35187056917858,0.01068997196660287,0.015365022506547022,"{'regressor__C': 346.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.591500594121259
9,5.052999175513306,0.9257073513523084,3.706419638904641,0.013318714461234348,0.016653820696203154,"{'regressor__C': 346.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.644099782506537
10,4.2186421113464645,0.9726280325096794,3.4294676210811152,0.013020703231852067,0.015860787505051897,"{'regressor__C': 343.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.82189130406779
11,4.250256079836287,0.9437710881183821,2.8263139505843253,0.009330058000806534,0.012551711711463548,"{'regressor__C': 346.8, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",4.544826286386858
12,3.5291069688190824,0.975256018723323,2.9981284969181674,0.012915556611302288,0.01313302808393129,"{'regressor__C': 346.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.632630475369069
13,5.314431390337101,0.946518065235185,3.7131102208980376,0.01087807520987969,0.016603947558765545,"{'regressor__C': 343.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.524987859508389
14,5.102420916216836,0.951396255763783,3.8042533342767304,0.01370750656043232,0.01677307069119918,"{'regressor__C': 346.8, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.621773191536042
15,5.219461813695642,0.8986633629233515,4.06963591633102,0.01470841601121441,0.018706156833360403,"{'regressor__C': 346.8, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",4.353947235312599
16,3.913081821013486,0.9230289346524513,2.951750072238071,0.011140489308497613,0.012917857096344791,"{'regressor__C': 343.0, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",5.196866435872353
