LMID,From,MainIndex,SubIndex,LMID_Location,SubName,MainName,Chain
LMST01010001,L,ST01,ST0101,LMST01010001_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010016,L,ST01,ST0101,LMST01010016_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010089,L,ST01,ST0101,LMST01010089_12-13_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01020005,L,ST01,ST0102,LMST01020005_23-24_0_0_ring,Steryl esters,Sterols,False
LMST01020008,L,ST01,ST0102,LMST01020008_5-6_0_0_chain,Steryl esters,Sterols,True
LMST01040129,L,ST01,ST0104,LMST01040129_13-14_0_0_ring,Stigmasterols and C24-ethyl derivatives,Sterols,False
LMST01010066,L,ST01,ST0101,LMST01010066_12-13_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010095,L,ST01,ST0101,LMST01010095_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010136,L,ST01,ST0101,LMST01010136_13-14_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010202,L,ST01,ST0101,LMST01010202_1-3_0_0_chain,Cholesterol and derivatives,Sterols,True
LMST01010242,L,ST01,ST0101,LMST01010242_12-13_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010286,L,ST01,ST0101,LMST01010286_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010290,L,ST01,ST0101,LMST01010290_9-10_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010304,L,ST01,ST0101,LMST01010304_2-4_0_0_chain,Cholesterol and derivatives,Sterols,True
LMST01010305,L,ST01,ST0101,LMST01010305_2-4_0_0_chain,Cholesterol and derivatives,Sterols,True
LMST01010330,L,ST01,ST0101,LMST01010330_24-25_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010400,L,ST01,ST0101,LMST01010400_2-3_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01020003,L,ST01,ST0102,LMST01020003_8-9_0_0_chain,Steryl esters,Sterols,True
LMST01020007,L,ST01,ST0102,LMST01020007_25-26_0_0_ring,Steryl esters,Sterols,False
LMST01020014,L,ST01,ST0102,LMST01020014_14-15_0_0_chain,Steryl esters,Sterols,True
LMST01030099,L,ST01,ST0103,LMST01030099_12-13_0_0_ring,Ergosterols and C24-methyl derivatives,Sterols,False
LMST01030109,L,ST01,ST0103,LMST01030109_1-2_0_0_chain,Ergosterols and C24-methyl derivatives,Sterols,True
LMST01030110,L,ST01,ST0103,LMST01030110_1-3_0_0_chain,Ergosterols and C24-methyl derivatives,Sterols,True
LMST01030137,L,ST01,ST0103,LMST01030137_4-5_0_0_chain,Ergosterols and C24-methyl derivatives,Sterols,True
LMST01031048,L,ST01,ST0103,LMST01031048_14-15_0_0_ring,Ergosterols and C24-methyl derivatives,Sterols,False
LMST01040131,L,ST01,ST0104,LMST01040131_2-27_0_0_chain,Stigmasterols and C24-ethyl derivatives,Sterols,True
LMST01050012,L,ST01,ST0105,LMST01050012_5-6_0_0_chain,C24-propyl sterols and derivatives,Sterols,True
LMST03020308,L,ST03,ST0302,LMST03020308_1-2_0_0_ring,Vitamin D3 and derivatives,Secosteroids,False
LMST01010001,K,ST01,ST0101,LMST01010001_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010089,K,ST01,ST0101,LMST01010089_12-13_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01020005,K,ST01,ST0102,LMST01020005_23-24_0_0_ring,Steryl esters,Sterols,False
LMST01020008,K,ST01,ST0102,LMST01020008_5-6_0_0_chain,Steryl esters,Sterols,True
LMST01040129,K,ST01,ST0104,LMST01040129_13-14_0_0_ring,Stigmasterols and C24-ethyl derivatives,Sterols,False
LMST01010095,K,ST01,ST0101,LMST01010095_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010138,K,ST01,ST0101,LMST01010138_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010143,K,ST01,ST0101,LMST01010143_13-14_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010202,K,ST01,ST0101,LMST01010202_1-3_0_0_chain,Cholesterol and derivatives,Sterols,True
LMST01010282,K,ST01,ST0101,LMST01010282_15-16_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010286,K,ST01,ST0101,LMST01010286_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010304,K,ST01,ST0101,LMST01010304_2-4_0_0_chain,Cholesterol and derivatives,Sterols,True
LMST01010305,K,ST01,ST0101,LMST01010305_2-4_0_0_chain,Cholesterol and derivatives,Sterols,True
LMST01010330,K,ST01,ST0101,LMST01010330_24-25_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010350,K,ST01,ST0101,LMST01010350_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01020003,K,ST01,ST0102,LMST01020003_8-9_0_0_chain,Steryl esters,Sterols,True
LMST01020009,K,ST01,ST0102,LMST01020009_2-3_0_0_chain,Steryl esters,Sterols,True
LMST01020013,K,ST01,ST0102,LMST01020013_11-12_0_0_chain,Steryl esters,Sterols,True
LMST01020014,K,ST01,ST0102,LMST01020014_11-12_0_0_chain,Steryl esters,Sterols,True
LMST01020015,K,ST01,ST0102,LMST01020015_14-15_0_0_chain,Steryl esters,Sterols,True
LMST01020019,K,ST01,ST0102,LMST01020019_11-12_0_0_chain,Steryl esters,Sterols,True
LMST01020059,K,ST01,ST0102,LMST01020059_8-9_0_0_chain,Steryl esters,Sterols,True
LMST01030105,K,ST01,ST0103,LMST01030105_13-14_0_0_ring,Ergosterols and C24-methyl derivatives,Sterols,False
LMST01030109,K,ST01,ST0103,LMST01030109_1-2_0_0_chain,Ergosterols and C24-methyl derivatives,Sterols,True
LMST01030110,K,ST01,ST0103,LMST01030110_1-3_0_0_chain,Ergosterols and C24-methyl derivatives,Sterols,True
LMST01030115,K,ST01,ST0103,LMST01030115_10-11_0_0_ring,Ergosterols and C24-methyl derivatives,Sterols,False
LMST01030119,K,ST01,ST0103,LMST01030119_13-14_0_0_ring,Ergosterols and C24-methyl derivatives,Sterols,False
LMST01030137,K,ST01,ST0103,LMST01030137_4-5_0_0_chain,Ergosterols and C24-methyl derivatives,Sterols,True
LMST01031048,K,ST01,ST0103,LMST01031048_14-15_0_0_ring,Ergosterols and C24-methyl derivatives,Sterols,False
LMST01031049,K,ST01,ST0103,LMST01031049_14-15_0_0_ring,Ergosterols and C24-methyl derivatives,Sterols,False
LMST01031087,K,ST01,ST0103,LMST01031087_0-1_0_0_chain,Ergosterols and C24-methyl derivatives,Sterols,True
LMST01040131,K,ST01,ST0104,LMST01040131_2-27_0_0_chain,Stigmasterols and C24-ethyl derivatives,Sterols,True
LMST01040137,K,ST01,ST0104,LMST01040137_14-15_0_0_ring,Stigmasterols and C24-ethyl derivatives,Sterols,False
LMST01040239,K,ST01,ST0104,LMST01040239_14-15_0_0_ring,Stigmasterols and C24-ethyl derivatives,Sterols,False
LMST01050012,K,ST01,ST0105,LMST01050012_5-6_0_0_chain,C24-propyl sterols and derivatives,Sterols,True
LMST01060005,K,ST01,ST0106,LMST01060005_11-12_0_0_ring,Gorgosterols and derivatives,Sterols,False
LMST03020228,K,ST03,ST0302,LMST03020228_3-4_0_0_chain,Vitamin D3 and derivatives,Secosteroids,True
LMST03020419,K,ST03,ST0302,LMST03020419_0-1_0_0_chain,Vitamin D3 and derivatives,Secosteroids,True
LMST01010001,H,ST01,ST0101,LMST01010001_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010016,H,ST01,ST0101,LMST01010016_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010089,H,ST01,ST0101,LMST01010089_12-13_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01020005,H,ST01,ST0102,LMST01020005_23-24_0_0_ring,Steryl esters,Sterols,False
LMST01020008,H,ST01,ST0102,LMST01020008_5-6_0_0_chain,Steryl esters,Sterols,True
LMST01040129,H,ST01,ST0104,LMST01040129_13-14_0_0_ring,Stigmasterols and C24-ethyl derivatives,Sterols,False
LMST01010136,H,ST01,ST0101,LMST01010136_13-14_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010202,H,ST01,ST0101,LMST01010202_1-3_0_0_chain,Cholesterol and derivatives,Sterols,True
LMST01010286,H,ST01,ST0101,LMST01010286_14-15_0_0_ring,Cholesterol and derivatives,Sterols,False
LMST01010304,H,ST01,ST0101,LMST01010304_2-4_0_0_chain,Cholesterol and derivatives,Sterols,True
