,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST01010001_14-15_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",617,217.1,1
LMST01010012_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",507.6268311,223.7587483,
LMST01010013_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",546,218.5,1
LMST01010014_14-15_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",606.2711792,222.7225659,
LMST01010015_15-16_0_0_ring,414.37302,,383.33082,383.33082,672.3076172,226.223469,
LMST01010016_1-3_0_0_chain,414.37302,"372.32607,354.31551",,"372.32607,354.31551",450,220.5,1
LMST01010016_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",504,219.9,1
LMST01010017_1-3_0_0_chain,456.419967,"414.37302,396.36246",,"414.37302,396.36246",546,231.9,1
LMST01010017_13-14_0_0_ring,456.419967,,"425.377767,407.367207","425.377767,407.367207",456.9403687,226.07303,
LMST01010018_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",475.734314,219.0313709,
LMST01010019_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",495.4628906,222.6193457,
LMST01010047_25-26_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",611.9356689,220.9370215,
LMST01010049_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",276,223.9,1
LMST01010054_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",574.3887939,219.1454039,
LMST01010057_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",566.8755493,221.5000414,
LMST01010058_15-16_0_0_ring,412.35737,,381.31517,381.31517,441.0427856,221.1940971,
LMST01010058_17-18_0_0_ring,412.35737,,381.31517,381.31517,739.1690063,222.6960967,
LMST01010059_13-14_0_0_ring,412.35737,,381.31517,381.31517,864.395874,220.0279622,
LMST01010059_15-16_0_0_ring,412.35737,,381.31517,381.31517,566.0698242,225.1338745,
LMST01010066_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",596.0615234,221.347121,
LMST01010066_1-3_0_0_chain,414.37302,"372.32607,354.31551",,"372.32607,354.31551",418.8464966,219.192491,
LMST01010069_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",528,210.4,1
LMST01010069_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",528,210.4,1
LMST01010081_14-15_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",599.1738281,221.3208256,
LMST01010086_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",560.3453369,219.1454039,
LMST01010087_13-14_0_0_ring,458.435616,,"427.393416,409.382856","427.393416,409.382856",591.1130371,227.295512,
LMST01010088_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",554.2251587,221.5000414,
LMST01010089_12-13_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",600,219.4,1
