Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score,IsStandard
14881.0,1.0,LMST01010001_14-15_0_0_ring,416.38791,416.388669,10.288,10.33,0.8943170979376028,217.3809,217.1,0.914,411285792.0,9882175.377,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.7,0.667,0.594,0.69,88892140.0,91137160.0,98338050.0,93592920.0,0.9041585489688014,0.9041585489688014,0.9041585489688014,0.9041585489688014,0.904,1
14601.0,1.0,LMST01010016_14-15_0_0_ring,414.37231,414.37302,8.351,8.41,0.8325213901658317,220.7209,219.9,0.751,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",1.0,0.833,1.0,1.0,779244.9,713271.1,902681.0,739645.5,0.7917606950829159,0.7917606950829159,0.7917606950829159,0.7917606950829159,0.792,1
14610.0,1.0,LMST01010069_12-13_0_0_ring,414.37231,414.37302,9.105,8.81,0.1770794446168534,212.924,210.4,0.2,757596.75,116012.1921,365.32026,365.32026,365.32026,365.32026,0.667,0.5,0.5,0.333,179515.3,169870.7,232832.4,188633.1,0.1885397223084267,0.1885397223084267,0.1885397223084267,0.1885397223084267,0.189,1
14610.0,1.0,LMST01010069_14-15_0_0_ring,414.37231,414.37302,9.105,8.81,0.1770794446168534,212.924,210.4,0.2,757596.75,116012.1921,365.32026,365.32026,365.32026,365.32026,0.667,0.5,0.5,0.333,179515.3,169870.7,232832.4,188633.1,0.1885397223084267,0.1885397223084267,0.1885397223084267,0.1885397223084267,0.189,1
14893.0,0.5,LMST01010089_12-13_0_0_ring,416.39114,416.388669,10.05,10.04,0.9793179681473316,218.1895,219.4,0.632,2269980.8125,191812.1349,-1,"385.346469,367.335909","385.346469,367.335909",-1,0.0,0.8,1.0,0.0,,326171.9,371225.2,,0.0,0.8056589840736659,0.8056589840736659,0.0,0.806,1
29052.0,1.0,LMST01020008_5-6_0_0_chain,678.61938,678.618321,20.402,21.21,0.0450026425773226,290.088,291.4,0.7,258496.7031,76703.5939,-1,369.35156,-1,369.35156,0.0,0.5,0.0,0.5,,104611.9,,54981.82,0.0,0.3725013212886613,0.0,0.3725013212886613,0.373,1
17106.0,1.0,LMST01040129_13-14_0_0_ring,444.41794,444.419967,10.753,11.17,0.0588314486018725,225.8094,226.2,0.885,596314.7196,397689.8652,"395.367207,413.377767",395.367207,395.367207,-2,0.667,0.5,0.333,0.0,161218.3,158906.7,175179.2,,0.4719157243009362,0.4719157243009362,0.4719157243009362,0.0,0.472,1
16336.0,1.0,LMST01010018_15-16_0_0_ring,432.38226,432.383583,8.191,7.93,1.0,217.7148,219.0313709,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.7332000000000001,0.92,0.8400000000000001,0.8,0.823,-1
16345.0,1.0,LMST01010019_15-16_0_0_ring,432.38553,432.383583,6.775,8.26,0.6250660903779041,220.7229,222.6193457,0.939,172120.2812,74589.2212,"365.320263,383.330823","365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823",0.5,0.2,0.75,0.714,30453.77,27888.23,44409.33,35413.44,0.7006132180755809,-1.0,0.800613218075581,0.7862132180755808,0.762,-1
14400.0,0.75,LMST01010058_15-16_0_0_ring,412.35837,412.35737,6.528,7.34,0.947474088099468,219.4328,221.1940971,0.965,127212.8125,56293.3708,381.31517,-1,381.31517,-1.0,0.25,0.0,0.333,0.0,35128.53,,44910.5,,0.6754948176198936,-1.0,0.7086948176198936,-1.0,0.692,-1
16336.0,1.0,LMST01010086_15-16_0_0_ring,432.38226,432.383583,8.191,9.37,0.7741564410870891,217.7148,219.1454039,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.6880312882174179,0.874831288217418,0.7948312882174179,0.7548312882174179,0.778,-1
16345.0,1.0,LMST01010088_15-16_0_0_ring,432.38553,432.383583,6.775,9.26,0.1495834705002771,220.7229,221.5000414,1.0,172120.2812,74589.2212,"365.320263,383.330823","365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823",0.5,0.2,0.75,0.714,30453.77,27888.23,44409.33,35413.44,0.6299166941000555,-1.0,0.7299166941000554,0.7155166941000555,0.692,-1
14600.0,1.0,LMST01010095_14-15_0_0_ring,414.37231,414.37302,8.351,9.08,0.9870239749453568,215.4279,217.4541627,0.902,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.444,1.0,0.75,0.75,240068.7,187856.0,260549.9,220139.9,0.7358047949890714,0.9582047949890714,0.8582047949890714,0.8582047949890714,0.853,-1
14400.0,0.75,LMST01010121_14-15_0_0_ring,412.35837,412.35737,6.528,6.65,1.0,219.4328,218.5382186,1.0,127212.8125,56293.3708,381.31517,-1,381.31517,-1.0,0.25,0.0,0.333,0.0,35128.53,,44910.5,,0.7000000000000001,-1.0,0.7332000000000001,-1.0,0.717,-1
