Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score,IsStandard
10714,0.5,LMST01010254_11-12_0_0_ring,412.35849,412.35737,8.484,9.97,0.626054499,215.314,217.1849248,0.935,89009.5117,12361.9267,363.30461,-1,-1,381.31517,1,0,0,1,25354.34,,,18987.66,0.8992109,-1,-1,0.8992109,0.899,-1
10714,0.5,LMST01010254_13-14_0_0_ring,412.35849,412.35737,8.484,8.18,1,215.314,216.1320976,1,89009.5117,12361.9267,363.30461,-1,-1,381.31517,1,0,0,1,25354.34,,,18987.66,1,-1,-1,1,1,-1
10714,0.5,LMST01110014_14-15_0_0_ring,412.35849,412.35737,8.484,8.5,1,215.314,217.9299147,0.778,89009.5117,12361.9267,363.30461,-1,-1,381.31517,1,0,0,1,25354.34,,,18987.66,0.9112,-1,-1,0.9112,0.911,-1
10930,1,LMST01010350_14-15_0_0_ring,414.37231,414.37302,7.54,8.46,0.89573158,219.7662,218.1944338,1,7724790.875,904929.8959,365.32026,365.32026,"365.32026,383.33082","365.32026,383.33082",0.143,0.222,1,0.222,1831390,1744554,1495103,2072532,0.636346316,0.667946316,0.979146316,0.667946316,0.738,-1
10941,1,LMST01010069_12-13_0_0_ring,414.37244,414.37302,8.472,8.81,0.027653261,212.7029,210.4,0.27,966029.8594,638466.2545,"365.32026,383.33082",-2,-2,"365.32026,383.33082",0.5,0,0,0.5,154384.7,,,128412.9,0.148826631,0,0,0.148826631,0.149,1
10941,1,LMST01010069_14-15_0_0_ring,414.37244,414.37302,8.472,8.81,0.027653261,212.7029,210.4,0.27,966029.8594,638466.2545,"365.32026,383.33082",-2,-2,"365.32026,383.33082",0.5,0,0,0.5,154384.7,,,128412.9,0.148826631,0,0,0.148826631,0.149,1
10942,1,LMST01010016_14-15_0_0_ring,414.37244,414.37302,8.472,8.41,0.807673187,219.6192,219.9,0.915,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0,0,259493.3,245797,,,0.861336593,0.861336593,0,0,0.861,1
10946,1,LMST01031048_14-15_0_0_ring,414.37552,414.37302,7.664,8.37,0.999189844,220.06,217.2845307,0.742,3155168.469,1011200.984,-1,-1,383.33082,365.32026,0,0,0.333,0.5,,,1247086,1657370,-1,-1,0.629837969,0.696637969,0.663,-1
11154,1,LMST01010089_12-13_0_0_ring,416.38803,416.388669,10.106,10.04,0.839899242,218.2631,219.4,0.655,728434.875,29248.1239,367.335909,367.335909,367.335909,367.335909,0.667,0.5,0.2,0.5,57517.25,57763.9,53492.75,50092.38,0.747449621,0.747449621,0.747449621,0.747449621,0.747,1
11160,1,LMST01010001_14-15_0_0_ring,416.38803,416.388669,10.326,10.33,0.986267336,216.9397,217.1,0.951,149475308,12726154.13,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.632,0.667,0.538,0.667,37758200,37116570,36670100,29293820,0.968633668,0.968633668,0.968633668,0.968633668,0.969,1
