Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score,IsStandard
15853.0,1.0,LMST01010001_14-15_0_0_ring,416.38797,416.388669,10.343,10.29,0.867382945908306,216.2042,217.1,0.725,168501558.0,64362873.1869,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.7,0.478,0.444,0.625,38155870.0,35604360.0,61265070.0,22452430.0,0.796191472954153,0.796191472954153,0.796191472954153,0.796191472954153,0.796,1
15599.0,1.0,LMST01010016_14-15_0_0_ring,414.37238,414.37302,8.346,8.35,0.9751321792142104,219.6193,219.9,0.915,296146.8008,137715.6035,365.32026,365.32026,-1.0,-1.0,0.5,1.0,0.0,0.0,19285.91,8303.214,,,0.9450660896071053,0.9450660896071053,0.0,0.0,0.945,1
15851.0,1.0,LMST01010089_12-13_0_0_ring,416.38797,416.388669,10.083,10.0,0.7826095199608453,217.4545,219.4,0.409,686004.1719,364352.2691,-1,"385.346469,367.335909",367.335909,367.335909,0.0,0.8,0.75,1.0,,90232.38,197531.3,53248.09,0.0,0.5958047599804226,0.5958047599804226,0.5958047599804226,0.596,1
32197.0,1.0,LMST01020005_23-24_0_0_ring,654.61664,654.618321,21.103,21.82,0.1745295141356903,282.0704,285.6,0.176,2272057.1719,1539629.4213,"398.37811,367.33591","623.57613,398.37811,367.33591","398.37811,367.33591","398.37811,367.33591",0.857,0.714,1.0,0.667,405266.3,371706.2,809482.7,198095.2,0.1752647570678451,0.1752647570678451,0.1752647570678451,0.1752647570678451,0.175,1
33683.0,0.75,LMST01020008_5-6_0_0_chain,678.61536,678.618321,20.441,21.12,0.1906027263692399,289.0359,291.4,0.459,17622511.75,12607072.4892,"369.35156,594.52443,310.27404","369.35156,594.52443,310.27404","369.35156,226.18014,594.52443,310.27404",-1,0.8,1.0,1.0,0.0,5450218.0,4441424.0,9966542.0,,0.3248013631846199,0.3248013631846199,0.3248013631846199,0.0,0.325,1
17992.0,1.0,LMST01040129_13-14_0_0_ring,444.42133,444.419967,10.994,11.14,0.6630132039150836,224.8591,226.2,0.605,2029183.1719,1148508.2055,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.25,0.444,0.571,0.4,422954.5,343823.8,786158.9,191996.2,0.6340066019575418,0.6340066019575418,0.6340066019575418,0.6340066019575418,0.634,1
17036.0,1.0,LMST01010136_13-14_0_0_ring,430.40393,430.404318,10.653,13.25,0.096561787415529,220.1671,221.4504758,1.0,3782755.4062,2120682.7391,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.5,0.571,0.3,0.333,772313.1,666258.8,1456541.0,360393.3,0.6193123574831059,0.6477123574831058,-1.0,-1.0,0.634,-1
16946.0,1.0,LMST01010202_1-3_0_0_chain,428.38748,428.388669,7.361,7.03,1.0,219.8319,221.8522029,0.912,459642.3438,212078.7578,386.34172,386.34172,386.34172,386.34172,0.4,0.667,0.571,0.5,123225.6,53142.68,127044.3,54041.03,0.7248000000000001,0.8316000000000001,0.7932,0.7648,0.779,-1
15598.0,1.0,LMST01010286_14-15_0_0_ring,414.37238,414.37302,8.346,9.2,0.927509125317935,214.3972,214.5314322,1.0,296146.8008,137715.6035,"365.32026,383.33082","365.32026,383.33082",365.32026,"365.32026,383.33082",0.625,0.5,0.2,0.6,59382.91,40334.33,95995.88,24862.23,0.8355018250635871,0.785501825063587,0.665501825063587,0.825501825063587,0.778,-1
17893.0,1.0,LMST01010304_2-4_0_0_chain,442.40561,442.404318,8.616,8.54,1.0,226.7899,227.3668077,1.0,2428101.4375,1167562.6555,386.34172,386.34172,386.34172,386.34172,0.6,0.333,0.4,0.6,775559.7,299377.3,681018.1,318846.6,0.8400000000000001,0.7332000000000001,0.76,0.8400000000000001,0.793,-1
