Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score,IsStandard
14147.0,1.0,LMST01010001_14-15_0_0_ring,416.38794,416.388669,10.342,10.29,0.8698128615086267,216.572,217.1,0.838,220022988.0,46559808.98,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.577,0.619,0.542,0.515,56856660.0,51679710.0,36799930.0,62801080.0,0.8539064307543134,0.8539064307543134,0.8539064307543134,0.8539064307543134,0.854,1
14145.0,1.0,LMST01010089_12-13_0_0_ring,416.38794,416.388669,10.085,10.0,0.7776075581478848,217.8956,219.4,0.543,778885.1953,272314.9392,367.335909,367.335909,367.335909,367.335909,1.0,0.6,0.667,0.5,129350.3,103674.7,65446.32,172045.6,0.6603037790739424,0.6603037790739424,0.6603037790739424,0.6603037790739424,0.66,1
28531.0,1.0,LMST01020005_23-24_0_0_ring,654.61664,654.618321,21.1,21.82,0.1710928658609221,282.1408,285.6,0.193,249772.3535,158696.5018,398.37811,398.37811,-1,"398.37811,367.33591",0.4,1.0,0.0,0.8,63242.9,55640.02,,76891.23,0.182046432930461,0.182046432930461,0.0,0.182046432930461,0.182,1
29673.0,0.5,LMST01020008_5-6_0_0_chain,678.61523,678.618321,20.404,21.12,0.14681561708517,289.8779,291.4,0.652,5679030.313,3224012.099,"369.35156,310.27404","369.35156,594.52443,310.27404",-1,-1,0.75,0.8,0.0,0.0,1730954.0,1529967.0,,,0.399407808542585,0.399407808542585,0.0,0.0,0.399,1
16433.0,1.0,LMST01040129_13-14_0_0_ring,444.41794,444.419967,10.995,11.14,0.6652565196512935,225.0785,226.2,0.669,2403747.344,759725.5137,395.367207,"395.367207,413.377767",395.367207,"395.367207,413.377767",0.125,0.333,0.5,0.333,592375.5,504860.5,281727.5,690540.2,0.6671282598256467,0.6671282598256467,0.6671282598256467,0.6671282598256467,0.667,1
13905.0,1.0,LMST01010095_14-15_0_0_ring,414.37234,414.37302,8.348,9.03,1.0,214.6918,217.4541627,0.745,1653535.75,280706.4981,"365.32026,383.33082","365.32026,383.33082",365.32026,"365.32026,383.33082",0.5,0.273,0.286,0.667,354453.7,342236.3,292982.3,466781.0,0.698,0.6072,0.6124,0.7648,0.671,-1
15363.0,1.0,LMST01010138_14-15_0_0_ring,430.4039,430.404318,8.815,8.26,1.0,224.1977,225.2639948,1.0,352620.0234,72011.2888,399.362118,-1,-1,399.362118,0.25,0.0,0.0,0.167,44540.62,,,89952.02,0.7000000000000001,-1.0,-1.0,0.6668000000000001,0.683,-1
16300.0,1.0,LMST01010143_13-14_0_0_ring,442.40552,442.404318,10.155,10.06,1.0,222.1821,223.2035178,1.0,1075563.484,385545.2661,-1,-1,411.362118,411.362118,0.0,0.0,0.125,0.125,,,186944.6,328777.6,-1.0,-1.0,0.65,0.65,0.65,-1
15265.0,1.0,LMST01010202_1-3_0_0_chain,428.38739,428.388669,7.42,7.03,1.0,220.3454,221.8522029,1.0,494812.3618,315640.425,386.34172,-1,386.34172,386.34172,0.833,0.0,0.8,1.0,121416.6,,123952.7,141018.3,0.9332,-1.0,0.92,1.0,0.951,-1
15269.0,1.0,LMST01010282_15-16_0_0_ring,428.38739,428.388669,8.722,9.09,1.0,218.6577,219.4387478,1.0,437534.1016,124419.3359,-1,379.335909,397.346469,-1,0.0,0.25,0.2,0.0,,85375.89,63551.36,,-1.0,0.7000000000000001,0.68,-1.0,0.69,-1
13905.0,1.0,LMST01010286_14-15_0_0_ring,414.37234,414.37302,8.348,9.2,0.9284615062703164,214.6918,214.5314322,1.0,1653535.75,280706.4981,"365.32026,383.33082","365.32026,383.33082",365.32026,"365.32026,383.33082",0.5,0.273,0.286,0.667,354453.7,342236.3,292982.3,466781.0,0.7856923012540633,0.6948923012540633,0.7000923012540633,0.8524923012540634,0.758,-1
16298.0,1.0,LMST01010304_2-4_0_0_chain,442.40219,442.404318,8.619,8.54,1.0,227.2283,227.3668077,1.0,3821875.125,183376.0629,"368.33116,386.34172",386.34172,386.34172,386.34172,0.5,0.5,0.6,0.75,551211.4,860088.1,808522.9,896458.9,0.8,0.8,0.8400000000000001,0.9,0.835,-1
16298.0,1.0,LMST01010305_2-4_0_0_chain,442.40219,442.404318,8.619,8.54,1.0,227.2283,227.3668077,1.0,3821875.125,183376.0629,"368.33116,386.34172",386.34172,386.34172,386.34172,0.5,0.5,0.6,0.75,551211.4,860088.1,808522.9,896458.9,0.8,0.8,0.8400000000000001,0.9,0.835,-1
15365.0,1.0,LMST01010330_24-25_0_0_ring,430.4039,430.404318,10.655,12.73,0.3474162438761499,220.5338,221.1968312,1.0,5548049.625,1723577.766,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",381.351558,0.333,0.444,0.667,0.333,1387977.0,1190378.0,680271.3,1593844.0,0.60268324877523,0.64708324877523,0.73628324877523,0.60268324877523,0.647,-1
13890.0,1.0,LMST01010350_14-15_0_0_ring,414.37231,414.37302,7.606,8.41,0.9523979193662856,219.3988,218.1944338,1.0,1514104.0,190747.8706,-1,365.32026,"365.32026,383.33082",-1,0.0,0.25,0.667,0.0,,217963.6,209572.6,,-1.0,0.6904795838732571,0.8572795838732572,-1.0,0.774,-1
29794.0,1.0,LMST01020003_8-9_0_0_chain,680.63159,680.63397,19.808,20.43,1.0,287.8257,285.8466307,1.0,3765724.25,1854588.26,"312.28969,369.35156,554.49313",369.35156,"312.28969,369.35156","312.28969,369.35156,554.49313,156.17467",0.667,1.0,0.6,1.0,639035.3,535763.4,526203.0,1051692.0,0.8668,1.0,0.8400000000000001,1.0,0.927,-1
29677.0,1.0,LMST01020008_8-9_0_0_chain,678.61536,678.618321,20.461,21.12,1.0,289.457,289.56432,1.0,6813511.563,3015487.347,"369.35156,554.49313,310.27404","369.35156,554.49313,310.27404","369.35156,554.49313,310.27404","369.35156,154.15902,554.49313,310.27404",1.0,0.75,1.0,0.5,1864886.0,1625262.0,1522653.0,3122743.0,1.0,0.9,1.0,0.8,0.925,-1
29537.0,0.75,LMST01020009_2-3_0_0_chain,676.60205,676.602672,21.321,21.14,1.0,287.0167,294.2302274,0.198,52676.8862,45293.5075,"369.35156,308.25839",-1,-2,308.25839,1.0,0.0,0.0,1.0,21287.86,,,36524.77,0.6792000000000001,-1.0,-1.0,0.6792000000000001,0.679,-1
29537.0,0.75,LMST01020009_5-6_0_0_chain,676.60205,676.602672,21.321,21.08,1.0,287.0167,289.9326232,0.868,52676.8862,45293.5075,"369.35156,308.25839",-1,-2,308.25839,1.0,0.0,0.0,1.0,21287.86,,,36524.77,0.9472,-1.0,-1.0,0.9472,0.947,-1
29537.0,0.75,LMST01020009_8-9_0_0_chain,676.60205,676.602672,21.321,21.09,1.0,287.0167,287.8412265,1.0,52676.8862,45293.5075,"369.35156,308.25839",-1,-2,308.25839,1.0,0.0,0.0,1.0,21287.86,,,36524.77,1.0,-1.0,-1.0,1.0,1.0,-1
31165.0,0.5,LMST01020013_11-12_0_0_chain,704.63123,704.63397,21.267,21.44,1.0,296.0355,292.5152534,0.776,96365.4824,66663.7945,369.35156,-1,-1,369.35156,1.0,0.0,0.0,1.0,32470.13,,,55777.96,0.9104,-1.0,-1.0,0.9104,0.91,-1
31165.0,0.5,LMST01020013_5-6_0_0_chain,704.63123,704.63397,21.267,21.38,1.0,296.0355,293.0096393,0.855,96365.4824,66663.7945,369.35156,-1,-1,369.35156,1.0,0.0,0.0,1.0,32470.13,,,55777.96,0.9420000000000002,-1.0,-1.0,0.9420000000000002,0.942,-1
31165.0,0.5,LMST01020013_8-9_0_0_chain,704.63123,704.63397,21.267,21.43,1.0,296.0355,295.9427231,1.0,96365.4824,66663.7945,369.35156,-1,-1,369.35156,1.0,0.0,0.0,1.0,32470.13,,,55777.96,1.0,-1.0,-1.0,1.0,1.0,-1
31003.0,1.0,LMST01020014_11-12_0_0_chain,702.61749,702.618321,22.249,21.89,1.0,291.7137,298.1234117,0.338,1637475.219,632154.0728,"369.35156,170.11755,538.46183,334.27404","369.35156,194.19031,538.46183,334.27404","369.35156,538.46183,194.19031,334.27404","194.19031,170.11755,334.27404,369.35156,538.46183",0.75,0.75,1.0,0.8,300473.6,255580.7,219307.1,495374.1,0.6352,0.6352,0.7352000000000001,0.6552,0.665,-1
31003.0,1.0,LMST01020014_14-15_0_0_chain,702.61749,702.618321,22.249,21.91,1.0,291.7137,297.8690999,0.377,1637475.219,632154.0728,"369.35156,334.27404","369.35156,334.27404","369.35156,334.27404","369.35156,334.27404",0.75,0.5,1.0,0.8,300473.6,255580.7,219307.1,495374.1,0.6508,-1.0,0.7508000000000001,0.6708000000000001,0.691,-1
31003.0,1.0,LMST01020014_5-6_0_0_chain,702.61749,702.618321,22.249,21.87,1.0,291.7137,297.1982318,0.479,1637475.219,632154.0728,"369.35156,334.27404","369.35156,334.27404","369.35156,334.27404","369.35156,334.27404",0.75,0.5,1.0,0.8,300473.6,255580.7,219307.1,495374.1,0.6916,-1.0,0.7916000000000001,0.7116,0.732,-1
31001.0,1.0,LMST01020014_8-9_0_0_chain,702.61749,702.618321,22.037,21.88,1.0,291.9238,297.1548339,0.518,2113191.25,834332.8738,"578.49313,334.27404,369.35156,210.14884,154.15902","369.35156,578.49313,334.27404,154.15902","369.35156,210.14884,578.49313,334.27404","578.49313,334.27404,369.35156,210.14884,154.15902",0.875,0.857,0.833,0.889,376764.2,302124.2,274809.7,612182.6,0.7572000000000001,0.75,0.7404000000000001,0.7628000000000001,0.753,-1
30861.0,0.75,LMST01020015_14-15_0_0_chain,700.60663,700.602672,21.17,22.17,0.8568855396825397,290.6788,295.9437132,0.51,107451.1934,46273.7234,369.35156,-1,-1,"369.35156,332.25839",1.0,0.0,0.0,1.0,31268.37,,,47634.96,0.7753771079365079,-1.0,-1.0,0.7753771079365079,0.775,-1
30861.0,0.75,LMST01020015_5-6_0_0_chain,700.60663,700.602672,21.17,22.13,0.8778971349206351,290.6788,295.6054956,0.562,107451.1934,46273.7234,369.35156,-1,-1,"369.35156,332.25839",1.0,0.0,0.0,1.0,31268.37,,,47634.96,0.800379426984127,-1.0,-1.0,0.800379426984127,0.8,-1
30861.0,0.75,LMST01020015_8-9_0_0_chain,700.60663,700.602672,21.17,22.12,0.8807648174603173,290.6788,294.4005322,0.748,107451.1934,46273.7234,369.35156,-1,-1,"369.35156,578.49313,332.25839",1.0,0.0,0.0,1.0,31268.37,,,47634.96,0.8753529634920635,-1.0,-1.0,0.8753529634920635,0.875,-1
32256.0,1.0,LMST01020019_11-12_0_0_chain,726.61804,726.618321,21.596,22.68,0.8160922777777769,298.7263,297.7779532,1.0,351332.8594,140423.8541,"369.35156,358.27404","369.35156,358.27404","369.35156,358.27404","369.35156,358.27404",1.0,1.0,1.0,1.0,60209.04,51456.53,52102.76,105670.8,0.9632184555555554,0.9632184555555554,0.9632184555555554,0.9632184555555554,0.963,-1
32256.0,1.0,LMST01020019_14-15_0_0_chain,726.61804,726.618321,21.596,22.68,0.8174331111111113,298.7263,298.2024603,1.0,351332.8594,140423.8541,"369.35156,358.27404","369.35156,358.27404","369.35156,358.27404","369.35156,358.27404",1.0,1.0,1.0,1.0,60209.04,51456.53,52102.76,105670.8,0.9634866222222224,0.9634866222222224,0.9634866222222224,0.9634866222222224,0.963,-1
32256.0,1.0,LMST01020019_8-9_0_0_chain,726.61804,726.618321,21.596,22.67,0.8234688095238086,298.7263,297.1702552,1.0,351332.8594,140423.8541,"369.35156,358.27404","369.35156,358.27404","369.35156,358.27404","369.35156,358.27404",1.0,1.0,1.0,1.0,60209.04,51456.53,52102.76,105670.8,0.9646937619047616,0.9646937619047616,0.9646937619047616,0.9646937619047616,0.965,-1
29677.0,1.0,LMST01020059_8-9_0_0_chain,678.61536,678.618321,20.461,18.36,0.3317092470842114,289.457,290.8260507,1.0,6813511.563,3015487.347,554.49313,554.49313,554.49313,"154.15902,554.49313",0.5,0.5,1.0,0.333,1864886.0,1625262.0,1522653.0,3122743.0,0.6663418494168423,0.6663418494168423,0.8663418494168423,-1.0,0.733,-1
15363.0,1.0,LMST01030105_13-14_0_0_ring,430.4039,430.404318,8.815,8.48,1.0,224.1977,223.320474,1.0,352620.0234,72011.2888,399.362118,-1,-1,399.362118,0.25,0.0,0.0,0.167,44540.62,,,89952.02,0.7000000000000001,-1.0,-1.0,0.6668000000000001,0.683,-1
15265.0,1.0,LMST01030109_1-2_0_0_chain,428.38739,428.388669,7.42,7.82,1.0,220.3454,223.0503844,0.772,494812.3618,315640.425,358.31042,-1,358.31042,358.31042,0.833,0.0,0.8,1.0,121416.6,,123952.7,141018.3,0.8420000000000001,-1.0,0.8288,0.9088,0.86,-1
15267.0,1.0,LMST01030110_1-3_0_0_chain,428.38739,428.388669,8.466,6.96,0.6176089040277073,223.4975,225.755023,0.87,3499109.75,606522.3064,"368.33116,386.34172","368.33116,386.34172",386.34172,"368.33116,386.34172",0.5,0.6,0.6,0.571,697575.2,661432.9,690666.2,937998.8,0.6715217808055416,0.7115217808055414,0.7115217808055414,0.6999217808055416,0.699,-1
15269.0,1.0,LMST01030115_10-11_0_0_ring,428.38739,428.388669,8.722,9.52,0.9544725151469344,218.6577,220.2878383,0.991,437534.1016,124419.3359,-1,379.335909,397.346469,-1,0.0,0.25,0.2,0.0,,85375.89,63551.36,,-1.0,0.6872945030293869,0.6672945030293869,-1.0,0.677,-1
15363.0,1.0,LMST01030119_13-14_0_0_ring,430.4039,430.404318,8.815,8.43,1.0,224.1977,223.320474,1.0,352620.0234,72011.2888,399.362118,-1,-1,399.362118,0.25,0.0,0.0,0.167,44540.62,,,89952.02,0.7000000000000001,-1.0,-1.0,0.6668000000000001,0.683,-1
15265.0,1.0,LMST01030137_4-5_0_0_chain,428.38739,428.388669,7.42,8.96,0.6001206323636908,220.3454,220.9396197,1.0,494812.3618,315640.425,358.31042,-1,358.31042,358.31042,0.833,0.0,0.8,1.0,121416.6,,123952.7,141018.3,0.8532241264727383,-1.0,0.8400241264727383,0.9200241264727382,0.871,-1
13890.0,1.0,LMST01031048_14-15_0_0_ring,414.37231,414.37302,7.606,8.31,0.9968192374004342,219.3988,217.2845307,0.883,1514104.0,190747.8706,-1,365.32026,"365.32026,383.33082",-1,0.0,0.25,0.667,0.0,,217963.6,209572.6,,-1.0,0.6525638474800868,0.8193638474800868,-1.0,0.736,-1
13905.0,1.0,LMST01031049_14-15_0_0_ring,414.37234,414.37302,8.348,9.39,0.8382431837187032,214.6918,217.2845307,0.781,1653535.75,280706.4981,"365.32026,383.33082","365.32026,383.33082",365.32026,"365.32026,383.33082",0.5,0.273,0.286,0.667,354453.7,342236.3,292982.3,466781.0,0.6800486367437406,-1.0,-1.0,0.7468486367437407,0.713,-1
18302.0,1.0,LMST01031087_0-1_0_0_chain,474.39252,474.394146,10.91,9.9,0.8505521007458294,226.407,230.932225,0.426,81700.7666,39168.0957,424.35738,424.35738,424.35738,424.35738,0.5,1.0,0.5,1.0,15252.56,14492.18,11814.73,30791.47,-1.0,0.7405104201491659,-1.0,0.7405104201491659,0.741,-1
16298.0,1.0,LMST01040131_2-27_0_0_chain,442.40219,442.404318,8.619,8.09,1.0,227.2283,227.2757223,1.0,3821875.125,183376.0629,400.35737,400.35737,400.35737,"400.35737,382.34681",0.5,0.667,0.8,0.75,551211.4,860088.1,808522.9,896458.9,0.8,0.8668,0.92,0.9,0.872,-1
16300.0,1.0,LMST01040137_14-15_0_0_ring,442.40552,442.404318,10.155,9.65,1.0,222.1821,223.5737418,1.0,1075563.484,385545.2661,-1,-1,411.362118,411.362118,0.0,0.0,0.125,0.125,,,186944.6,328777.6,-1.0,-1.0,0.65,0.65,0.65,-1
16300.0,1.0,LMST01040239_14-15_0_0_ring,442.40552,442.404318,10.155,9.79,1.0,222.1821,223.5737418,1.0,1075563.484,385545.2661,-1,-1,411.362118,411.362118,0.0,0.0,0.125,0.125,,,186944.6,328777.6,-1.0,-1.0,0.65,0.65,0.65,-1
17993.0,1.0,LMST01050012_5-6_0_0_chain,470.43793,470.435616,9.522,9.75,1.0,233.3777,234.5647554,1.0,521980.7969,75487.37,-1,156.17467,156.17467,-1,0.0,0.333,0.5,0.0,,108884.3,105700.4,,-1.0,0.7332000000000001,0.8,-1.0,0.767,-1
15269.0,1.0,LMST01060005_11-12_0_0_ring,428.38739,428.388669,8.722,9.09,1.0,218.6577,217.7236514,1.0,437534.1016,124419.3359,-1,379.335909,397.346469,-1,0.0,0.25,0.2,0.0,,85375.89,63551.36,,-1.0,0.7000000000000001,0.68,-1.0,0.69,-1
13890.0,1.0,LMST03020228_3-4_0_0_chain,414.37231,414.37302,7.606,7.78,1.0,219.3988,219.9229877,1.0,1514104.0,190747.8706,-1,290.28421,-1,290.28421,0.0,0.25,0.0,0.25,,217963.6,,237626.2,-1.0,0.7000000000000001,-1.0,0.7000000000000001,0.7,-1
18302.0,1.0,LMST03020419_0-1_0_0_chain,474.39252,474.394146,10.91,8.32,0.0983012953299717,226.407,230.6228635,0.487,81700.7666,39168.0957,424.35738,424.35738,424.35738,424.35738,0.5,1.0,0.5,1.0,15252.56,14492.18,11814.73,30791.47,-1.0,0.6144602590659943,-1.0,0.6144602590659943,0.614,-1
