Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score,IsStandard
9193.0,1.0,LMST01010001_14-15_0_0_ring,416.38791,416.388669,10.345,10.32,0.9284640321396508,216.4249,217.1,0.793,209094856.0,38426713.9339,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.632,0.786,0.455,0.615,42861880.0,38333770.0,59118310.0,37820780.0,0.8607320160698254,0.8607320160698254,0.8607320160698254,0.8607320160698254,0.861,1
8931.0,1.0,LMST01010016_14-15_0_0_ring,414.37231,414.37302,8.345,8.39,0.8731933369127123,219.9131,219.9,0.996,320352.4023,101599.6928,-1.0,365.32026,"365.32026,383.33082",365.32026,0.0,0.333,1.0,0.5,,21457.65,20319.2,9931.953,0.0,0.934596668456356,0.934596668456356,0.934596668456356,0.935,1
9191.0,1.0,LMST01010089_12-13_0_0_ring,416.38791,416.388669,10.079,10.02,0.8642546104285115,217.675,219.4,0.476,621729.3438,153608.735,"385.346469,367.335909",367.335909,367.335909,367.335909,0.667,1.0,0.4,0.75,82184.17,60799.2,131588.1,81509.48,0.6701273052142558,0.6701273052142558,0.6701273052142558,0.6701273052142558,0.67,1
20416.0,1.0,LMST01020005_23-24_0_0_ring,654.61658,654.618321,21.102,21.8,0.199541284403672,282.0704,285.6,0.176,823788.5859,442274.5553,"398.37811,367.33591","398.37811,367.33591",398.37811,398.37811,0.5,1.0,1.0,0.8,170656.4,263759.7,290633.8,177917.7,0.187770642201836,0.187770642201836,0.187770642201836,0.187770642201836,0.188,1
21167.0,0.75,LMST01020008_5-6_0_0_chain,678.61938,678.618321,20.401,21.22,0.0400757201419904,290.0182,291.4,0.684,1275475.3906,657195.0295,369.35156,"369.35156,594.52443",-2,-1,0.333,1.0,0.0,0.0,395132.1,825320.4,,,0.3620378600709952,0.3620378600709952,0.0,0.0,0.362,1
11240.0,1.0,LMST01040129_13-14_0_0_ring,444.42126,444.419967,10.993,11.16,0.6213206469771156,225.0784,226.2,0.669,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,0.6451603234885579,0.6451603234885579,0.6451603234885579,0.6451603234885579,0.645,1
8941.0,1.0,LMST01010066_12-13_0_0_ring,414.37231,414.37302,10.264,9.96,1.0,219.9865,221.347121,1.0,259948.3242,87715.7962,-2,365.32026,-1,365.32026,0.0,0.5,0.0,0.5,,39254.07,,28145.99,-1.0,0.8,-1.0,0.8,0.8,-1
8930.0,1.0,LMST01010095_14-15_0_0_ring,414.37231,414.37302,8.345,9.06,0.9935650295671092,215.0598,217.4541627,0.824,320352.4023,101599.6928,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.75,0.5,0.8,0.625,40404.55,65395.55,74963.52,37137.6,0.8283130059134219,0.7283130059134219,0.848313005913422,0.7783130059134219,0.796,-1
10391.0,1.0,LMST01010136_13-14_0_0_ring,430.40387,430.404318,10.655,13.28,0.0816944375159985,220.3871,221.4504758,1.0,9534155.25,2625203.6557,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.444,0.5,0.857,0.571,1694518.0,2560546.0,2581264.0,1445391.0,-1.0,0.6163388875031998,0.7591388875031997,0.6447388875031997,0.673,-1
10223.0,1.0,LMST01010202_1-3_0_0_chain,428.38739,428.388669,7.401,7.06,1.0,220.2721,221.8522029,1.0,888200.2578,656947.7173,386.34172,386.34172,-1,386.34172,0.833,0.75,0.0,0.625,183502.2,322513.1,,176229.6,0.9332,0.9,-1.0,0.8500000000000001,0.894,-1
