,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1923,16336.0,1.0,LMST01010018_15-16_0_0_ring,432.38226,432.383583,8.191,7.93,1.0,217.7148,219.0313709,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.7332000000000001,0.92,0.8400000000000001,0.8,0.823
1928,16345.0,1.0,LMST01010019_15-16_0_0_ring,432.38553,432.383583,6.775,8.26,0.6250660903779041,220.7229,222.6193457,0.939,172120.2812,74589.2212,"365.320263,383.330823","365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823",0.5,0.2,0.75,0.714,30453.77,27888.23,44409.33,35413.44,0.7006132180755809,-1.0,0.800613218075581,0.7862132180755808,0.762
1930,16336.0,1.0,LMST01010054_15-16_0_0_ring,432.38226,432.383583,8.191,9.6,0.6600847987797522,217.7148,219.1454039,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.6652169597559505,0.8520169597559506,0.7720169597559505,0.7320169597559505,0.755
1932,16345.0,1.0,LMST01010057_15-16_0_0_ring,432.38553,432.383583,6.775,9.48,0.046827373367548164,220.7229,221.5000414,1.0,172120.2812,74589.2212,"365.320263,383.330823","365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823",0.5,0.2,0.75,0.714,30453.77,27888.23,44409.33,35413.44,0.6093654746735097,-1.0,0.7093654746735096,0.6949654746735097,0.671
54,14400.0,0.75,LMST01010058_15-16_0_0_ring,412.35837,412.35737,6.528,7.34,0.9474740880994681,219.4328,221.1940971,0.965,127212.8125,56293.3708,381.31517,-1,381.31517,-1.0,0.25,0.0,0.333,0.0,35128.53,,44910.5,,0.6754948176198936,-1.0,0.7086948176198936,-1.0,0.692
226,14601.0,1.0,LMST01010066_12-13_0_0_ring,414.37231,414.37302,8.351,9.97,0.5602328769091472,220.7209,221.347121,1.0,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",1.0,0.833,1.0,1.0,779244.9,713271.1,902681.0,739645.5,0.9120465753818295,0.8452465753818295,0.9120465753818295,0.9120465753818295,0.895
1006,14893.0,0.5,LMST01010081_14-15_0_0_ring,416.39114,416.388669,10.05,10.03,1.0,218.1895,221.3208256,0.678,2269980.8125,191812.1349,-1,"385.346469,367.335909","385.346469,367.335909",-1,0.0,0.8,1.0,0.0,,326171.9,371225.2,,-1.0,0.7912000000000001,0.8712000000000002,-1.0,0.831
1933,16336.0,1.0,LMST01010086_15-16_0_0_ring,432.38226,432.383583,8.191,9.37,0.7741564410870891,217.7148,219.1454039,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.6880312882174179,0.874831288217418,0.7948312882174179,0.7548312882174179,0.778
1936,16345.0,1.0,LMST01010088_15-16_0_0_ring,432.38553,432.383583,6.775,9.26,0.1495834705002771,220.7229,221.5000414,1.0,172120.2812,74589.2212,"365.320263,383.330823","365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823",0.5,0.2,0.75,0.714,30453.77,27888.23,44409.33,35413.44,0.6299166941000555,-1.0,0.7299166941000554,0.7155166941000555,0.692
1912,16213.0,1.0,LMST01010094_12-13_0_0_ring,430.40387,430.404318,10.615,13.03,0.18174768302610544,221.2671,222.9738657,0.979,1144551.1562,46499.9482,381.351558,"381.351558,399.362118",381.351558,"381.351558,399.362118",0.5,0.4,0.667,0.5,222256.5,238454.2,243802.7,242946.6,0.6279495366052211,-1.0,0.6947495366052212,0.6279495366052211,0.65
