,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
142,20722.0,1.0,LMST01010095_14-15_0_0_ring,414.37228,414.37302,7.582,9.06,0.6302316962337757,218.811,217.4541627,1.0,563374.8594,61314.3526,365.32026,365.32026,365.32026,-1,0.2,0.25,0.2,0.0,77430.48,86668.7,80641.76,,0.6060463392467552,0.6260463392467552,0.6060463392467552,-1.0,0.613
546,20979.0,1.0,LMST01010096_12-13_0_0_ring,416.38788,416.388669,10.078,9.87,1.0,217.0133,220.1217634,0.68,384130.9883,142675.7786,-1,-1,367.335909,367.335909,0.0,0.0,0.333,0.333,,,82290.55,89889.81,-1.0,-1.0,0.6052000000000001,0.6052000000000001,0.605
557,20979.0,1.0,LMST01010097_11-12_0_0_ring,416.38788,416.388669,10.078,9.86,1.0,217.0133,219.0715714,0.898,384130.9883,142675.7786,-1,-1,367.335909,367.335909,0.0,0.0,0.333,0.333,,,82290.55,89889.81,-1.0,-1.0,0.6924000000000001,0.6924000000000001,0.692
852,23479.0,1.0,LMST01010143_1-3_0_0_chain,442.40546,442.404318,8.606,9.08,1.0,226.4246,230.6722486,0.481,2806007.938,302159.6904,400.35737,400.35737,400.35737,400.35737,0.667,0.667,0.75,0.333,583118.4,653512.1,541277.4,619600.4,0.6592,0.6592,0.6924,-1.0,0.67
857,23479.0,1.0,LMST01010176_1-3_0_0_chain,442.40546,442.404318,8.606,6.24,0.2062120011356927,226.4246,224.4614007,0.928,2806007.938,302159.6904,400.35737,400.35737,400.35737,400.35737,0.667,0.667,0.75,0.333,583118.4,653512.1,541277.4,619600.4,0.6792424002271387,0.6792424002271387,0.7124424002271386,-1.0,0.69
652,22293.0,1.0,LMST01010202_1-3_0_0_chain,428.38736,428.388669,7.342,7.06,1.0,219.5384,221.8522029,0.85,580284.0156,20517.2346,386.34172,386.34172,386.34172,386.34172,0.667,0.75,0.667,0.385,105137.8,119206.3,106640.3,117637.8,0.8068000000000001,0.8400000000000001,0.8068000000000001,0.6940000000000001,0.787
1020,23610.0,1.0,LMST01010207_12-13_0_0_ring,444.42123,444.419967,10.989,9.82,0.7759979121851414,224.4203,225.2386127,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.7267995824370284,0.6695995824370283,0.7835995824370283,0.6439995824370284,0.706
1022,23610.0,1.0,LMST01010225_12-13_0_0_ring,444.42123,444.419967,10.989,9.78,0.7570666251198868,224.4203,225.7201678,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.7230133250239774,0.6658133250239774,0.7798133250239774,0.6402133250239774,0.702
215,20731.0,1.0,LMST01010286_14-15_0_0_ring,414.37228,414.37302,8.339,9.23,0.908732357295838,214.1026,214.5314322,1.0,161003.2109,46050.1735,365.32026,365.32026,365.32026,"365.32026,383.33082",0.2,0.25,0.333,0.333,28292.3,25163.12,38820.37,51572.46,0.6617464714591677,0.6817464714591677,0.7149464714591677,0.7149464714591677,0.693
867,23479.0,1.0,LMST01010304_2-4_0_0_chain,442.40546,442.404318,8.606,8.58,1.0,226.4246,227.3668077,1.0,2806007.938,302159.6904,386.34172,386.34172,386.34172,"368.33116,386.34172",0.667,0.333,0.75,0.5,583118.4,653512.1,541277.4,619600.4,0.8668,0.7332000000000001,0.9,0.8,0.825
871,23479.0,1.0,LMST01010305_2-4_0_0_chain,442.40546,442.404318,8.606,8.58,1.0,226.4246,227.3668077,1.0,2806007.938,302159.6904,386.34172,386.34172,386.34172,"368.33116,386.34172",0.667,0.333,0.75,0.5,583118.4,653512.1,541277.4,619600.4,0.8668,0.7332000000000001,0.9,0.8,0.825
1025,23610.0,1.0,LMST01010306_16-17_0_0_ring,444.42123,444.419967,10.989,9.93,0.827021318493649,224.4203,225.2769883,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.7370042636987298,0.6798042636987298,0.7938042636987298,0.6542042636987299,0.716
222,20722.0,1.0,LMST01010317_14-15_0_0_ring,414.37228,414.37302,7.582,9.06,0.6287786526425877,218.811,217.4541627,1.0,563374.8594,61314.3526,365.32026,365.32026,365.32026,-1,0.2,0.25,0.2,0.0,77430.48,86668.7,80641.76,,0.6057557305285176,0.6257557305285175,0.6057557305285176,-1.0,0.612
832,22471.0,1.0,LMST01010330_24-25_0_0_ring,430.40384,430.404318,10.65,12.75,0.3310388867953551,219.8003,221.1968312,1.0,4905539.0,1685046.898,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.429,0.625,0.2,0.444,818820.4,682502.5,1331880.0,1463223.0,0.637807777359071,0.716207777359071,-1.0,0.643807777359071,0.666
1028,23610.0,1.0,LMST01010331_25-26_0_0_ring,444.42123,444.419967,10.989,9.68,0.7082773927857033,224.4203,224.5578767,1.0,2633385.563,874395.8795,395.367207,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.286,0.571,0.222,419964.3,381115.6,694780.9,784769.0,0.7132554785571407,0.6560554785571406,0.7700554785571407,0.6304554785571407,0.692
256,20722.0,1.0,LMST01010350_14-15_0_0_ring,414.37228,414.37302,7.582,8.44,0.9251496907090687,218.811,218.1944338,1.0,563374.8594,61314.3526,365.32026,365.32026,365.32026,-1,0.2,0.25,0.2,0.0,77430.48,86668.7,80641.76,,0.6650299381418138,0.6850299381418138,0.6650299381418138,-1.0,0.672
1595,41719.0,0.5,LMST01020008_8-9_0_0_chain,678.61511,678.618321,20.423,21.22,0.9558974417520082,288.7552,289.56432,1.0,4666808.5,1797925.512,"369.35156,310.27404",-1,"369.35156,554.49313,310.27404",-1,0.4,0.0,0.636,0.0,1083510.0,,1898027.0,,0.7511794883504017,-1.0,0.8455794883504018,-1.0,0.798
1561,41573.0,0.75,LMST01020009_5-6_0_0_chain,676.60181,676.602672,19.727,21.17,0.6467335151309621,289.3337,289.9326232,1.0,73154.7812,41535.0799,-1,-2,369.35156,369.35156,0.0,0.0,0.5,1.0,,,42898.54,39360.63,-1.0,-1.0,0.7293467030261924,0.9293467030261925,0.829
1566,41573.0,0.75,LMST01020009_8-9_0_0_chain,676.60181,676.602672,19.727,21.18,0.6435631467782763,289.3337,287.8412265,1.0,73154.7812,41535.0799,-1,-2,369.35156,369.35156,0.0,0.0,0.5,1.0,,,42898.54,39360.63,-1.0,-1.0,0.7287126293556553,0.9287126293556554,0.829
1641,43455.0,1.0,LMST01020014_11-12_0_0_chain,702.61725,702.618321,20.368,21.89,0.6091922460317446,293.044,298.1234117,0.545,2065317.75,1415686.267,369.35156,"369.35156,334.27404","369.35156,334.27404","369.35156,334.27404",1.0,0.5,0.857,1.0,328355.6,264074.0,630159.1,551242.3,0.739838449206349,-1.0,0.6826384492063489,0.739838449206349,0.721
1644,43455.0,1.0,LMST01020014_14-15_0_0_chain,702.61725,702.618321,20.368,21.91,0.5973359206349205,293.044,297.8690999,0.583,2065317.75,1415686.267,369.35156,"369.35156,334.27404","369.35156,334.27404","369.35156,334.27404",1.0,0.5,0.857,1.0,328355.6,264074.0,630159.1,551242.3,0.7526671841269841,-1.0,0.695467184126984,0.7526671841269841,0.734
1649,43455.0,1.0,LMST01020014_5-6_0_0_chain,702.61725,702.618321,20.368,21.87,0.6178379206349198,293.044,297.1982318,0.686,2065317.75,1415686.267,369.35156,"369.35156,334.27404","369.35156,334.27404","369.35156,618.52443,334.27404",1.0,0.5,0.857,1.0,328355.6,264074.0,630159.1,551242.3,0.797967584126984,-1.0,0.7407675841269841,0.797967584126984,0.779
1652,43455.0,1.0,LMST01020014_8-9_0_0_chain,702.61725,702.618321,20.368,21.88,0.6156677857142844,293.044,297.1548339,0.693,2065317.75,1415686.267,369.35156,"369.35156,334.27404","369.35156,334.27404","369.35156,334.27404",1.0,0.5,0.857,1.0,328355.6,264074.0,630159.1,551242.3,0.8003335571428569,0.600333557142857,0.7431335571428569,0.8003335571428569,0.736
1690,45128.0,0.75,LMST01020019_11-12_0_0_chain,726.61786,726.618321,21.864,22.68,0.9437113253968258,296.2135,297.7779532,1.0,163428.7129,135156.6173,369.35156,-1,"369.35156,564.47748",369.35156,1.0,0.0,0.75,0.5,50390.25,,88650.95,75998.81,0.9887422650793652,-1.0,0.8887422650793653,0.7887422650793652,0.889
