,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
345,10942.0,1.0,LMST01010066_12-13_0_0_ring,414.37244,414.37302,8.472,9.97,0.6178519245281944,219.6192,221.347121,0.972,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.6455703849056389,0.6123703849056389,-1.0,-1.0,0.629
846,11162.0,1.0,LMST01010081_14-15_0_0_ring,416.38803,416.388669,11.75,10.03,0.5131428678654537,219.8059,221.3208256,1.0,833501.75,84704.752,367.335909,"385.346469,367.335909","385.346469,367.335909",367.335909,0.667,0.5,0.75,0.333,173284.2,166437.8,154987.5,132269.2,0.7694285735730908,0.7026285735730908,0.8026285735730908,0.6358285735730907,0.728
1768,12402.0,1.0,LMST01010094_12-13_0_0_ring,430.40393,430.404318,10.631,13.03,0.1893667306451533,221.0471,222.9738657,0.933,20160796.5,2388439.282,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.818,0.667,0.625,0.429,4837624.0,4979481.0,4734552.0,3879227.0,0.7382733461290307,0.6778733461290307,0.6610733461290307,-1.0,0.692
361,10942.0,1.0,LMST01010095_14-15_0_0_ring,414.37244,414.37302,8.472,9.08,1.0,219.6192,217.4541627,0.872,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.682,0.6488,-1.0,-1.0,0.665
862,11154.0,1.0,LMST01010096_12-13_0_0_ring,416.38803,416.388669,10.106,9.89,1.0,218.2631,220.1217634,0.942,728434.875,29248.1239,367.335909,367.335909,367.335909,367.335909,0.667,0.5,0.2,0.5,57517.25,57763.9,53492.75,50092.38,0.8436000000000001,0.7768,0.6568,0.7768,0.764
881,11160.0,1.0,LMST01010097_11-12_0_0_ring,416.38803,416.388669,10.326,9.88,1.0,216.9397,219.0715714,0.883,149475308.0,12726154.1256,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.632,0.667,0.538,0.667,37758200.0,37116570.0,36670100.0,29293820.0,0.806,0.8200000000000001,0.7684,0.8200000000000001,0.804
285,10714.0,0.5,LMST01010121_14-15_0_0_ring,412.35849,412.35737,8.484,6.65,0.4597598545168182,215.314,218.5382186,0.65,89009.5117,12361.9267,363.30461,-1.0,-1,381.31517,1.0,0.0,0.0,1.0,25354.34,,,18987.66,0.7519519709033637,-1.0,-1.0,0.7519519709033637,0.752
1772,12402.0,1.0,LMST01010136_13-14_0_0_ring,430.40393,430.404318,10.631,13.29,0.06624832786995938,221.0471,221.4504758,1.0,20160796.5,2388439.282,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.818,0.667,0.625,0.429,4837624.0,4979481.0,4734552.0,3879227.0,0.7404496655739918,0.6800496655739919,0.6632496655739919,-1.0,0.695
1778,12400.0,1.0,LMST01010137_14-15_0_0_ring,430.40387,430.404318,8.78,7.33,0.6410118003431964,224.5637,225.2639948,1.0,1646459.5312,15171.1543,399.362118,399.362118,381.351558,381.351558,0.5,0.333,0.333,0.333,653941.6,738708.3,540697.9,770913.2,0.7282023600686394,0.6614023600686393,0.6614023600686393,0.6614023600686393,0.678
1787,12400.0,1.0,LMST01010138_14-15_0_0_ring,430.40387,430.404318,8.78,8.32,1.0,224.5637,225.2639948,1.0,1646459.5312,15171.1543,399.362118,399.362118,381.351558,381.351558,0.5,0.333,0.333,0.333,653941.6,738708.3,540697.9,770913.2,0.8,0.7332000000000001,0.7332000000000001,0.7332000000000001,0.75
3887,14413.0,1.0,LMST01010142_1-3_0_0_chain,456.41904,456.419967,9.004,8.69,1.0,231.4679,233.706246,0.89,3248667.5625,220128.3002,414.37302,414.37302,414.37302,414.37302,0.6,0.667,0.5,0.333,1121780.0,1047921.0,1041171.0,1280818.0,0.796,0.8228000000000001,0.756,0.6892,0.766
2257,13298.0,1.0,LMST01010143_1-3_0_0_chain,442.40231,442.404318,9.005,9.1,1.0,227.8126,230.6722486,0.759,787858.7812,91181.1565,400.35737,400.35737,400.35737,400.35737,1.0,0.75,1.0,1.0,400809.8,388476.4,376701.7,384036.9,0.9036000000000002,0.8036000000000001,0.9036000000000002,0.9036000000000002,0.879
2274,13316.0,1.0,LMST01010143_13-14_0_0_ring,442.40564,442.404318,10.792,10.1,1.0,224.0118,223.2035178,1.0,4664949.5625,492934.5369,"393.351558,411.362118","393.351558,411.362118","393.351558,411.362118",411.362118,0.75,0.5,0.571,0.4,1091201.0,1037888.0,1028599.0,855553.9,0.9,0.8,0.8284,0.76,0.822
2033,13145.0,1.0,LMST01010149_1-3_0_0_chain,440.38776,440.388669,8.51,6.89,0.5595426921806834,227.6976,222.7147885,0.298,730297.5625,23310.5393,398.34172,398.34172,398.34172,398.34172,0.333,1.0,1.0,0.5,120864.2,121299.2,110943.7,119033.5,-1.0,0.6311085384361367,0.6311085384361367,-1.0,0.631
