,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
134,14203.0,1.0,LMST01010066_12-13_0_0_ring,414.37231,414.37302,8.335,9.96,0.5608710415472801,219.7662,221.347121,1.0,263587.3672,107631.4311,365.32026,365.32026,-1,-1,0.5,0.5,0.0,0.0,9467.75,19276.84,,,0.712174208309456,0.712174208309456,-1.0,-1.0,0.712
835,14418.0,1.0,LMST01010081_14-15_0_0_ring,416.39114,416.388669,10.079,10.01,1.0,217.8955,221.3208256,0.617,468294.2891,162945.3866,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.571,0.667,0.75,0.75,42062.74,86463.15,94404.38,55626.81,0.6752,0.7136,0.7468,0.7468,0.721
160,14205.0,1.0,LMST01010095_14-15_0_0_ring,414.37231,414.37302,8.517,9.06,1.0,215.4279,217.4541627,0.902,203608.6836,64071.3418,383.33082,-1,383.33082,-1,0.333,0.0,0.667,0.0,14157.65,,34067.82,,0.6940000000000001,-1.0,0.8276000000000001,-1.0,0.761
846,14418.0,1.0,LMST01010096_12-13_0_0_ring,416.39114,416.388669,10.079,9.87,1.0,217.8955,220.1217634,0.865,468294.2891,162945.3866,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.571,0.667,0.75,0.75,42062.74,86463.15,94404.38,55626.81,0.7744,0.8128000000000001,0.8460000000000001,0.8460000000000001,0.82
857,14418.0,1.0,LMST01010097_11-12_0_0_ring,416.39114,416.388669,10.079,9.86,1.0,217.8955,219.0715714,1.0,468294.2891,162945.3866,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.571,0.667,0.75,0.75,42062.74,86463.15,94404.38,55626.81,0.8284,0.8668,0.9,0.9,0.874
1305,15559.0,1.0,LMST01010136_13-14_0_0_ring,430.40387,430.404318,10.645,13.28,0.07693253275409373,220.5338,221.4504758,1.0,7047375.75,2338436.8879,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.545,0.556,0.5,0.556,949223.8,1898722.0,2051146.0,1283647.0,0.6333865065508189,0.6377865065508188,0.6153865065508188,0.6377865065508188,0.631
1497,16478.0,1.0,LMST01010143_1-3_0_0_chain,442.40216,442.404318,8.598,9.08,1.0,227.2283,230.6722486,0.642,3920971.125,1850910.7366,400.35737,400.35737,400.35737,400.35737,0.571,0.5,0.7,0.75,392352.9,959879.4,1227169.0,603874.6,0.6852,0.6568,0.7368,0.7568,0.709
1502,16478.0,1.0,LMST01010176_1-3_0_0_chain,442.40216,442.404318,8.598,6.24,0.21002152494521664,227.2283,224.4614007,0.763,3920971.125,1850910.7366,400.35737,400.35737,400.35737,400.35737,0.571,0.5,0.7,0.75,392352.9,959879.4,1227169.0,603874.6,-1.0,-1.0,0.6272043049890433,0.6472043049890435,0.637
971,15425.0,1.0,LMST01010202_1-3_0_0_chain,428.38736,428.388669,7.33,7.06,1.0,220.1988,221.8522029,0.988,1179092.7812,547552.7528,386.34172,386.34172,386.34172,386.34172,0.5,0.429,0.462,0.889,119489.2,279214.6,409568.1,188537.5,0.7952,0.7668,0.78,0.9508000000000001,0.823
970,15434.0,1.0,LMST01010202_12-13_0_0_ring,428.39066,428.388669,8.44,9.82,0.6757869070231899,223.7172,224.7016175,1.0,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.668357381404638,0.623957381404638,0.646
185,14203.0,1.0,LMST01010206_12-13_0_0_ring,414.37231,414.37302,8.335,9.93,0.5745874331049564,219.7662,222.1238231,0.842,263587.3672,107631.4311,365.32026,365.32026,-1,-1,0.5,0.5,0.0,0.0,9467.75,19276.84,,,0.6517174866209913,0.6517174866209913,-1.0,-1.0,0.652
1694,16645.0,1.0,LMST01010207_12-13_0_0_ring,444.42126,444.419967,10.982,9.82,0.7793312455184753,225.2246,225.2386127,1.0,3502223.8125,1105570.6476,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.273,0.571,0.5,459821.2,945976.8,967370.2,613758.1,0.7274662491036951,0.6650662491036952,0.7842662491036951,0.7558662491036952,0.733
