,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
136,15599.0,1.0,LMST01010066_12-13_0_0_ring,414.37238,414.37302,8.346,9.93,0.5798339073637545,219.6193,221.347121,0.972,296146.8008,137715.6035,365.32026,365.32026,-1,-1,0.5,1.0,0.0,0.0,19285.91,8303.214,,,0.704766781472751,0.9047667814727509,-1.0,-1.0,0.805
728,15851.0,1.0,LMST01010081_14-15_0_0_ring,416.38797,416.388669,10.083,9.98,1.0,217.4545,221.3208256,0.525,686004.1719,364352.2691,-1,"385.346469,367.335909",367.335909,367.335909,0.0,0.8,0.75,1.0,,90232.38,197531.3,53248.09,-1.0,0.73,0.71,0.81,0.75
156,15599.0,1.0,LMST01010095_14-15_0_0_ring,414.37238,414.37302,8.346,9.03,1.0,219.6193,217.4541627,0.872,296146.8008,137715.6035,365.32026,365.32026,-1,-1,0.5,1.0,0.0,0.0,19285.91,8303.214,,,0.7488,0.9488000000000001,-1.0,-1.0,0.849
739,15851.0,1.0,LMST01010096_12-13_0_0_ring,416.38797,416.388669,10.083,9.84,1.0,217.4545,220.1217634,0.772,686004.1719,364352.2691,-1,"385.346469,367.335909",367.335909,367.335909,0.0,0.8,0.75,1.0,,90232.38,197531.3,53248.09,-1.0,0.8288,0.8088,0.9088,0.849
750,15851.0,1.0,LMST01010097_11-12_0_0_ring,416.38797,416.388669,10.083,9.83,1.0,217.4545,219.0715714,0.992,686004.1719,364352.2691,-1,"385.346469,367.335909",367.335909,367.335909,0.0,0.8,0.75,1.0,,90232.38,197531.3,53248.09,-1.0,0.9168000000000001,0.8968,0.9968000000000001,0.937
1270,17036.0,1.0,LMST01010136_13-14_0_0_ring,430.40393,430.404318,10.653,13.25,0.09656178741552901,220.1671,221.4504758,1.0,3782755.4062,2120682.7391,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.5,0.571,0.3,0.333,772313.1,666258.8,1456541.0,360393.3,0.6193123574831059,0.6477123574831058,-1.0,-1.0,0.634
1356,17893.0,1.0,LMST01010143_1-3_0_0_chain,442.40561,442.404318,8.616,9.05,1.0,226.7899,230.6722486,0.554,2428101.4375,1167562.6555,400.35737,400.35737,400.35737,400.35737,1.0,0.5,0.2,0.8,775559.7,299377.3,681018.1,318846.6,0.8216000000000001,0.6216,-1.0,0.7416,0.728
1364,17893.0,1.0,LMST01010176_1-3_0_0_chain,442.40561,442.404318,8.616,6.21,0.18537809738199895,226.7899,224.4614007,0.853,2428101.4375,1167562.6555,400.35737,400.35737,400.35737,400.35737,1.0,0.5,0.2,0.8,775559.7,299377.3,681018.1,318846.6,0.7782756194763998,-1.0,-1.0,0.6982756194763999,0.738
858,16946.0,1.0,LMST01010202_1-3_0_0_chain,428.38748,428.388669,7.361,7.03,1.0,219.8319,221.8522029,0.912,459642.3438,212078.7578,386.34172,386.34172,386.34172,386.34172,0.4,0.667,0.571,0.5,123225.6,53142.68,127044.3,54041.03,0.7248000000000001,0.8316000000000001,0.7932,0.7648,0.779
183,15599.0,1.0,LMST01010206_12-13_0_0_ring,414.37238,414.37302,8.346,9.9,0.5936177617463105,219.6193,222.1238231,0.811,296146.8008,137715.6035,365.32026,365.32026,-1,-1,0.5,1.0,0.0,0.0,19285.91,8303.214,,,0.6431235523492622,0.8431235523492622,-1.0,-1.0,0.743
1602,17992.0,1.0,LMST01010207_12-13_0_0_ring,444.42133,444.419967,10.994,9.79,0.7595676323167713,224.8591,225.2386127,1.0,2029183.1719,1148508.2055,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.25,0.444,0.571,0.4,422954.5,343823.8,786158.9,191996.2,0.6519135264633543,0.7295135264633543,0.7803135264633543,0.7119135264633543,0.718
