,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
900,14145.0,1.0,LMST01010081_14-15_0_0_ring,416.38794,416.388669,10.085,9.98,1.0,217.8956,221.3208256,0.617,778885.1953,272314.9392,367.335909,367.335909,367.335909,367.335909,1.0,0.6,0.667,0.5,129350.3,103674.7,65446.32,172045.6,0.8468000000000001,0.6868000000000001,0.7136,0.6468,0.724
231,13905.0,1.0,LMST01010095_14-15_0_0_ring,414.37234,414.37302,8.348,9.03,1.0,214.6918,217.4541627,0.745,1653535.75,280706.4981,"365.32026,383.33082","365.32026,383.33082",365.32026,"365.32026,383.33082",0.5,0.273,0.286,0.667,354453.7,342236.3,292982.3,466781.0,0.698,0.6072,0.6124,0.7648,0.671
913,14145.0,1.0,LMST01010096_12-13_0_0_ring,416.38794,416.388669,10.085,9.84,1.0,217.8956,220.1217634,0.865,778885.1953,272314.9392,367.335909,367.335909,367.335909,367.335909,1.0,0.6,0.667,0.5,129350.3,103674.7,65446.32,172045.6,0.9460000000000002,0.786,0.8128000000000001,0.746,0.823
927,14145.0,1.0,LMST01010097_11-12_0_0_ring,416.38794,416.388669,10.085,9.83,1.0,217.8956,219.0715714,1.0,778885.1953,272314.9392,367.335909,367.335909,367.335909,367.335909,1.0,0.6,0.667,0.5,129350.3,103674.7,65446.32,172045.6,1.0,0.8400000000000001,0.8668,0.8,0.877
1592,15363.0,1.0,LMST01010138_14-15_0_0_ring,430.4039,430.404318,8.815,8.26,1.0,224.1977,225.2639948,1.0,352620.0234,72011.2888,399.362118,-1,-1,399.362118,0.25,0.0,0.0,0.167,44540.62,,,89952.02,0.7000000000000001,-1.0,-1.0,0.6668000000000001,0.683
1796,16298.0,1.0,LMST01010143_1-3_0_0_chain,442.40219,442.404318,8.619,9.05,1.0,227.2283,230.6722486,0.642,3821875.125,183376.0629,400.35737,400.35737,400.35737,"400.35737,382.34681",0.5,0.667,0.8,0.75,551211.4,860088.1,808522.9,896458.9,0.6568,0.7236,0.7768,0.7568,0.729
1800,16300.0,1.0,LMST01010143_13-14_0_0_ring,442.40552,442.404318,10.155,10.06,1.0,222.1821,223.2035178,1.0,1075563.484,385545.2661,-1,-1,411.362118,411.362118,0.0,0.0,0.125,0.125,,,186944.6,328777.6,-1.0,-1.0,0.65,0.65,0.65
1806,16298.0,1.0,LMST01010176_1-3_0_0_chain,442.40219,442.404318,8.619,6.21,0.18394952595342795,227.2283,224.4614007,0.763,3821875.125,183376.0629,400.35737,400.35737,400.35737,"400.35737,382.34681",0.5,0.667,0.8,0.75,551211.4,860088.1,808522.9,896458.9,-1.0,0.6087899051906857,0.6619899051906857,0.6419899051906857,0.638
1597,15363.0,1.0,LMST01010197_12-13_0_0_ring,430.4039,430.404318,8.815,7.63,0.7672163642839678,224.1977,223.5349943,1.0,352620.0234,72011.2888,399.362118,-1,-1,399.362118,0.25,0.0,0.0,0.167,44540.62,,,89952.02,0.6534432728567936,-1.0,-1.0,0.6202432728567936,0.637
1066,15265.0,1.0,LMST01010202_1-3_0_0_chain,428.38739,428.388669,7.42,7.03,1.0,220.3454,221.8522029,1.0,494812.3618,315640.425,386.34172,-1,386.34172,386.34172,0.833,0.0,0.8,1.0,121416.6,,123952.7,141018.3,0.9332,-1.0,0.92,1.0,0.951
