,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
116,8941.0,1.0,LMST01010066_12-13_0_0_ring,414.37231,414.37302,10.264,9.96,1.0,219.9865,221.347121,1.0,259948.3242,87715.7962,-2,365.32026,-1,365.32026,0.0,0.5,0.0,0.5,,39254.07,,28145.99,-1.0,0.8,-1.0,0.8,0.8
853,9191.0,1.0,LMST01010081_14-15_0_0_ring,416.38791,416.388669,10.079,10.01,1.0,217.675,221.3208256,0.571,621729.3438,153608.735,"385.346469,367.335909",367.335909,367.335909,367.335909,0.667,1.0,0.4,0.75,82184.17,60799.2,131588.1,81509.48,0.6952,0.8284,-1.0,0.7283999999999999,0.751
137,8930.0,1.0,LMST01010095_14-15_0_0_ring,414.37231,414.37302,8.345,9.06,0.9935650295671092,215.0598,217.4541627,0.824,320352.4023,101599.6928,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.75,0.5,0.8,0.625,40404.55,65395.55,74963.52,37137.6,0.8283130059134219,0.7283130059134219,0.848313005913422,0.7783130059134219,0.796
868,9191.0,1.0,LMST01010096_12-13_0_0_ring,416.38791,416.388669,10.079,9.87,1.0,217.675,220.1217634,0.819,621729.3438,153608.735,"385.346469,367.335909",367.335909,367.335909,367.335909,0.667,1.0,0.4,0.75,82184.17,60799.2,131588.1,81509.48,0.7944,0.9276000000000001,0.6876,0.8276,0.809
883,9191.0,1.0,LMST01010097_11-12_0_0_ring,416.38791,416.388669,10.079,9.86,1.0,217.675,219.0715714,1.0,621729.3438,153608.735,"385.346469,367.335909",367.335909,367.335909,367.335909,0.667,1.0,0.4,0.75,82184.17,60799.2,131588.1,81509.48,0.8668,1.0,0.76,0.9,0.882
1548,10391.0,1.0,LMST01010136_13-14_0_0_ring,430.40387,430.404318,10.655,13.28,0.08169443751599859,220.3871,221.4504758,1.0,9534155.25,2625203.6557,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.444,0.5,0.857,0.571,1694518.0,2560546.0,2581264.0,1445391.0,-1.0,0.6163388875031998,0.7591388875031997,0.6447388875031997,0.673
1620,11103.0,1.0,LMST01010143_1-3_0_0_chain,442.40549,442.404318,8.613,9.08,1.0,227.2283,230.6722486,0.642,2927290.5938,1055848.738,400.35737,400.35737,400.35737,"400.35737,382.34681",0.75,0.667,0.667,0.636,410311.6,460681.1,841341.3,429138.9,0.7568,0.7236,0.7236,0.7112,0.729
1628,11103.0,1.0,LMST01010176_1-3_0_0_chain,442.40549,442.404318,8.613,6.24,0.20287866780235964,227.2283,224.4614007,0.763,2927290.5938,1055848.738,400.35737,400.35737,400.35737,"400.35737,382.34681",0.75,0.667,0.667,0.636,410311.6,460681.1,841341.3,429138.9,0.645775733560472,0.612575733560472,0.612575733560472,0.600175733560472,0.618
1098,10223.0,1.0,LMST01010202_1-3_0_0_chain,428.38739,428.388669,7.401,7.06,1.0,220.2721,221.8522029,1.0,888200.2578,656947.7173,386.34172,386.34172,-1,386.34172,0.833,0.75,0.0,0.625,183502.2,322513.1,,176229.6,0.9332,0.9,-1.0,0.8500000000000001,0.894
1092,10225.0,1.0,LMST01010202_12-13_0_0_ring,428.38739,428.388669,8.459,9.82,0.6848345260708087,223.7173,224.7016175,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6097669052141618,0.6369669052141618,0.6513669052141617,-1.0,0.633
