PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.6623672,0.7380404,0.807739,-1.0,-1.0,-1.0,-1.0,522.2653,9075.938,16493.63,13.50651,
1,0.6623672,0.7380404,0.807739,1.103253,1.120216,1.135741,230.2597,522.2653,1516.563,1795.268,31.10536,1501
2,0.6623672,0.7380404,0.807739,1.352135,1.365945,1.393512,280.7692,522.2653,745.4375,779.0406,17.3548,1525
3,0.697637,0.7435499,0.8318402,-1.0,-1.0,-1.0,-1.0,291.1725,11885.44,32307.96,17.0619,
4,0.697637,0.7435499,0.8318402,1.047938,1.080594,1.096177,226.5582,291.1725,2611.5,2862.683,49.355,
5,0.697637,0.7435499,0.8318402,1.096177,1.120216,1.145609,234.8653,291.1725,2845.688,3834.501,54.74875,1459_1496
6,0.6505439,0.7435499,0.8199877,-1.0,-1.0,-1.0,-1.0,463.1921,3876.813,11751.82,4.958333,
7,0.6505439,0.7435499,0.8199877,1.059308,1.077759,1.097593,222.2506,463.1921,755.375,741.4764,12.43625,
8,0.6505439,0.7435499,0.8199877,1.10891,1.121628,1.13292,231.2972,463.1921,916.5,836.5327,17.19125,
9,0.6683822,0.7435499,0.8318402,-1.0,-1.0,-1.0,-1.0,485.1748,3342.813,8669.708,8.522676,
10,0.6683822,0.7435499,0.8318402,1.033708,1.056467,1.080594,217.5782,485.1748,683.5625,757.6908,7.945391,1502
11,0.6683822,0.7435499,0.8318402,1.291154,1.306432,1.331385,269.0584,485.1748,399.5625,510.8817,4.644316,1495
14,0.697637,0.7435499,0.8019204,-1.0,-1.0,-1.0,-1.0,578.2935,5484.625,11414.5,6.565855,
15,0.697637,0.7435499,0.8019204,1.1442,1.177969,1.192008,241.533,578.2935,1285.563,1505.684,27.77027,1560
16,0.697637,0.7435499,0.8019204,1.386627,1.410017,1.423752,289.1125,578.2935,402.625,436.7487,8.69515,1524
19,0.7091676,0.749544,0.8318402,-1.0,-1.0,-1.0,-1.0,347.1994,5229.438,19012.22,8.381503,
20,0.7091676,0.749544,0.8318402,1.12304,1.1442,1.154061,238.189,347.1994,1313.313,1502.069,24.79625,
21,0.7091676,0.749544,0.8318402,1.154061,1.182183,1.204627,246.0959,347.1994,1411.5,2009.706,28.14,1481
22,0.7091676,0.749544,0.8318402,1.213032,1.229821,1.243791,256.0127,347.1994,302.8125,200.0632,5.9675,
23,0.6920501,0.749544,0.8137109,-1.0,-1.0,-1.0,-1.0,600.0395,3395.438,11216.79,6.164479,
24,0.6920501,0.749544,0.8137109,0.871592,0.8903672,0.9105502,182.4096,600.0395,404.5625,421.821,8.09125,
25,0.6920501,0.749544,0.8137109,1.094762,1.120216,1.135741,229.4987,600.0395,1820.938,1825.876,36.41875,1554
26,0.6803501,0.749544,0.8019204,-1.0,-1.0,-1.0,-1.0,730.0097,1050.063,2528.83,1.769946,
27,0.6803501,0.749544,0.8019204,1.254954,1.268892,1.282811,258.9238,730.0097,273.0,122.609,4.55127,
28,0.7035707,0.7555214,0.8257357,-1.0,-1.0,-1.0,-1.0,232.0999,7923.188,36803.82,10.9827,
29,0.7035707,0.7555214,0.8257357,0.9378812,0.9622765,0.9694411,203.9924,232.0999,1009.375,821.2479,3.443755,
30,0.7035707,0.7555214,0.8257357,1.025162,1.045094,1.060728,221.5488,232.0999,2430.813,2834.004,6.307082,
31,0.7035707,0.7555214,0.8257357,1.060728,1.07634,1.082012,228.1728,232.0999,2180.25,1675.87,4.999308,
32,0.697637,0.7555214,0.8199877,-1.0,-1.0,-1.0,-1.0,342.0066,3855.813,11060.74,11.0471,
33,0.697637,0.7555214,0.8199877,0.9966232,1.028011,1.04936,214.1232,342.0066,2292.625,2362.642,45.8525,1527
38,0.6623672,0.7555214,0.8257357,-1.0,-1.0,-1.0,-1.0,757.0012,4197.625,12777.21,5.915278,
39,0.6623672,0.7555214,0.8257357,0.5696586,0.5800568,0.5934116,118.2855,757.0012,277.875,128.7215,4.444229,
40,0.6623672,0.7555214,0.8257357,0.8121635,0.8252367,0.835394,168.2827,757.0012,348.75,175.5008,5.481816,
41,0.6623672,0.7555214,0.8257357,0.8614688,0.8860374,0.8918101,180.6812,757.0012,579.25,330.9356,9.264309,
42,0.6623672,0.7555214,0.8257357,1.238205,1.259138,1.277246,256.764,757.0012,885.25,714.3311,14.15836,
43,0.6623672,0.7555214,0.8257357,1.30782,1.327231,1.347988,270.6496,757.0012,895.5625,1066.872,14.32329,1515
46,0.6743922,0.7610571,0.8318402,-1.0,-1.0,-1.0,-1.0,322.0704,1220.875,3412.654,3.706179,
47,0.6743922,0.7610571,0.8318402,0.7728488,0.7830552,0.793252,163.4833,322.0704,509.625,362.237,8.02,
48,0.7091676,0.7610571,0.8137109,-1.0,-1.0,-1.0,-1.0,372.131,4660.5,13275.19,5.102879,
49,0.7091676,0.7610571,0.8137109,0.9004635,0.9191886,0.9407541,190.869,372.131,2816.563,2461.659,24.93454,1512
54,0.7152759,0.7610571,0.7843919,-1.0,-1.0,-1.0,-1.0,421.1425,6316.125,14930.08,14.60244,
55,0.7152759,0.7610571,0.7843919,0.9536727,0.9622765,0.9808946,199.0005,421.1425,792.9375,712.0697,15.20375,
56,0.7152759,0.7610571,0.7843919,1.020886,1.033708,1.040826,213.7728,421.1425,578.125,536.219,5.92,
57,0.7152759,0.7610571,0.7843919,1.040826,1.04936,1.060728,217.0096,421.1425,845.4375,702.7195,11.16125,
58,0.7152759,0.7610571,0.7843919,1.060728,1.074922,1.083429,222.2959,421.1425,1270.75,1245.424,15.72875,
59,0.7152759,0.7610571,0.7843919,1.096177,1.103253,1.110324,228.1548,421.1425,1109.875,695.7609,11.31375,
60,0.7152759,0.7610571,0.7843919,1.110324,1.117391,1.13292,231.0784,421.1425,1171.688,1214.646,16.34375,
61,0.7152759,0.7610571,0.7843919,1.13292,1.141382,1.156876,236.0398,421.1425,1099.125,884.0897,15.6325,
62,0.7152759,0.7610571,0.7843919,1.234014,1.240999,1.247979,256.6408,421.1425,388.375,180.2376,6.885,
63,0.7035707,0.7610571,0.8137109,-1.0,-1.0,-1.0,-1.0,423.0604,1893.188,6221.229,3.951138,
64,0.7035707,0.7610571,0.8137109,0.9306955,0.9436262,0.9536727,195.116,423.0604,358.0625,235.7244,4.603046,
65,0.7035707,0.7610571,0.8137109,0.9751694,0.9823254,0.9909064,203.118,423.0604,449.75,225.5195,5.335994,
66,0.7035707,0.7610571,0.8137109,1.114565,1.127276,1.138562,233.0897,423.0604,431.4375,371.4112,4.029544,
67,0.7035707,0.7610571,0.8137109,1.148427,1.155468,1.170943,238.9192,423.0604,306.3125,151.7383,4.091319,
68,0.6683822,0.7610571,0.8720309,-1.0,-1.0,-1.0,-1.0,536.0093,2074.25,6190.605,4.849231,
69,0.6683822,0.7610571,0.8720309,1.045094,1.052203,1.073504,216.1385,536.0093,480.75,365.2375,9.615,
70,0.6683822,0.7610571,0.8720309,1.229821,1.249374,1.267499,256.6404,536.0093,655.25,516.3306,13.105,
71,0.6683822,0.7610571,0.8374668,-1.0,-1.0,-1.0,-1.0,752.0512,9443.5,37205.13,15.66727,
72,0.6683822,0.7610571,0.8374668,0.871592,0.8903672,0.9091098,181.5855,752.0512,739.4375,742.5662,9.484219,
73,0.6683822,0.7610571,0.8374668,1.229821,1.259138,1.285593,256.7942,752.0512,4766.688,4824.377,62.50177,1520
74,0.6683822,0.7610571,0.8374668,1.288374,1.325845,1.359042,270.3988,752.0512,3036.188,3472.714,39.8111,1514
80,0.6803501,0.7665787,0.8019204,-1.0,-1.0,-1.0,-1.0,254.0817,4162.875,13846.27,5.473711,
81,0.6803501,0.7665787,0.8019204,0.9579755,0.9808946,0.9951943,206.9683,254.0817,1698.813,1347.859,33.97625,
82,0.6803501,0.7665787,0.8019204,0.9951943,1.018034,1.035132,214.8047,254.0817,1699.688,1890.981,31.50625,
83,0.6803501,0.7665787,0.8019204,1.035132,1.055046,1.079177,222.6141,254.0817,982.25,1042.388,19.645,1519
84,0.7035707,0.7665787,0.7958656,-1.0,-1.0,-1.0,-1.0,268.1039,2198.313,6103.378,2.850505,
85,0.7035707,0.7665787,0.7958656,0.7158085,0.7333912,0.7597122,154.3428,268.1039,704.375,953.5009,7.176037,
86,0.6920501,0.7665787,0.8374668,-1.0,-1.0,-1.0,-1.0,357.9781,1877.813,6394.075,6.060522,
87,0.6920501,0.7665787,0.8374668,1.018034,1.037979,1.056467,215.8339,357.9781,1187.688,980.0916,14.21008,
88,0.6920501,0.7665787,0.8374668,1.079177,1.08768,1.099008,226.1686,357.9781,257.625,108.0433,3.082354,
89,0.6683822,0.7665787,0.8604457,-1.0,-1.0,-1.0,-1.0,401.0821,13413.94,58948.98,26.19142,
90,0.6683822,0.7665787,0.8604457,0.8990217,0.9220665,0.9407541,190.9822,401.0821,2687.063,3849.497,27.9311,1469_1479
91,0.6683822,0.7665787,0.8604457,0.9579755,0.9751694,0.9894766,201.9811,401.0821,4835.25,5679.959,41.82901,1471
92,0.6683822,0.7665787,0.8604457,1.079177,1.08768,1.103253,225.2849,401.0821,524.0625,301.0233,5.700711,
93,0.7035707,0.7665787,0.8257357,-1.0,-1.0,-1.0,-1.0,404.119,3233.25,12026.52,9.386985,
94,0.7035707,0.7665787,0.8257357,0.9407541,0.965143,0.9794636,199.8554,404.119,627.25,612.9496,12.155,
95,0.7035707,0.7665787,0.8257357,0.9937651,1.009475,1.023737,209.0353,404.119,484.5625,335.3814,9.69125,
96,0.7035707,0.7665787,0.8257357,1.07634,1.086264,1.107496,224.9362,404.119,677.4375,734.3425,11.0475,
97,0.7035707,0.7665787,0.8257357,1.107496,1.114565,1.124452,230.7966,404.119,435.875,280.686,6.4475,
98,0.7035707,0.7665787,0.8257357,1.176564,1.183587,1.194814,245.0893,404.119,527.1875,278.7163,10.54375,
99,0.7035707,0.7665787,0.8374668,-1.0,-1.0,-1.0,-1.0,448.0839,4771.75,16673.45,12.11029,
100,0.7035707,0.7665787,0.8374668,0.9808946,0.9951943,1.022311,205.4218,448.0839,1881.063,1942.1,15.18937,1521
101,0.7035707,0.7665787,0.8374668,1.180778,1.190605,1.201824,245.7572,448.0839,500.6875,367.5197,3.697291,
102,0.7152759,0.7665787,0.8199877,-1.0,-1.0,-1.0,-1.0,514.0219,1749.938,5419.761,4.676184,
103,0.7152759,0.7665787,0.8199877,0.9350075,0.9522381,0.9665759,195.8118,514.0219,291.75,194.9139,5.835,
104,0.7152759,0.7665787,0.8199877,1.217231,1.229821,1.247979,252.892,514.0219,417.125,354.316,7.865,
113,0.6803501,0.7665787,0.8604457,-1.0,-1.0,-1.0,-1.0,800.9976,1467.25,4310.784,2.410173,
114,0.6803501,0.7665787,0.8604457,0.8744826,0.8932528,0.9076692,181.974,800.9976,275.25,228.4153,3.520483,
115,0.6683822,0.7725241,0.8199877,-1.0,-1.0,-1.0,-1.0,241.0656,41434.44,187686.4,58.2965,
116,0.6683822,0.7725241,0.8199877,0.6673089,0.6967283,0.7172748,147.4029,241.0656,50583.81,55247.0,181.4988,1493_1486
130,0.6920501,0.7725241,0.8374668,-1.0,-1.0,-1.0,-1.0,440.0219,1470.375,4415.93,3.957839,
131,0.6920501,0.7725241,0.8374668,0.9766009,0.9851865,0.9966232,203.4656,440.0219,278.8125,125.7167,5.57625,
132,0.6920501,0.7725241,0.8374668,1.13292,1.148427,1.170943,237.1789,440.0219,698.1875,626.4577,13.96375,
133,0.6623672,0.7725241,0.8199877,-1.0,-1.0,-1.0,-1.0,578.061,5013.813,17056.87,10.50176,
