PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.662648,0.7253541,0.7949055,-1.0,-1.0,-1.0,-1.0,522.2691,11005.13,21595.42,33.41784,
1,0.662648,0.7253541,0.7949055,1.097593,1.124452,1.155468,231.1304,522.2691,1941.813,2386.066,37.62,1441_1426
2,0.662648,0.7253541,0.7949055,1.345223,1.360423,1.365945,279.6341,522.2691,716.125,616.4659,9.5275,
3,0.662648,0.7253541,0.7949055,1.365945,1.374223,1.393512,282.4706,522.2691,808.4375,681.903,15.9525,1394
6,0.6282613,0.7253541,0.8404534,-1.0,-1.0,-1.0,-1.0,589.2762,3664.063,7498.591,11.98668,
7,0.6282613,0.7253541,0.8404534,1.074922,1.096177,1.118803,224.6654,589.2762,1464.125,1463.558,29.2825,1393_1445
10,0.6683967,0.7253541,0.8180078,-1.0,-1.0,-1.0,-1.0,753.356,1795.563,3832.081,5.363645,
11,0.6683967,0.7253541,0.8180078,1.346606,1.372844,1.393512,279.9752,753.356,436.75,477.1975,12.3475,1434
12,0.6970817,0.730915,0.806789,-1.0,-1.0,-1.0,-1.0,291.1754,15416.19,43199.5,36.26704,
13,0.6970817,0.730915,0.806789,1.070666,1.083429,1.110324,227.1525,291.1754,3640.563,4481.199,56.18017,1435
14,0.6970817,0.730915,0.806789,1.110324,1.128687,1.152653,236.6413,291.1754,3307.375,3810.518,54.70101,
15,0.6970817,0.730915,0.806789,1.163912,1.175159,1.182183,246.3846,291.1754,842.625,485.8818,12.70559,
19,0.6796789,0.730915,0.806789,-1.0,-1.0,-1.0,-1.0,443.2227,6056.813,13771.29,16.03408,
20,0.6796789,0.730915,0.806789,0.9335704,0.9536727,0.9808946,196.9146,443.2227,2504.875,2250.214,50.0975,1392_1411
21,0.6970817,0.730915,0.8124374,-1.0,-1.0,-1.0,-1.0,485.1785,4684.813,11844.88,18.88172,
22,0.6970817,0.730915,0.8124374,1.043671,1.059308,1.07634,218.1633,485.1785,988.1875,855.1114,19.6375,1424
23,0.6970817,0.730915,0.8124374,1.266106,1.284202,1.292544,264.4801,485.1785,715.375,526.7768,13.57625,1436
24,0.6970817,0.730915,0.8124374,1.305044,1.318916,1.345223,271.6294,485.1785,755.875,638.6658,15.1175,
25,0.6796789,0.730915,0.8005999,-1.0,-1.0,-1.0,-1.0,547.2335,2384.313,6744.909,6.777998,
26,0.6796789,0.730915,0.8005999,1.013755,1.042248,1.066408,213.9846,547.2335,1007.75,1013.615,20.155,1470
