Alignment ID	Average Rt(min)	Average Mz	Average mobility	Average CCS	Fill %	tissue-F-01_BB3_1_34975	tissue-F-02_BB4_1_34976	tissue-F-03_BB5_1_34977	tissue-F-04_BB6_1_34978	Area_mean_	Area_std_	Area Alignment ID	Area_mean	Area_std
0	4.998	45.07765	-1.0	-1.0	0.25	2416	-2	-2	-2	845.446479797363	455.491736074868	0	845.4465	455.4917
1	4.998	45.07765	0.8281	211.1667	0.25	7723	-1	-1	-1	30.7390956878662	61.4781913757324	0	845.4465	455.4917
2	4.998	45.07765	1.1146	284.2018	0.25	7724	-1	-1	-1	146.590461730957	178.394513321376	0	845.4465	455.4917
3	4.998	45.07765	1.248	318.2212	0.25	7725	-1	-1	-1	77.4805908203125	154.961181640625	0	845.4465	455.4917
4	5.712	45.28219	-1.0	-1.0	0.25	2637	-2	-2	-2	1137.1061706543	820.561867255645	4	1137.1062	820.5619
5	5.712	45.28219	1.1759	299.572	0.25	8371	-1	-1	-1	126.975551605225	170.711201079388	4	1137.1062	820.5619
6	5.712	45.28219	1.303	331.9531	0.25	8372	-1	-1	-1	84.6358337402344	113.712678930156	4	1137.1062	820.5619
7	4.312	45.57595	-1.0	-1.0	0.25	1739	-2	-2	-2	766.917861938477	626.698955998273	7	766.9179	626.699
8	4.312	45.57595	1.2786	325.355	0.25	5741	-1	-1	-1	74.2259979248047	148.451995849609	7	766.9179	626.699
9	4.355	45.99418	-1.0	-1.0	0.25	1842	-2	-2	-2	1004.06820678711	1027.87961255207	9	1004.0682	1027.8796
10	4.355	45.99418	1.1829	300.4686	0.25	6050	-1	-1	-1	195.695167541504	305.923733936962	9	1004.0682	1027.8796
11	4.426	46.46725	-1.0	-1.0	0.25	1953	-2	-2	-2	1148.67817497253	1183.35372287547	11	1148.6782	1183.3537
12	4.426	46.46725	1.2438	315.3306	0.25	6401	-1	-1	-1	57.4019165039063	114.803833007813	11	1148.6782	1183.3537
13	4.426	46.46725	1.3825	350.495	0.25	6402	-1	-1	-1	50.2063369750977	100.412673950195	11	1148.6782	1183.3537
14	4.426	46.46725	1.768	448.2398	0.25	6403	-1	-1	-1	28.1285171508789	56.2570343017578	11	1148.6782	1183.3537
15	4.992	46.61861	-1.0	-1.0	0.25	-2	2104	-2	-2	1739.70092773438	2901.68715603909	15	1739.7009	2901.6872
16	4.992	46.61861	1.178	298.4608	0.25	-1	6702	-1	-1	174.328140258789	348.656280517578	15	1739.7009	2901.6872
17	4.992	46.61861	1.2326	312.3066	0.25	-1	6703	-1	-1	219.180145263672	438.360290527344	15	1739.7009	2901.6872
18	4.307	46.86999	-1.0	-1.0	0.5	1646	-2	-2	1797	918.694789886475	1001.61882050757	18	918.6948	1001.6188
19	4.307	46.86999	0.8716	220.6119	0.5	5435	-1	-1	-1	104.683258056641	209.366516113281	18	918.6948	1001.6188
