PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.6447141,0.7316665,0.7793722,-1.0,-1.0,-1.0,-1.0,443.2192,2526.563,5170.404,3.774065,
1,0.6447141,0.7316665,0.7793722,0.9306955,0.9522381,0.9794636,196.6185,443.2192,864.625,998.2581,17.2925,1453_1485
2,0.6326664,0.7316665,0.7970933,-1.0,-1.0,-1.0,-1.0,522.2653,10197.69,19226.92,22.80438,
3,0.6326664,0.7316665,0.7970933,1.08768,1.12304,1.142791,230.8403,522.2653,1907.063,2336.516,24.28857,1467
4,0.6326664,0.7316665,0.7970933,1.350753,1.365945,1.394888,280.7692,522.2653,625.625,840.0588,7.593257,1488
8,0.6914128,0.7379119,0.8207349,-1.0,-1.0,-1.0,-1.0,291.1725,14047.81,35819.67,22.42031,
9,0.6914128,0.7379119,0.8207349,0.9594094,0.9708735,0.9794636,203.554,291.1725,447.5,230.04,8.95,
10,0.6914128,0.7379119,0.8207349,1.064988,1.084847,1.101838,227.4497,291.1725,2047.625,2474.481,31.43875,1491
11,0.6914128,0.7379119,0.8207349,1.101838,1.124452,1.142791,235.7535,291.1725,3522.563,3802.469,65.225,1516
12,0.6914128,0.7379119,0.8207349,1.177969,1.184991,1.192008,248.446,291.1725,591.5,297.3049,8.995,1462
13,0.70898,0.7379119,0.8033147,-1.0,-1.0,-1.0,-1.0,463.1955,3639.0,9412.642,4.415797,
14,0.70898,0.7379119,0.8033147,1.069247,1.082012,1.094762,223.1276,463.1955,340.8125,261.37,5.525174,
15,0.70898,0.7379119,0.8033147,1.114565,1.128687,1.141382,232.7528,463.1955,626.875,609.5211,9.262578,
16,0.70898,0.7379119,0.8033147,1.183587,1.190605,1.204627,245.5212,463.1955,353.0625,193.7845,5.594693,
17,0.7030807,0.7379119,0.7970933,-1.0,-1.0,-1.0,-1.0,578.2859,3767.563,8697.151,6.703959,
