PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.6645985,0.76278,0.8103979,-1.0,-1.0,-1.0,-1.0,203.0531,5293.75,10776.76,8.296679,
1,0.6645985,0.76278,0.8103979,0.6422399,0.6525694,0.6614155,139.3994,203.0531,292.625,144.4111,6.234847,
2,0.6645985,0.76278,0.8103979,0.8817058,0.9047875,0.92782,193.2772,203.0531,1218.813,1311.842,25.5706,1455
3,0.6468328,0.76278,0.8042755,-1.0,-1.0,-1.0,-1.0,383.1135,4081.063,7856.186,10.17883,
4,0.6468328,0.76278,0.8042755,0.8889241,0.901905,0.9393177,187.0921,383.1135,442.375,721.618,14.8347,1494_1472
5,0.7285618,0.7688154,0.8228976,-1.0,-1.0,-1.0,-1.0,291.0699,3450.938,7122.446,6.339716,
6,0.7285618,0.7688154,0.8228976,0.7888831,0.8063481,0.8339435,169.0621,291.0699,636.0,725.2819,25.85408,1483
7,0.7285618,0.7688154,0.8228976,1.005193,1.023737,1.04936,214.6407,291.0699,359.875,446.2307,15.73908,1480
8,0.7111649,0.780921,0.8700531,-1.0,-1.0,-1.0,-1.0,307.0445,4998.0,11156.45,10.73355,
9,0.7111649,0.780921,0.8700531,0.7830552,0.8048937,0.829591,168.3714,307.0445,1364.813,1633.407,35.52639,1497
10,0.7400657,0.780921,0.852537,-1.0,-1.0,-1.0,-1.0,429.2408,5509.938,11120.63,8.65236,
11,0.7400657,0.780921,0.852537,1.015182,1.035132,1.062149,213.9413,429.2408,2051.313,2243.595,78.91243,1485_1498
17,0.6876656,0.7865608,0.8347828,-1.0,-1.0,-1.0,-1.0,263.0444,3860.188,8348.791,5.868529,
18,0.6876656,0.7865608,0.8347828,0.7436348,0.7640929,0.7888831,160.9502,263.0444,1402.188,1439.851,36.43177,1529
19,0.7344933,0.7865608,0.8636289,-1.0,-1.0,-1.0,-1.0,279.0214,10868.88,20312.75,3.402856,
20,0.7344933,0.7865608,0.8636289,0.7319271,0.7597122,0.7830552,159.5859,279.0214,3381.438,3653.498,112.7269,1561
21,0.7515503,0.7865608,0.8347828,-1.0,-1.0,-1.0,-1.0,281.0158,1335.313,2692.244,1.876756,
22,0.7515503,0.7865608,0.8347828,0.7348552,0.7611726,0.7786822,159.8409,281.0158,580.4375,471.112,23.53192,
23,0.7285618,0.7922528,0.8764596,-1.0,-1.0,-1.0,-1.0,364.167,2417.063,8484.195,4.121857,
24,0.7285618,0.7922528,0.8764596,0.8831499,0.9148703,0.9292578,190.1177,364.167,915.125,1432.437,17.39125,1516_1514
25,0.7285618,0.7922528,0.8764596,0.9292578,0.9350075,0.9464976,194.3024,364.167,706.625,389.1966,13.6525,
26,0.7400657,0.7980198,0.8465573,-1.0,-1.0,-1.0,-1.0,270.0565,5401.313,11737.05,10.51772,
27,0.7400657,0.7980198,0.8465573,1.00662,1.025162,1.050782,215.6724,270.0565,1916.375,2010.042,29.02121,1517_1553
28,0.7400657,0.7980198,0.8465573,1.050782,1.066408,1.079177,224.3497,270.0565,626.125,486.419,9.330359,
29,0.7458684,0.7980198,0.8580668,-1.0,-1.0,-1.0,-1.0,285.1008,2953.313,9220.141,6.131236,
30,0.7458684,0.7980198,0.8580668,0.7494838,0.7728488,0.8078022,162.1874,285.1008,1388.188,1769.044,20.07186,1620
31,0.76278,0.7980198,0.8347828,-1.0,-1.0,-1.0,-1.0,291.1726,4408.188,10894.85,8.247825,
32,0.76278,0.7980198,0.8347828,1.053625,1.084847,1.103253,227.4497,291.1726,7224.813,7806.671,66.83709,
33,0.76278,0.7980198,0.8347828,1.103253,1.121628,1.145609,235.1614,291.1726,4017.313,4155.277,37.82137,
36,0.7166786,0.7980198,0.8410573,-1.0,-1.0,-1.0,-1.0,326.0848,1148.25,2444.663,2.884864,
37,0.7166786,0.7980198,0.8410573,1.080594,1.089097,1.104668,227.2655,326.0848,490.875,335.3308,9.0875,
38,0.7166786,0.7980198,0.8410573,1.113151,1.124452,1.135741,234.6432,326.0848,296.8125,150.9111,5.93625,
43,0.6933133,0.7980198,0.8347828,-1.0,-1.0,-1.0,-1.0,410.9918,4925.938,9934.364,11.27169,
44,0.6933133,0.7980198,0.8347828,0.9191886,0.9393177,0.965143,194.4022,410.9918,1640.438,1651.835,21.38366,
45,0.6933133,0.7980198,0.8347828,1.107496,1.134331,1.148427,234.7623,410.9918,530.375,487.5024,7.073153,
46,0.6933133,0.7980198,0.8347828,1.300879,1.314757,1.335539,272.1034,410.9918,272.0,247.3538,3.627429,
47,0.6993245,0.7980198,0.852537,-1.0,-1.0,-1.0,-1.0,426.9683,17982.56,36592.39,44.35549,
48,0.6993245,0.7980198,0.852537,0.9206276,0.9407541,0.965143,194.4669,426.9683,4115.875,4962.546,33.07061,1522
49,0.6993245,0.7980198,0.852537,1.154061,1.170943,1.187798,242.0501,426.9683,1422.625,1294.174,11.39393,1601
52,0.7344933,0.7980198,0.852537,-1.0,-1.0,-1.0,-1.0,428.9683,3186.313,6654.748,4.330358,
53,0.7344933,0.7980198,0.852537,0.9220665,0.9393177,0.965143,194.1421,428.9683,1278.063,945.3387,50.61818,
54,0.7344933,0.7980198,0.852537,1.159691,1.170943,1.193411,242.0153,428.9683,386.25,295.378,15.29759,
55,0.7400657,0.7980198,0.8465573,-1.0,-1.0,-1.0,-1.0,436.0217,8939.938,17844.74,29.59733,
56,0.7400657,0.7980198,0.8465573,0.9134305,0.9220665,0.9306955,190.482,436.0217,439.8125,259.9164,3.695541,
57,0.7400657,0.7980198,0.8465573,0.9407541,0.965143,0.9851865,199.3808,436.0217,838.1875,1258.231,8.676882,
58,0.7400657,0.7980198,0.8465573,1.176564,1.201824,1.224227,248.2748,436.0217,1460.563,1415.715,15.07469,1538
59,0.6993245,0.7980198,0.8636289,-1.0,-1.0,-1.0,-1.0,442.9391,18686.81,36909.02,58.1111,
60,0.6993245,0.7980198,0.8636289,0.9220665,0.9464976,0.9737376,195.4368,442.9391,5015.813,5419.386,41.59528,1555_1536
61,0.6993245,0.7980198,0.8636289,1.165318,1.186395,1.200422,244.9718,442.9391,990.75,895.8326,8.335146,1549
65,0.7572075,0.7980198,0.8465573,-1.0,-1.0,-1.0,-1.0,444.9361,5484.5,11024.11,7.863794,
66,0.7572075,0.7980198,0.8465573,0.9177493,0.9464976,0.965143,195.4108,444.9361,1836.0,1687.556,42.34034,
67,0.7572075,0.7980198,0.8288902,-1.0,-1.0,-1.0,-1.0,448.0807,2162.313,4265.005,7.412606,
68,0.7572075,0.7980198,0.8288902,0.9737376,1.000909,1.016608,206.6013,448.0807,673.4375,599.8214,13.46875,
69,0.7572075,0.7980198,0.8288902,1.045094,1.053625,1.064988,217.4826,448.0807,323.4375,151.1994,6.46875,
70,0.7572075,0.7980198,0.8288902,1.199021,1.218631,1.232616,251.5422,448.0807,445.6875,497.7105,8.3575,
71,0.7400657,0.7980198,0.9005946,-1.0,-1.0,-1.0,-1.0,453.998,2843.625,5705.044,9.063809,
72,0.7400657,0.7980198,0.9005946,1.194814,1.215832,1.232616,250.8681,453.998,323.25,213.7676,6.469525,
73,0.76278,0.7980198,0.8886511,-1.0,-1.0,-1.0,-1.0,458.9146,10918.88,20307.61,13.40704,
74,0.76278,0.7980198,0.8886511,0.8542321,0.8687006,0.8817058,179.1872,458.9146,309.9375,211.494,3.050097,
75,0.76278,0.7980198,0.8886511,0.9206276,0.9508033,0.9680086,196.1225,458.9146,2495.313,2999.722,24.85202,1556
76,0.76278,0.7980198,0.8886511,1.177969,1.201824,1.222828,247.9007,458.9146,409.3125,497.8772,4.258173,
79,0.7458684,0.7980198,0.8764596,-1.0,-1.0,-1.0,-1.0,460.9063,3142.75,6028.58,4.146224,
80,0.7458684,0.7980198,0.8764596,0.9306955,0.9493682,0.9737376,195.8022,460.9063,703.5625,702.8358,13.51125,
81,0.76278,0.7980198,0.8410573,-1.0,-1.0,-1.0,-1.0,464.0591,3202.5,6385.616,11.49732,
82,0.76278,0.7980198,0.8410573,0.9751694,1.000909,1.016608,206.392,464.0591,691.25,628.1281,13.825,
83,0.76278,0.7980198,0.8410573,1.210231,1.231218,1.257743,253.8829,464.0591,899.4375,735.6887,17.98875,1524
84,0.76278,0.7980198,0.8580668,-1.0,-1.0,-1.0,-1.0,473.1162,5923.5,11932.53,15.08242,
85,0.76278,0.7980198,0.8580668,1.00662,1.028011,1.050782,211.8651,473.1162,536.3125,736.6586,6.439948,
