PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.6697295,0.7238079,0.7986185,-1.0,-1.0,-1.0,-1.0,522.2654,9770.438,18975.57,18.52969,
1,0.6697295,0.7238079,0.7986185,1.099008,1.121628,1.145609,230.55,522.2654,2234.75,2323.941,41.42691,1389
2,0.6697295,0.7238079,0.7986185,1.347988,1.368705,1.390758,281.3365,522.2654,764.625,957.6888,14.24603,1391_1438
5,0.627769,0.7238079,0.810048,-1.0,-1.0,-1.0,-1.0,753.3514,1296.563,2013.278,2.444801,
6,0.627769,0.7238079,0.810048,1.357661,1.367325,1.390758,278.8498,753.3514,333.8125,250.5015,14.93358,1473
7,0.6220925,0.7238079,0.826873,-1.0,-1.0,-1.0,-1.0,809.3851,1132.938,1881.973,1.994906,
8,0.6220925,0.7238079,0.826873,1.389381,1.404518,1.429241,286.0792,809.3851,385.625,323.7195,20.75057,1401
9,0.6881836,0.7295896,0.7986185,-1.0,-1.0,-1.0,-1.0,291.1726,13360.94,35291.57,20.50073,
10,0.6881836,0.7295896,0.7986185,1.036556,1.046516,1.055046,219.4133,291.1726,763.75,401.9399,8.762419,
11,0.6881836,0.7295896,0.7986185,1.055046,1.082012,1.099008,226.8554,291.1726,2423.563,2772.686,27.74456,1445
12,0.6881836,0.7295896,0.7986185,1.099008,1.124452,1.145609,235.7535,291.1726,3125.625,4137.943,37.89773,1367
13,0.6456126,0.7295896,0.7702986,-1.0,-1.0,-1.0,-1.0,347.1995,5787.875,14030.31,9.111012,
14,0.6456126,0.7295896,0.7702986,1.110324,1.145609,1.158284,238.4824,347.1995,1675.313,1996.524,32.52625,
15,0.6456126,0.7295896,0.7702986,1.158284,1.177969,1.200422,245.2187,347.1995,1862.375,1909.482,36.595,
16,0.6635021,0.7295896,0.7875733,-1.0,-1.0,-1.0,-1.0,463.1922,3983.063,9614.586,10.79699,
17,0.6635021,0.7295896,0.7875733,1.106082,1.125864,1.13292,232.1707,463.1922,758.0625,795.351,9.5225,
18,0.6942014,0.7295896,0.7875733,-1.0,-1.0,-1.0,-1.0,485.1784,3987.313,10238.78,11.61018,
19,0.6942014,0.7295896,0.7875733,1.039403,1.059308,1.077759,218.1633,485.1784,956.1875,867.5457,24.29948,1427
20,0.6942014,0.7295896,0.7875733,1.268892,1.282811,1.293934,264.1936,485.1784,448.875,342.2014,11.14355,
21,0.6942014,0.7295896,0.7875733,1.293934,1.311983,1.325845,270.2014,485.1784,507.9375,626.7968,10.4161,1451
22,0.6881836,0.7295896,0.7986185,-1.0,-1.0,-1.0,-1.0,578.2936,4718.0,10865.36,10.30152,
23,0.6881836,0.7295896,0.7986185,1.154061,1.175159,1.199021,240.9568,578.2936,1530.313,1649.014,48.21955,1384
26,0.6820565,0.735357,0.8042392,-1.0,-1.0,-1.0,-1.0,642.0862,1253.0,4473.439,3.250648,
27,0.6820565,0.735357,0.8042392,1.357661,1.378359,1.399016,281.9718,642.0862,420.125,450.4088,8.4025,
32,0.6758782,0.7413211,0.8378871,-1.0,-1.0,-1.0,-1.0,268.1066,10134.38,46801.79,15.37222,
33,0.6758782,0.7413211,0.8378871,0.6996659,0.7333912,0.7509456,154.3427,268.1066,6168.688,6410.463,33.66019,1422
34,0.6758782,0.7413211,0.8378871,0.7509456,0.7597122,0.77139,159.882,268.1066,1036.125,625.2524,5.736919,
35,0.6758782,0.7413211,0.8378871,1.089097,1.097593,1.110324,230.9893,268.1066,991.3125,834.1646,4.589743,
36,0.6758782,0.7413211,0.810048,-1.0,-1.0,-1.0,-1.0,342.0038,2285.188,6845.651,6.605772,
37,0.6758782,0.7413211,0.810048,1.012329,1.03086,1.056467,214.7166,342.0038,1268.25,1341.44,25.365,
38,0.6758782,0.7413211,0.810048,1.063569,1.072085,1.082012,223.3033,342.0038,347.0,136.7998,6.94,
44,0.6396224,0.7413211,0.815595,-1.0,-1.0,-1.0,-1.0,448.084,4631.813,16920.69,14.13821,
45,0.6396224,0.7413211,0.815595,0.9766009,0.9966232,1.020886,205.7167,448.084,2196.375,2263.1,42.1475,1413
46,0.6396224,0.7413211,0.815595,1.166725,1.192008,1.20883,246.0468,448.084,497.5,525.2689,9.5525,
47,0.6396224,0.7413211,0.815595,1.20883,1.22003,1.236808,251.831,448.084,420.5625,318.9568,8.21625,
48,0.5816315,0.7413211,0.826873,-1.0,-1.0,-1.0,-1.0,600.0357,5416.625,17133.24,10.96986,
49,0.5816315,0.7413211,0.826873,0.9823254,0.9937651,1.009475,203.5928,600.0357,343.625,235.6011,6.8725,
50,0.5816315,0.7413211,0.826873,1.101838,1.12304,1.147019,230.0774,600.0357,2312.438,2603.511,46.24875,1455
51,0.5816315,0.7413211,0.826873,1.310595,1.331385,1.342457,272.7611,600.0357,496.6875,445.3952,9.93375,
54,0.6575602,0.7413211,0.7761341,-1.0,-1.0,-1.0,-1.0,789.1417,1724.875,3677.477,2.998715,
55,0.6575602,0.7413211,0.7761341,1.177969,1.187798,1.194814,242.0404,789.1417,549.4375,196.1442,10.98875,
56,0.6575602,0.7413211,0.7761341,1.285593,1.31337,1.321688,267.6283,789.1417,587.875,567.7156,11.7575,
57,0.6575602,0.7413211,0.7761341,1.321688,1.334154,1.35628,271.8637,789.1417,705.8125,474.8804,14.11625,
58,0.6820565,0.7470412,0.7761341,-1.0,-1.0,-1.0,-1.0,232.1,8041.688,23860.56,12.16427,
59,0.6820565,0.7470412,0.7761341,0.9522381,0.965143,0.9766009,204.6001,232.1,589.8125,509.3589,3.439002,
