PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.6948686,0.740437,0.781084,-1.0,-1.0,-1.0,-1.0,291.0671,2402.125,6114.088,4.574739,
1,0.6948686,0.740437,0.781084,0.7845125,0.8092562,0.822333,169.6719,291.0671,1084.0,878.0204,57.77876,1428
2,0.6719548,0.740437,0.7984191,-1.0,-1.0,-1.0,-1.0,522.269,6394.25,11094.2,14.07096,
3,0.6719548,0.740437,0.7984191,1.099008,1.125864,1.1442,231.4206,522.269,1116.688,1346.742,24.01916,1443
4,0.6719548,0.740437,0.7984191,1.350753,1.371464,1.390758,281.9036,522.269,483.1875,509.6379,10.26607,1447
7,0.7064114,0.7460343,0.8150625,-1.0,-1.0,-1.0,-1.0,291.1726,9051.313,23999.16,11.67739,
8,0.7064114,0.7460343,0.8150625,1.067828,1.086264,1.101838,227.7468,291.1726,1650.063,2403.996,27.56375,
9,0.7064114,0.7460343,0.8150625,1.104668,1.121628,1.149836,235.1614,291.1726,1876.5,2517.73,37.11375,
10,0.7004957,0.7460343,0.7984191,-1.0,-1.0,-1.0,-1.0,328.163,4286.125,9803.896,10.52685,
11,0.7004957,0.7460343,0.7984191,1.145609,1.158284,1.165318,241.6424,328.163,393.8125,260.4881,6.21875,
12,0.7004957,0.7460343,0.7984191,1.165318,1.182183,1.199021,246.6282,328.163,457.8125,564.1951,7.49875,1455
13,0.7120668,0.7460343,0.787029,-1.0,-1.0,-1.0,-1.0,463.1888,1973.0,4226.903,5.165383,
14,0.7120668,0.7460343,0.787029,1.079177,1.089097,1.097593,224.5888,463.1888,480.0,276.9858,7.84875,
15,0.7120668,0.7460343,0.787029,1.113151,1.130098,1.142791,233.0439,463.1888,431.9375,460.5791,8.39875,
16,0.7004957,0.7460343,0.8150625,-1.0,-1.0,-1.0,-1.0,485.1714,2759.875,6649.605,9.570507,
17,0.7004957,0.7460343,0.8150625,1.047938,1.060728,1.07634,218.4559,485.1714,879.5,579.2518,17.41,1441
18,0.7004957,0.7460343,0.8150625,1.271677,1.284202,1.300879,264.4802,485.1714,557.0,379.7899,10.525,1453
19,0.7004957,0.7460343,0.8150625,1.300879,1.316143,1.336923,271.0584,485.1714,341.1875,346.7204,6.82375,1439
20,0.683444,0.7460343,0.787029,-1.0,-1.0,-1.0,-1.0,512.1982,1681.313,3800.84,5.832315,
21,0.683444,0.7460343,0.787029,0.9923358,1.012329,1.03086,208.1876,512.1982,752.0,791.0881,15.04,1446
22,0.7120668,0.7460343,0.7927252,-1.0,-1.0,-1.0,-1.0,578.2898,3460.0,7220.625,7.279408,
23,0.7120668,0.7460343,0.7927252,1.159691,1.180778,1.206028,242.109,578.2898,831.0,961.7247,18.80327,
24,0.7120668,0.7460343,0.7927252,1.386627,1.400392,1.429241,287.139,578.2898,294.0625,301.2551,6.653835,1456
25,0.6948686,0.7519901,0.8484138,-1.0,-1.0,-1.0,-1.0,258.1144,5351.25,18592.85,9.078885,
26,0.6948686,0.7519901,0.8484138,0.7099412,0.7348552,0.7567908,154.9338,258.1144,3909.938,3588.635,85.51468,1409
27,0.7120668,0.7519901,0.787029,-1.0,-1.0,-1.0,-1.0,342.0067,2077.688,4435.938,8.064943,
28,0.7120668,0.7519901,0.787029,1.015182,1.033708,1.04936,215.3098,342.0067,918.6875,914.3065,17.53125,
29,0.7120668,0.7519901,0.7927252,-1.0,-1.0,-1.0,-1.0,347.1995,5078.563,11256.3,9.874104,
30,0.7120668,0.7519901,0.7927252,1.12304,1.1442,1.161098,238.189,347.1995,1485.125,1369.162,29.7025,
31,0.7120668,0.7519901,0.7927252,1.161098,1.177969,1.194814,245.2187,347.1995,1456.938,1523.955,26.5475,
37,0.6892592,0.7519901,0.8888153,-1.0,-1.0,-1.0,-1.0,536.0058,1897.625,4193.237,5.878299,
38,0.6892592,0.7519901,0.8888153,1.039403,1.056467,1.073504,217.0143,536.0058,342.0625,344.0818,6.6275,
39,0.6892592,0.7519901,0.8205654,-1.0,-1.0,-1.0,-1.0,537.1733,1195.5,2694.881,3.822728,
40,0.6892592,0.7519901,0.8205654,1.073504,1.083429,1.103253,222.5408,537.1733,398.0,301.4682,7.66375,
43,0.7176592,0.7576265,0.7754205,-1.0,-1.0,-1.0,-1.0,254.0842,4485.375,9391.963,8.151527,
44,0.7176592,0.7576265,0.7754205,0.7260686,0.7348552,0.7421719,155.054,254.0842,635.25,236.6753,12.705,
45,0.7176592,0.7576265,0.7754205,0.9694411,0.9823254,1.000909,207.2701,254.0842,1351.688,1370.947,26.10625,
46,0.7176592,0.7576265,0.7754205,1.000909,1.023737,1.042248,216.0078,254.0842,1708.063,1916.239,33.335,
47,0.7176592,0.7576265,0.7754205,1.042248,1.059308,1.080594,223.5134,254.0842,881.875,701.6031,17.34875,
51,0.7064114,0.7576265,0.8484138,-1.0,-1.0,-1.0,-1.0,268.104,13142.5,53375.82,19.57742,
52,0.7064114,0.7576265,0.8484138,0.7099412,0.7304627,0.7509456,153.7265,268.104,7763.938,7502.503,78.70548,1437_1426
53,0.7064114,0.7576265,0.8484138,0.7509456,0.7611726,0.7815977,160.1894,268.104,1246.063,1058.688,12.862,
54,0.6719548,0.7576265,0.8598637,-1.0,-1.0,-1.0,-1.0,269.091,16808.06,49072.45,27.01136,
55,0.6719548,0.7576265,0.8598637,0.9723057,0.9808946,0.9980519,206.3943,269.091,363.75,248.4425,3.115291,
56,0.6719548,0.7576265,0.8598637,1.018034,1.028011,1.035132,216.3083,269.091,450.25,253.4058,3.299922,
