PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.7170644,0.7462266,0.7836962,-1.0,-1.0,-1.0,-1.0,522.2653,3518.313,6385.884,4.630688,
1,0.7170644,0.7462266,0.7836962,1.093346,1.118803,1.147019,229.9693,522.2653,748.625,848.2922,14.9725,
2,0.6100189,0.7524576,0.8189331,-1.0,-1.0,-1.0,-1.0,485.1819,1968.813,4568.137,7.443778,
3,0.6100189,0.7524576,0.8189331,1.036556,1.059308,1.086264,218.1633,485.1819,564.1875,578.4195,11.28375,1494
4,0.664848,0.7524576,0.7898844,-1.0,-1.0,-1.0,-1.0,578.2897,2474.75,4733.238,5.300619,
5,0.664848,0.7524576,0.7898844,1.156876,1.175159,1.201824,240.9568,578.2897,716.375,727.9406,14.3275,1498
6,0.664848,0.7524576,0.7898844,1.390758,1.407268,1.426497,288.5488,578.2897,258.75,150.712,5.175,
7,0.6992109,0.7583185,0.8075044,-1.0,-1.0,-1.0,-1.0,258.1118,3573.688,9692.853,3.556899,
8,0.6992109,0.7583185,0.8075044,0.7187409,0.7363189,0.7626328,155.2424,258.1118,1951.5,1933.819,25.25226,1547
9,0.7049734,0.7583185,0.8075044,-1.0,-1.0,-1.0,-1.0,347.1994,2975.063,8399.666,6.788638,
10,0.7049734,0.7583185,0.8075044,1.120216,1.141382,1.159691,237.6022,347.1994,834.6875,993.4612,13.60087,
11,0.7049734,0.7583185,0.8075044,1.159691,1.180778,1.197618,245.8035,347.1994,853.25,820.2683,14.17595,1523
12,0.6587474,0.7583185,0.8301144,-1.0,-1.0,-1.0,-1.0,401.0822,8891.938,43683.57,22.61677,
13,0.6587474,0.7583185,0.8301144,0.8961377,0.9249436,0.9350075,191.5781,401.0822,2696.25,2956.282,32.83189,1451_1491
14,0.6587474,0.7583185,0.8301144,0.9551072,0.9723057,0.9951943,201.388,401.0822,5744.063,6432.267,65.89666,1465_1483
15,0.7049734,0.7583185,0.8790374,-1.0,-1.0,-1.0,-1.0,536.0094,2078.313,4530.846,7.162176,
16,0.7049734,0.7583185,0.8790374,1.026587,1.053625,1.069247,216.4305,536.0094,338.625,315.4506,4.385266,
17,0.7049734,0.7583185,0.8790374,1.238205,1.249374,1.264713,256.6404,536.0094,386.0625,234.831,4.999592,
18,0.7170644,0.7583185,0.8132102,-1.0,-1.0,-1.0,-1.0,642.0782,2242.875,5088.493,7.971117,
19,0.7170644,0.7583185,0.8132102,1.359042,1.385249,1.392135,283.3815,642.0782,422.5625,356.3848,8.45125,
20,0.664848,0.7583185,0.8132102,-1.0,-1.0,-1.0,-1.0,814.0947,1016.625,2598.714,2.553788,
21,0.664848,0.7583185,0.8132102,1.389381,1.400392,1.414139,285.2111,814.0947,285.0,211.8803,3.896649,
24,0.7049734,0.764491,0.8132102,-1.0,-1.0,-1.0,-1.0,232.1,5924.438,21776.24,10.62614,
25,0.7049734,0.764491,0.8132102,0.9536727,0.965143,0.9708735,204.6001,232.1,729.6875,442.8237,7.216451,
26,0.7049734,0.764491,0.8132102,0.9708735,0.9780324,0.9923358,207.3325,232.1,777.375,577.5366,6.392537,
27,0.7049734,0.764491,0.8132102,0.9923358,1.01946,1.028011,216.1147,232.1,1181.5,1527.869,10.93425,
28,0.7049734,0.764491,0.8132102,1.028011,1.037979,1.046516,220.0406,232.1,1480.5,1255.659,9.97969,1570
29,0.7049734,0.764491,0.8132102,1.046516,1.052203,1.067828,223.0559,232.1,1264.188,1104.198,9.128382,
30,0.7049734,0.764491,0.8132102,1.067828,1.083429,1.09193,229.6756,232.1,1387.563,1354.08,10.51492,
31,0.7049734,0.764491,0.8132102,1.111738,1.128687,1.142791,239.2697,232.1,909.125,1225.695,7.597151,
32,0.6528179,0.764491,0.7898844,-1.0,-1.0,-1.0,-1.0,256.0763,4404.5,12195.46,18.59134,
33,0.6528179,0.764491,0.7898844,0.7026027,0.7260686,0.7450973,153.1409,256.0763,3682.563,3229.475,40.76873,
34,0.6528179,0.764491,0.7898844,0.7582516,0.7772242,0.7976191,163.9305,256.0763,2294.125,1942.291,25.53811,1495
35,0.6528179,0.764491,0.7898844,1.005193,1.016608,1.033708,214.4208,256.0763,461.75,269.9598,5.140183,
36,0.6935592,0.764491,0.8361236,-1.0,-1.0,-1.0,-1.0,268.104,2623.563,8795.969,4.244229,
37,0.6935592,0.764491,0.8361236,0.7099412,0.7363189,0.7524072,154.959,268.104,978.1875,1043.982,17.81007,
38,0.7228646,0.764491,0.8913023,-1.0,-1.0,-1.0,-1.0,342.0038,1363.938,3338.927,5.607071,
39,0.7228646,0.764491,0.8913023,1.015182,1.03086,1.053625,214.7166,342.0038,612.5,549.8901,12.25,1534
40,0.7170644,0.764491,0.8189331,-1.0,-1.0,-1.0,-1.0,448.084,5861.25,15460.81,25.0882,
41,0.7170644,0.764491,0.8189331,0.9723057,0.9980519,1.020886,206.0116,448.084,1792.313,1641.077,20.22847,1522
42,0.7170644,0.764491,0.8189331,1.206028,1.218631,1.239602,251.5421,448.084,674.125,642.4371,6.757636,1543_1559
43,0.7170644,0.764491,0.8189331,1.357661,1.370085,1.388004,282.8043,448.084,291.875,186.3857,3.294171,
44,0.6935592,0.764491,0.8189331,-1.0,-1.0,-1.0,-1.0,464.0555,3750.75,9927.735,15.80759,
45,0.6935592,0.764491,0.8189331,0.9536727,0.9637098,0.9751694,198.7214,464.0555,290.8125,164.9581,4.896171,
46,0.6935592,0.764491,0.8189331,0.9751694,0.9980519,1.018034,205.8029,464.0555,1147.0,1140.231,18.98279,
47,0.6935592,0.764491,0.8189331,1.257743,1.270285,1.292544,261.9386,464.0555,337.0625,231.9624,5.674844,
48,0.7228646,0.764491,0.8189331,-1.0,-1.0,-1.0,-1.0,600.0356,3781.563,11359.68,10.53123,
49,0.7228646,0.764491,0.8189331,1.099008,1.120216,1.148427,229.4988,600.0356,2014.0,1964.521,40.28,
50,0.7228646,0.764491,0.8189331,1.310595,1.325845,1.347988,271.6261,600.0356,477.375,360.1069,9.5475,
51,0.7170644,0.764491,0.8361236,-1.0,-1.0,-1.0,-1.0,604.9958,16660.38,38540.85,53.17619,
52,0.7170644,0.764491,0.8361236,0.8990217,0.9163099,0.932133,187.6902,604.9958,573.25,759.3568,3.228321,
53,0.7170644,0.764491,0.8361236,0.9364444,0.9536727,0.9708735,195.3433,604.9958,524.3125,443.802,3.366909,
54,0.7170644,0.764491,0.8361236,1.1442,1.151244,1.172348,235.8125,604.9958,1607.813,1413.01,10.74104,1549
55,0.7170644,0.764491,0.8361236,1.309208,1.33277,1.364565,272.9948,604.9958,2320.938,3302.436,16.28633,1562
61,0.7170644,0.764491,0.8075044,-1.0,-1.0,-1.0,-1.0,657.0396,1483.375,3715.508,4.539414,
62,0.7170644,0.764491,0.8075044,1.163912,1.183587,1.192008,242.012,657.0396,438.4375,341.2012,5.173065,
63,0.7110884,0.764491,0.8132102,-1.0,-1.0,-1.0,-1.0,756.9969,3856.25,9729.184,9.661366,
64,0.7110884,0.764491,0.8132102,0.871592,0.8874809,0.9047875,180.9756,756.9969,598.875,493.2641,9.035089,
65,0.7110884,0.764491,0.8132102,1.30782,1.33277,1.350753,271.7792,756.9969,645.8125,589.4381,9.743223,1529
68,0.7228646,0.764491,0.8245217,-1.0,-1.0,-1.0,-1.0,770.9975,1895.5,5539.646,3.633343,
69,0.7228646,0.764491,0.8245217,0.8542321,0.871592,0.8889241,177.6779,770.9975,336.5625,260.5695,6.73125,
70,0.7228646,0.764491,0.8245217,1.277246,1.29949,1.310595,264.907,770.9975,357.3125,274.2834,7.14625,
71,0.7228646,0.764491,0.8245217,1.345223,1.367325,1.374223,278.7354,770.9975,391.375,243.437,7.8275,
74,0.7170644,0.764491,0.8189331,-1.0,-1.0,-1.0,-1.0,777.0074,4107.375,10876.04,12.11402,
75,0.7170644,0.764491,0.8189331,1.323074,1.347988,1.378359,274.7561,777.0074,1205.563,1413.258,11.62067,
76,0.7170644,0.764491,0.8189331,1.462114,1.477147,1.494885,301.0822,777.0074,355.3125,260.2537,3.424931,1554
77,0.6587474,0.764491,0.8245217,-1.0,-1.0,-1.0,-1.0,792.9797,5319.813,13692.43,12.92847,
78,0.6587474,0.764491,0.8245217,1.163912,1.175159,1.186395,239.445,792.9797,280.375,115.1345,3.243398,
79,0.6587474,0.764491,0.8245217,1.338306,1.359042,1.383872,276.9122,792.9797,756.875,921.686,8.038363,
80,0.7049734,0.764491,0.8189331,-1.0,-1.0,-1.0,-1.0,798.9894,12459.75,27705.22,33.0784,
81,0.7049734,0.764491,0.8189331,0.8759277,0.8932528,0.9047875,181.9817,798.9894,664.625,731.5115,5.215781,1607
82,0.7049734,0.764491,0.8189331,0.9163099,0.9206276,0.932133,187.5588,798.9894,548.125,284.0176,5.139685,
83,0.7049734,0.764491,0.8189331,0.9421902,0.9522381,0.9579755,193.9987,798.9894,550.8125,309.0709,5.002326,
84,0.7049734,0.764491,0.8189331,1.035132,1.043671,1.052203,212.6263,798.9894,371.3125,173.8975,3.831226,
85,0.7049734,0.764491,0.8189331,1.338306,1.347988,1.364565,274.6246,798.9894,1566.5,1404.969,14.96055,1583
86,0.7049734,0.764491,0.8189331,1.496248,1.516676,1.531631,308.9912,798.9894,312.1875,322.4551,3.22117,1573
