PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.6184374,0.7249993,0.8072042,-1.0,-1.0,-1.0,-1.0,522.2653,10713.0,20499.63,18.31762,
1,0.6184374,0.7249993,0.8072042,1.096177,1.124452,1.147019,231.1305,522.2653,1659.688,2200.639,31.32125,1561
2,0.6184374,0.7249993,0.8072042,1.352135,1.367325,1.396264,281.0528,522.2653,943.0,1038.325,18.86,1538
5,0.624307,0.7309604,0.8241247,-1.0,-1.0,-1.0,-1.0,634.3228,2046.625,4919.789,2.793604,
6,0.624307,0.7309604,0.8241247,1.203226,1.229821,1.252165,251.6496,634.3228,770.5625,821.5681,15.41125,1507
7,0.6663279,0.7365667,0.795544,-1.0,-1.0,-1.0,-1.0,291.1726,14790.75,40739.95,19.67788,
8,0.6663279,0.7365667,0.795544,1.057887,1.086264,1.107496,227.7468,291.1726,3081.438,4067.012,22.28654,1526
9,0.6663279,0.7365667,0.795544,1.107496,1.124452,1.148427,235.7535,291.1726,3579.313,4238.161,28.39171,1521
10,0.6720182,0.7365667,0.8241247,-1.0,-1.0,-1.0,-1.0,347.1994,5896.375,19845.16,9.904177,
11,0.6720182,0.7365667,0.8241247,1.12304,1.139972,1.154061,237.3088,347.1994,1546.563,1295.869,15.43758,
12,0.6720182,0.7365667,0.8241247,1.161098,1.180778,1.200422,245.8035,347.1994,2112.438,2307.42,20.60772,1563
13,0.6961344,0.7365667,0.7895346,-1.0,-1.0,-1.0,-1.0,463.1921,4066.25,10765.89,9.396107,
14,0.6961344,0.7365667,0.7895346,1.074922,1.083429,1.090514,223.42,463.1921,823.8125,393.2104,14.8925,
15,0.6961344,0.7365667,0.7895346,1.100423,1.120216,1.148427,231.0059,463.1921,996.125,1150.825,19.4175,
16,0.6961344,0.7365667,0.7895346,1.161098,1.173754,1.182183,242.0463,463.1921,355.125,231.1139,5.23,
17,0.6961344,0.7365667,0.7895346,1.186395,1.199021,1.211631,247.2567,463.1921,346.875,205.6555,6.84,
18,0.6184374,0.7365667,0.7721425,-1.0,-1.0,-1.0,-1.0,485.1679,2737.875,6825.204,6.934727,
19,0.6184374,0.7365667,0.7721425,1.050782,1.057887,1.080594,217.8709,485.1679,527.75,462.7507,4.947497,1514
20,0.6184374,0.7365667,0.7721425,1.257743,1.275854,1.293934,262.7609,485.1679,384.1875,366.7407,3.601642,
21,0.6421505,0.7365667,0.8013843,-1.0,-1.0,-1.0,-1.0,578.2897,4991.625,12295.33,6.626911,
22,0.6421505,0.7365667,0.8013843,1.1442,1.172348,1.200422,240.3805,578.2897,1359.188,1634.856,27.18375,1518
23,0.6421505,0.7365667,0.8013843,1.382494,1.404518,1.426497,287.985,578.2897,579.625,572.4495,11.5925,1552
24,0.624307,0.7421642,0.8127555,-1.0,-1.0,-1.0,-1.0,448.0236,1837.563,5039.566,5.830243,
25,0.624307,0.7421642,0.8127555,0.9407541,0.9680086,0.9937651,199.8111,448.0236,972.3125,878.7657,19.44625,
26,0.7019331,0.7421642,0.8241247,-1.0,-1.0,-1.0,-1.0,480.2234,2842.375,9314.462,5.16173,
27,0.7019331,0.7421642,0.8241247,1.03086,1.043671,1.052203,215.0035,480.2234,310.1875,149.3288,6.20375,
35,0.6961344,0.7421642,0.7780296,-1.0,-1.0,-1.0,-1.0,789.1506,1389.0,3285.009,1.985191,
36,0.6961344,0.7421642,0.7780296,1.292544,1.314757,1.327231,267.9109,789.1506,566.8125,612.759,8.862392,
37,0.6961344,0.7421642,0.7780296,1.327231,1.334154,1.361804,271.8636,789.1506,308.375,266.4121,4.821595,
38,0.7019331,0.7480035,0.8184602,-1.0,-1.0,-1.0,-1.0,232.1024,9970.0,41706.6,14.20265,
39,0.7019331,0.7480035,0.8184602,0.9249436,0.9364444,0.9421902,198.5162,232.1024,418.0,240.9975,3.285122,
40,0.7019331,0.7480035,0.8184602,0.9579755,0.9665759,0.9780324,204.9037,232.1024,721.8125,585.5715,4.706479,
41,0.7019331,0.7480035,0.8184602,0.9780324,0.9909064,0.9966232,210.0615,232.1024,681.4375,477.2438,4.326431,
42,0.7019331,0.7480035,0.8184602,0.9966232,1.003765,1.020886,212.7874,232.1024,1159.125,1092.431,7.513306,
43,0.7019331,0.7480035,0.8184602,1.020886,1.046516,1.069247,221.8502,232.1024,2392.063,3629.363,19.11889,1604
44,0.7019331,0.7480035,0.8184602,1.093346,1.099008,1.104668,232.978,232.1024,1106.25,627.5245,3.920497,
