Alignment ID	Average Rt(min)	Average Mz	Average mobility	Average CCS	Fill %	tissue-L-01_BD8_1_35001	tissue-L-02_BE1_1_35002	tissue-L-03_BE2_1_35003	tissue-L-04_BE3_1_35004	Area_mean_	Area_std_	Area Alignment ID	Area_mean	Area_std
0	10.424	45.14896	-1.0	-1.0	0.25	4419	-2	-2	-2	754.151601791382	746.342028439407	0	754.1516	746.342
1	10.424	45.14896	0.786	200.3531	0.25	13828	-1	-1	-1	110.562759399414	221.125518798828	0	754.1516	746.342
2	19.487	45.36006	-1.0	-1.0	0.5	9682	13025	-2	-2	1472.03318977356	1362.7613592256	2	1472.0332	1362.7614
3	19.487	45.36006	1.3358	340.1995	0.5	28834	39795	-1	-1	350.931102752686	369.569615812127	2	1472.0332	1362.7614
4	19.487	45.36006	1.3408	341.4709	0.5	28833	39796	-1	-1	146.29474067688	241.479887975505	2	1472.0332	1362.7614
5	17.02	45.55667	-1.0	-1.0	0.5	6536	-2	14409	-2	1760.65793609619	1656.53325200354	5	1760.6579	1656.5333
6	17.02	45.55667	1.2605	320.7737	0.5	19814	-1	-1	-1	97.9700789451599	156.300152028876	5	1760.6579	1656.5333
7	17.02	45.55667	1.3431	341.7971	0.5	19815	-1	43849	-1	275.856050014496	295.043279728492	5	1760.6579	1656.5333
8	17.02	45.55667	1.473	374.8541	0.5	19816	-1	-1	-1	22.0702686309814	44.1405372619629	5	1760.6579	1656.5333
9	9.875	45.60911	-1.0	-1.0	0.25	3746	-2	-2	-2	1567.27452850342	1619.73645551281	9	1567.2745	1619.7365
10	9.875	45.60911	0.6474	164.7122	0.25	11428	-1	-1	-1	252.32364654541	293.462047735683	9	1567.2745	1619.7365
11	9.875	45.60911	1.2249	311.6447	0.25	11429	-1	-1	-1	74.7290306091309	104.866965518476	9	1567.2745	1619.7365
12	15.261	45.68085	-1.0	-1.0	0.5	-2	-2	12961	4467	2992.16621398926	3299.20294080583	12	2992.1662	3299.2029
13	15.261	45.68085	1.2517	318.3741	0.5	-1	-1	39603	13582	250.117045402527	295.936053448536	12	2992.1662	3299.2029
14	15.261	45.68085	1.3921	354.0792	0.5	-1	-1	39602	13587	234.172191619873	367.782596981566	12	2992.1662	3299.2029
15	16.35	45.76336	-1.0	-1.0	0.5	-2	6261	-2	9041	1806.42712402344	2098.03703814143	15	1806.4271	2098.037
16	16.35	45.76336	0.9789	248.8909	0.5	-1	19817	-1	26605	102.931056976318	119.279148001135	15	1806.4271	2098.037
17	16.35	45.76336	1.3217	336.0471	0.5	-1	19819	-1	26606	323.214599609375	494.345403192598	15	1806.4271	2098.037
18	13.506	46.0447	-1.0	-1.0	0.25	-2	-2	7835	-2	1807.92542648315	2559.8783209004	18	1807.9254	2559.8783
19	13.506	46.0447	1.0905	276.9478	0.25	-1	-1	24423	-1	162.378921508789	324.757843017578	18	1807.9254	2559.8783
20	13.506	46.0447	1.2577	319.4177	0.25	-1	-1	24424	-1	165.70622253418	331.412445068359	18	1807.9254	2559.8783
21	13.506	46.0447	1.7454	443.2727	0.25	-1	-1	24425	-1	32.8017997741699	65.6035995483398	18	1807.9254	2559.8783
22	19.617	46.07589	-1.0	-1.0	0.5	11474	-2	12250	-2	1584.11978530884	1856.43491933922	22	1584.1198	1856.4349
23	19.617	46.07589	1.2012	305.0235	0.5	34241	-1	37561	-1	277.632464408875	268.755415612891	22	1584.1198	1856.4349
