Index,LM_ID,MAIN_CLASS,SUB_CLASS,EXACT_MASS,FORMULA,SMILES,NAME,rotatablePercent,oxygenNumber,doublebondNumber,OHBondNumber,doublebondNumberCanBreak,DoubleBondInChain,isSugar
0,LMST01010001,Sterols [ST01],Cholesterol and derivatives [ST0101],386.354865,C27H46O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Cholesterol,0.16129032258064516,1,1,1,0,No,No
1,LMST01010012,Sterols [ST01],Cholesterol and derivatives [ST0101],400.33413,C27H44O2,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,"24,25-epoxy-cholesterol",0.12121212121212122,2,1,1,0,No,No
2,LMST01010013,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,7alpha-hydroxy-cholesterol,0.15625,2,1,2,0,No,No
3,LMST01010014,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4[C@@H](O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,4beta-hydroxy-cholesterol,0.15625,2,1,2,0,No,No
4,LMST01010015,Sterols [ST01],Cholesterol and derivatives [ST0101],384.339215,C27H44O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Cholestenone,0.16129032258064516,1,1,0,0,No,No
5,LMST01010016,Sterols [ST01],Cholesterol and derivatives [ST0101],384.339215,C27H44O,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Desmosterol,0.12903225806451613,1,2,1,1,Yes,No
6,LMST01010017,Sterols [ST01],Cholesterol and derivatives [ST0101],426.386165,C30H50O,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,Lanosterol,0.11764705882352941,1,2,1,1,Yes,No
7,LMST01010018,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,25-hydroxy-cholesterol,0.15625,2,1,2,0,No,No
8,LMST01010019,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,24S-hydroxy-cholesterol,0.15625,2,1,2,0,No,No
9,LMST01010047,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=C[C@@H]3O,7beta-hydroxycholesterol,0.15625,2,1,2,0,No,No
10,LMST01010049,Sterols [ST01],Cholesterol and derivatives [ST0101],400.33413,C27H44O2,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,7-oxo-cholesterol,0.15625,2,1,1,0,No,No
11,LMST01010054,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(C)CCC(O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,22-hydroxycholesterol,0.15625,2,1,2,0,No,No
12,LMST01010057,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,27-hydroxy-cholesterol,0.1875,2,1,2,0,No,No
13,LMST01010058,Sterols [ST01],Cholesterol and derivatives [ST0101],382.323565,C27H42O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C=CCC[C@]4(C)[C@H]3CC[C@@]21C,"3,5-cholestadien-7-one",0.16129032258064516,1,2,0,0,No,No
14,LMST01010059,Sterols [ST01],Cholesterol and derivatives [ST0101],382.323565,C27H42O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,"4,6-cholestadienone",0.16129032258064516,1,2,0,0,No,No
15,LMST01010066,Sterols [ST01],Cholesterol and derivatives [ST0101],384.339215,C27H44O,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3,Zymosterol,0.12903225806451613,1,2,1,1,Yes,No
16,LMST01010069,Sterols [ST01],Cholesterol and derivatives [ST0101],384.339215,C27H44O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,7-dehydrocholesterol,0.16129032258064516,1,2,1,0,No,No
17,LMST01010081,Sterols [ST01],Cholesterol and derivatives [ST0101],386.354865,C27H46O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Epicholesterol,0.16129032258064516,1,1,1,0,No,No
18,LMST01010086,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,22R-hydroxycholesterol,0.15625,2,1,2,0,No,No
19,LMST01010087,Sterols [ST01],Cholesterol and derivatives [ST0101],428.401815,C30H52O,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,"24,25-dihydrolanosterol",0.14705882352941177,1,1,1,0,No,No
20,LMST01010088,Sterols [ST01],Cholesterol and derivatives [ST0101],402.34978,C27H46O2,C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,27-hydroxy-cholesterol(25R),0.1875,2,1,2,0,No,No
21,LMST01010089,Sterols [ST01],Cholesterol and derivatives [ST0101],386.354865,C27H46O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Lathosterol,0.16129032258064516,1,1,1,0,No,No
22,LMST01010094,Sterols [ST01],Cholesterol and derivatives [ST0101],400.370515,C28H48O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Lophenol,0.15625,1,1,1,0,No,No
23,LMST01010095,Sterols [ST01],Cholesterol and derivatives [ST0101],384.339215,C27H44O,CC(C)C/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,22-dehydrocholesterol,0.12903225806451613,1,2,1,1,Yes,No
24,LMST01010096,Sterols [ST01],Cholesterol and derivatives [ST0101],386.354865,C27H46O,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3,Zymostenol,0.16129032258064516,1,1,1,0,No,No
25,LMST01010097,Sterols [ST01],Cholesterol and derivatives [ST0101],386.354865,C27H46O,CC(C)CCC[C@@H](C)[C@H]1CCC2=C3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,0.16129032258064516,1,1,1,0,No,No
26,LMST01010099,Sterols [ST01],Cholesterol and derivatives [ST0101],386.354865,C27H46O,CC(C)C/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,0.12903225806451613,1,1,1,1,Yes,No
