LMID,SMILES
LMST01010001_14-15_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010001_14-15_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010012_15-16_0_-1_ring,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010012_15-16_1_-1_ring,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010013_15-16_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010013_15-16_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010014_14-15_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](O)[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010014_14-15_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](O)[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010015_15-16_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@]45[NH2+][C@@H]4C(=O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010015_15-16_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@]45[NH2+][C@H]4C(=O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010016_1-3_0_-1_chain,C[C@H](CC[C@H]1[NH2+]C1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010016_14-15_0_-1_ring,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010016_1-3_1_-1_chain,C[C@H](CC[C@@H]1[NH2+]C1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010016_14-15_1_-1_ring,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010017_1-3_0_-1_chain,C[C@H](CC[C@H]1[NH2+]C1(C)C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
