,CCS,AdjacencyMatrix_SpAbs_A,AdjacencyMatrix_SpAD_A,ATSC_ATSC7i,MATS_MATS5dv,MATS_MATS6s,GATS_GATS2c,GATS_GATS8dv,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_Dzv,Chi_Xp-0dv,Chi_Xp-1dv,DistanceMatrix_VE2_D,GhoseFilter_GhoseFilter,PEOE_VSA_PEOE_VSA7,MolecularId_MID_C,MolecularId_AMID_N
LMST01010001_14-15,217.2,38.32538106,38.32538106,-16.4193129,-0.009331968,-0.015862187,0.936798687,0.89152835,0.94307284,0.988210528,1.351949733,0.178806234,20.92154061,13.82920376,0.178941395,0,79.44735648,57.5388409,0.071448486
LMST01010013_15-16,218.8,39.29238411,39.29238411,-9.441563055,-0.02590799,0.013413406,0.903942334,0.907763769,0.917702123,0.988210615,1.391672593,0.175892761,21.23899769,13.93757273,0.176002249,0,79.44735648,57.56591777,0.068928657
LMST01010016_1-3,220.5,38.36372294,38.36372294,-34.01841129,0.045971812,0.004635751,0.903368685,1.008454943,1.130927344,0.991550288,1.271776859,0.179218229,20.71443383,13.46317835,0.17941364,0,112.0543802,57.59630745,0.068411066
LMST01010016_14-15,219.9,38.32538106,38.32538106,-12.65055819,-0.000281923,-0.01251573,0.951632389,0.928435338,0.955425909,0.991687809,1.351949733,0.179057181,20.71443383,13.46317835,0.178941395,0,100.2185681,57.5388409,0.071448486
LMST01010017_1-3,231.2,41.03169774,41.03169774,-21.1705799,0.013514835,0.016267975,0.889200979,1.011616112,1.177891529,0.991055906,1.344126055,0.170712555,23.48238302,14.62062531,0.171033942,0,111.048549,62.97139495,0.06218962
LMST01010049_15-16,222.1,39.29238411,39.29238411,-16.44658027,-0.029876339,0.010003814,0.941472309,0.921053851,0.938288751,0.988210719,1.391672593,0.175854212,21.12268212,13.79418159,0.176002249,0,73.52945044,57.56591777,0.068928657
LMST01010069_12-13,210.4,38.32615534,38.32615534,-2.979146218,-0.070802053,-0.017167578,0.942060115,0.926290808,0.879419572,0.988211045,1.387196703,0.178724975,20.71443383,13.54539925,0.178767713,0,79.60547054,57.51658314,0.07193696
LMST01010069_14-15,210.4,38.32538106,38.32538106,-19.83645764,-0.033555152,-0.004813565,0.936758742,0.880232149,0.95741091,0.988210832,1.351949733,0.178724289,20.71443383,13.54539925,0.178941395,0,79.60547054,57.5388409,0.071448486
LMST01010089_12-13,216.8,38.32615534,38.32615534,-2.472769426,-0.06395812,-0.010148962,0.937398928,0.929645951,0.874581516,0.98821063,1.387196703,0.17869183,20.92154061,13.8332574,0.178767713,0,79.44735648,57.51658314,0.07193696
LMST01020003_8-9,291.2,62.319658,62.319658,-25.1570051,0.020734827,0.019344188,1.033629631,1.147404154,1.079736248,0.987139818,0.94663891,0.140098584,33.84501907,22.4701037,0.139996623,0,110.5456334,93.41084072,0.042766959
LMST01020005_23-24,284.5,59.70600899,59.70600899,-22.83938194,0.018580866,0.001318375,1.041938256,1.190064962,1.078296308,0.987139818,1.03361703,0.14253398,32.69031853,21.77561559,0.142370357,0,85.86817811,89.36829529,0.045759944
LMST01020008_5-6,291.2,62.31711622,62.31711622,-25.73514548,0.015068455,0.014135459,1.044062554,1.12822683,1.032023764,0.987139818,0.93029631,0.140208278,33.58550605,22.11993362,0.140097134,0,116.9664551,93.41303607,0.042707839
LMST01020008_8-9,291.2,62.319658,62.319658,-29.85461741,0.015068455,0.013972303,1.044051633,1.140454076,1.087569404,0.987139818,0.94663891,0.140183432,33.58550605,22.11993362,0.139996623,0,116.9664551,93.41084072,0.042766959
LMST01040123_13-14,224.4,40.86197576,40.86197576,-13.69824382,-0.007303313,-0.018815352,0.944205916,0.89310399,0.960160397,0.987225176,1.330615943,0.173597554,22.23937786,14.46139558,0.173647833,0,91.78608415,61.37448566,0.066983229
LMST01040123_3-4,222.7,40.95735924,40.95735924,-17.59778147,-0.0184295,-0.004448449,0.938901921,0.885068935,0.956239792,0.987225176,1.323708621,0.173793368,22.23937786,14.50605378,0.173836611,0,98.20690578,61.40977885,0.065463395
LMST01040129_13-14,225.1,40.86197576,40.86197576,-11.30991449,0.010012042,-0.007901153,0.940599126,0.934002915,0.9862271,0.98722515,1.330615943,0.173515348,22.49889088,14.77789216,0.173647833,0,91.78608415,61.37448566,0.066983229
LMST01080037_8-9,215.8,42.4835997,42.4835997,-21.80663116,-0.020392044,-0.060540808,1.003282469,0.904878703,0.834007353,0.993030192,1.193920803,0.173600379,21.10828068,14.16004103,0.17372128,0,73.52945044,59.10305628,0.067005116
LMST02020021_7-8,176.0,30.23187484,30.23187484,-6.892219805,0.032929699,-0.039425308,0.874084857,1.021399191,0.438342131,0.993462585,1.539003383,0.205249396,14.97641775,10.05807715,0.205477583,1,49.85782625,42.06618618,0.093167465
