,CCS,molwt,ABCGGIndex_ABCGG,AcidicGroupCount_nAcid,AdjacencyMatrix_SpAbs_A,AdjacencyMatrix_SpMax_A,AdjacencyMatrix_SpDiam_A,AdjacencyMatrix_SpMAD_A,AdjacencyMatrix_VE1_A,AdjacencyMatrix_VE2_A,AdjacencyMatrix_VR1_A,AdjacencyMatrix_VR2_A,AdjacencyMatrix_VR3_A,AtomCount_nHetero,AtomCount_nO,ATS_ATS8Z,ATS_ATS8m,ATS_ATS8v,AATS_AATS0dv,AATS_AATS1dv,AATS_AATS2dv,AATS_AATS0d,AATS_AATS1d,AATS_AATS3d,AATS_AATS7Z,AATS_AATS7m,AATS_AATS8v,AATS_AATS4p,AATS_AATS7p,AATS_AATS8p,AATS_AATS4i,AATS_AATS8i,ATSC_ATSC0c,ATSC_ATSC1c,ATSC_ATSC2c,ATSC_ATSC3c,ATSC_ATSC4c,ATSC_ATSC3dv,ATSC_ATSC6dv,ATSC_ATSC8dv,ATSC_ATSC6d,ATSC_ATSC4s,ATSC_ATSC5s,ATSC_ATSC6s,ATSC_ATSC8s,ATSC_ATSC3Z,ATSC_ATSC8Z,ATSC_ATSC3m,ATSC_ATSC3se,ATSC_ATSC6se,ATSC_ATSC3pe,ATSC_ATSC6pe,ATSC_ATSC6are,ATSC_ATSC3p,ATSC_ATSC3i,AATSC_AATSC2c,AATSC_AATSC3c,AATSC_AATSC3i,MATS_MATS3c,MATS_MATS5c,MATS_MATS5s,MATS_MATS7s,MATS_MATS6se,MATS_MATS3i,GATS_GATS3se,GATS_GATS3pe,GATS_GATS3are,GATS_GATS3i,BCUT_BCUTc-1h,Chi_Xch-4d,AtomTypeEState_SdssC,VSA_EState_VSA_EState4
LMST01010014_14-15,221.549,432.713,20.20729747,0,39.44794953,2.805064492,5.403672521,1.272514501,4.106802363,0.132477496,3443.114651,111.0682145,9.275533874,3,2,2076,6567.415805,29888.59554,2.888888889,3.141176471,2.294797688,2.913580247,3.917647059,2.98540146,7.894557823,24.43353393,109.4820349,1.154373543,1.013357134,0.959357115,160.1262352,166.2377417,0.804865079,-0.353899976,-0.053495486,0.510801008,-0.202462502,-18.69821674,17.89163237,6.596707819,4.278463649,-0.950243654,-8.933661027,-2.30180655,5.948810522,-29.7712239,136.8701417,-159.0674223,1.297428494,-0.051105975,1.487428365,0.699724676,0.394845709,-3.560931144,-23.21250833,-0.000309222,0.001864237,-0.084717184,0.187613082,-0.04903314,-0.033593223,-0.030389211,-0.004079075,-0.066882246,0.785780493,0.899927044,0.857669768,1.248639806,0.449026331,0.464076175,0.0,0.664378864
LMST01010143_1-3,217.088,442.752,21.01630131,0,40.34722583,2.676787869,5.301001826,1.260850807,4.60650822,0.143953382,374.5712502,11.70535157,7.088932849,2,1,2353,7519.595055,34022.9713,2.761904762,3.204545455,2.185393258,2.928571429,3.829545455,2.985294118,8.016025641,25.25985282,116.119356,1.193249392,1.032689776,1.006695216,157.6861761,165.4398386,0.575890531,-0.258519918,0.137575059,0.247505698,0.014620853,-111.1122449,16.69387755,-15.50510204,7.807256236,-14.12618103,5.24829932,1.687909423,8.10840262,-153.4529478,105.1809807,-733.3667162,-0.495897179,0.032047855,-1.438925057,0.424073583,0.276169926,-3.128088117,-2.044237517,0.000772894,0.000909947,-0.007515579,0.13272589,0.021370992,0.03237879,-0.025831873,0.00415674,-0.005851211,1.100542228,1.177206279,1.160903682,1.200536242,0.42858821,0.61785113,3.765302478,5.517388482
LMST01031101_14-15,228.785,456.691,22.16758877,0,41.55740536,2.810903242,5.449456134,1.259315314,4.198581704,0.127229749,3465.275342,105.0083437,9.344469841,4,3,2168,6883.696911,30892.14592,3.898734177,4.012048193,3.018292683,3.088607595,4.096385542,3.20703125,9.17921147,29.26420717,118.8159459,1.207123742,1.054264797,1.016732864,158.3532668,164.983821,0.939600834,-0.393641514,0.037322081,0.327214883,-0.182252314,-26.05511937,-2.996635155,-34.97211985,4.753565134,-5.206624206,19.23064435,5.584173432,-5.084447159,-32.01089569,1.380547989,-163.8600671,0.271179383,0.094969045,0.450929691,0.678590707,0.44485584,-3.819947632,-26.62020231,0.000227574,0.001278183,-0.103985165,0.10746741,0.048003159,0.043483865,-0.104996823,0.005819343,-0.079822811,0.857668171,0.899643563,0.879131684,1.24178975,0.464584019,0.464076175,1.468062482,0.290038949
LMST01031264_0-1,233.96,442.708,21.12886309,0,40.79502192,2.668360312,5.304097432,1.274844435,4.567624084,0.142738253,446.1231994,13.94134998,7.263745956,3,2,2235,7083.708448,31958.8634,3.35,3.583333333,2.50887574,3.0,3.94047619,2.973484848,8.985239852,29.11765509,121.5165909,1.166031282,1.068775475,1.03812731,159.2564423,164.3998016,0.692590397,-0.31867757,0.065451956,0.376478773,-0.111233293,-89.29,44.81,-41.6425,10.0,-15.82222222,0.058611111,21.37333333,-5.125555556,-111.78125,-69.72265625,-541.8837449,-0.28588956,0.77116484,-0.685306625,1.442472125,1.358873375,-5.059840684,-27.67823128,0.00038729,0.001426056,-0.104841785,0.164721425,-0.014474183,0.000182817,-0.010915318,0.06743917,-0.080969499,1.036360542,1.057317113,1.044189173,1.235772114,0.449986768,0.466312843,0.256705186,0.063269163
LMST01060005_11-12,219.483,428.725,20.28054677,0,39.06219552,2.785708665,5.368061917,1.260070823,4.087369952,0.131850644,2570.754838,82.92757542,8.983356958,2,1,2026,6309.851344,30557.53246,2.740740741,3.105882353,2.139534884,2.913580247,3.847058824,3.0,8.02739726,24.64235843,106.1025433,1.175543034,1.058326939,0.948171855,159.5574557,166.6924687,0.590893613,-0.243889742,0.078768014,0.172864043,0.110196358,-69.90001524,7.007315958,28.02331962,0.139917695,0.517031406,-0.818394469,-0.292396992,3.266137022,-153.7340344,154.6529492,-739.5301262,-0.361421087,-0.007723164,-1.095728182,0.868123503,0.511614175,-5.066088013,-30.27596836,0.000457954,0.000649865,-0.11381943,0.089083804,-0.080613092,-0.005340934,-0.059971803,-0.000957898,-0.088441208,1.063572277,1.138066146,1.1171961,1.265570301,0.433610608,0.48570226,1.613116297,3.022622176
LMST01080011_8-9,220.71,460.679,20.88712716,0,43.34769418,2.796776253,5.390728848,1.31356649,4.509848325,0.13666207,591.6558986,17.92896662,7.576847682,5,4,2206,7099.279835,29359.04229,4.126582278,4.247058824,3.257142857,3.291139241,4.364705882,3.28057554,8.95890411,28.44733778,110.7888388,1.168767753,1.020960443,0.940534013,159.9255916,167.0649294,1.053455208,-0.522005012,0.110533077,0.329114646,-0.150187535,-106.0408588,-28.03477007,42.26261817,3.433904823,-15.61223829,2.599791478,-12.57961687,1.104845422,-134.1156866,164.933344,-642.9975705,-0.437718556,-1.351437486,-1.151915703,-1.425983256,-1.811691796,-3.962711077,-24.50027498,0.000631618,0.001183866,-0.088130486,0.08877965,0.019053604,0.008326852,-0.062570513,-0.06500368,-0.06868595,1.106998397,1.102344901,1.103690128,1.230864858,0.435185521,0.48570226,0.0,0.667950818
LMST01120001_17-18,201.635,404.571,19.8131201,0,38.06371093,2.779404472,5.396196832,1.312541756,4.338063803,0.149588407,390.9570309,13.48127693,7.033308395,5,4,1555,5083.905309,19735.00303,4.597014925,4.527777778,3.408163265,3.343283582,4.444444444,3.247863248,8.506493506,26.81524603,112.7714459,1.176535427,0.938447734,0.9428558,158.9695118,167.5694927,1.235616541,-0.566995557,0.029543025,0.636916122,-0.259373902,-100.5402094,-7.215192693,43.83448429,3.590331922,-25.48112206,3.201928789,-6.526947043,15.06416611,-124.5072399,140.7280018,-603.680462,0.141864109,-0.402436386,-0.304677256,-0.366671219,-0.505074204,-4.505833721,-17.44949805,0.000200973,0.002721864,-0.074570504,0.147590184,-0.012935878,0.007061461,-0.008782147,-0.020443275,-0.057582008,0.777591126,0.837266314,0.808107901,1.216383041,0.545956591,0.476967887,-0.024066314,-0.542318788
LMST02010024_5-6,167.466,300.422,15.25238845,0,29.33135838,2.786765338,5.320718705,1.333243563,3.920459604,0.178202709,193.1686144,8.780391562,6.052020817,3,2,527,1638.351807,6576.73817,4.666666667,4.923076923,3.693069307,3.458333333,4.519230769,3.455128205,7.338842975,22.97617482,109.6123028,1.230419847,0.855004853,0.910715244,158.2908372,166.6896784,0.897452194,-0.462992461,0.078177551,0.2477833,-0.069384016,-62.1875,30.140625,-14.3125,4.015625,-14.60161073,0.098717207,-2.121479552,-9.854166667,-82.265625,-44.34895833,-396.6651866,-0.36454775,0.567520063,-0.708651562,0.93708546,1.031402127,-3.413906274,-21.65158583,0.000774035,0.001588354,-0.138792217,0.084952732,-0.043075819,0.000463186,-0.022954649,0.067073461,-0.10184009,0.8640932,0.917976278,0.902073521,1.202825116,0.438459526,0.476967887,0.0,3.327794981
LMST02030089_10-11,187.856,362.534,17.99759142,0,33.39833164,2.789614183,5.38376505,1.284551217,4.205736796,0.161759108,235.0060828,9.03869549,6.415122843,4,3,1307,4172.685375,16397.30981,4.129032258,4.196969697,3.067164179,3.258064516,4.348484848,3.294392523,8.626315789,27.57189891,106.4760377,1.188903503,0.966637948,0.899644116,158.8765838,167.952188,0.86160162,-0.426038582,-0.029097332,0.364928525,0.00820109,-104.2736733,51.4578564,9.414151925,9.754422477,-25.30135709,-6.076930859,-8.986898774,-6.466152156,-81.23673257,56.15764828,-392.2877603,0.109265607,-0.166160462,-0.309318522,0.686006764,0.327245057,-2.576725316,-16.48243643,-0.000217144,0.001705273,-0.077020731,0.122709792,-0.043353732,-0.013882398,-0.015189537,-0.0109389,-0.059612296,0.936516676,0.974626901,0.961037008,1.24107748,0.433817619,0.48570226,-0.021044744,-0.756254619
LMST03030001_0-1,232.419,428.725,20.35435363,0,39.41334682,2.597710991,5.035792612,1.271398284,3.901335522,0.125849533,1515.763271,48.89558939,8.455076512,2,1,2619,8465.38888,37171.10392,2.716049383,2.988095238,1.957831325,2.740740741,3.55952381,2.639676113,10.05645161,33.30342997,133.2297631,1.127432357,1.169649391,1.123464949,160.4748646,160.9099533,0.603391712,-0.235425863,0.09234258,0.259439642,-0.045865983,-55.16994361,26.10013717,-47.62825789,15.01783265,-2.507542465,2.845164609,2.867693568,-1.366960067,-142.3606158,-109.6652949,-685.3863165,-0.30226423,0.201271709,-0.968150419,1.015805487,0.771286145,-4.783330859,-27.45294275,0.000556281,0.001050363,-0.111145517,0.141001931,0.059980715,0.022798721,-0.036648913,0.034090038,-0.086363495,1.009855732,1.082743895,1.053098597,1.216492999,0.457991195,0.466312843,3.272342004,4.149878678
