,CCS,AdjacencyMatrix_VE3_A,AtomCount_nC,AATSC_AATSC1v,MATS_MATS3c,MATS_MATS6s,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_DzZ,BaryszMatrix_VE2_Dzm,BaryszMatrix_VE2_Dzse,Chi_Xp-0dv,Chi_Xp-1dv,DistanceMatrix_SpMAD_D,Lipinski_Lipinski,MolecularDistanceEdge_MDEC-23,ZagrebIndex_mZagreb2
LMST01010014_14-15,221.549,2.544046823,28,4.19800298,0.187613082,-0.009429915,0.96887845,0.988210622,1.370663581,0.176110817,0.176110666,0.176110594,21.23899769,13.94760944,11.09768953,1,23.48934887,6.451388889
LMST01010095_4-5,220.441,2.663091987,28,3.891606985,0.128048116,-0.00769933,0.907217931,0.988211223,1.322355268,0.179413167,0.179412988,0.17941273,20.66202759,13.54052862,11.01998656,1,25.8871238,6.194444444
LMST01010096_12-13,218.349,2.488334106,28,3.890684977,0.109163835,0.011156665,0.879344526,0.988210667,1.39645333,0.178737833,0.178737781,0.17873831,20.97394685,13.81318399,10.74464978,0,18.52362834,6.236111111
LMST01010173_14-15,262.125,2.848884644,34,3.711850801,0.151674836,0.046738626,1.072064045,0.988208009,1.150223697,0.153035739,0.153035655,0.153035921,26.67353611,17.34621997,14.77868438,0,29.76651086,8.659722222
LMST01010434_14-15,265.205,2.985505301,34,4.937353714,0.157096327,-0.041769201,1.02653032,0.988240738,1.266548331,0.144440606,0.14444045,0.144440587,27.88751112,17.10408887,14.75345606,0,22.91863768,9.611111111
LMST01010442_8-9,294.735,3.215132609,46,2.616723246,0.073355505,-0.022465383,1.086115082,0.987520111,1.095918843,0.133292485,0.13329275,0.133293033,35.4208014,22.72797261,21.50331634,0,34.74538402,11.70138889
LMST01010469_15-16,223.642,2.728947146,28,5.619743882,0.11413083,-0.034944683,0.966930746,0.991787409,1.501470711,0.163534922,0.163534779,0.163535004,22.50537895,13.60128402,11.41661349,0,16.23534339,7.208333333
LMST01010495_9-10,246.177,2.990949816,32,2.506470694,0.055907137,-0.042302765,0.770252417,0.991688249,1.224053089,0.155567974,0.155567181,0.155566418,25.74971001,15.97119203,12.34224786,0,20.85473156,7.861111111
LMST01030094_13-14,221.82,2.553951899,29,3.76915942,0.105339425,-0.030276541,0.826925746,0.98800036,1.37890927,0.176306863,0.176306767,0.17630706,21.53227108,13.92744442,11.03721115,0,23.31788426,6.416666667
LMST01030096_15-16,225.699,2.53807852,29,3.7677838,0.095213194,-0.025344431,0.940649187,0.987997558,1.344244468,0.176360768,0.176360619,0.176360423,21.7917841,14.23988736,11.21205593,0,23.80412067,6.409722222
LMST01030139_0-1,223.375,2.727875401,30,3.6523416,0.166535018,0.016388128,1.115478064,0.988141186,1.288916631,0.173993389,0.173993141,0.173992281,22.49889088,14.7238676,11.76013655,0,25.72898554,6.638888889
LMST01031021_1-2,227.837,2.736089849,31,3.543706051,0.130448851,0.016975523,0.909645613,0.987892597,1.35399818,0.171356401,0.171356275,0.171356207,23.53227108,15.06628964,11.49844529,0,23.08271985,6.805555556
LMST01031081_0-1,230.666,2.686505963,29,3.7677838,0.147540363,0.010165307,1.067182902,0.988241245,1.278189064,0.176759582,0.176759302,0.176758404,21.62864739,14.29634724,11.55775858,0,25.6488282,6.416666667
LMST01031229_22-23,254.766,2.991888999,35,4.179013103,0.121744732,0.005357467,1.13114828,0.991472698,1.363009533,0.146386523,0.146386523,0.146386844,28.17272849,17.52521875,13.37765223,0,27.89240217,9.333333333
LMST01031264_0-1,233.96,2.682143985,29,3.696396734,0.164721425,0.078682409,1.006273764,0.988242245,1.315827794,0.174125866,0.174125726,0.174124905,21.62268212,13.92203808,11.54708799,1,21.90343742,6.576388889
LMST01031264_17-18,229.329,2.648278553,29,3.696396734,0.174468492,0.048286928,0.993805875,0.988238488,1.365486992,0.173673068,0.173673022,0.173672601,21.62268212,13.89178132,11.32346885,1,22.99778438,6.590277778
LMST01040122_13-14,232.288,2.570164964,30,3.6523416,0.097077973,-0.007901153,0.9862271,0.98722515,1.330615943,0.173704235,0.17370409,0.173703878,22.49889088,14.77789216,11.56140558,0,25.45190995,6.743055556
LMST01040142_2-3,230.907,2.705267001,30,3.65407669,0.134453897,0.018466169,0.993682206,0.987228641,1.302220323,0.174116072,0.174115896,0.174115595,22.2917841,14.4672142,11.6214919,0,26.04441894,6.736111111
LMST01040242_11-12,234.78,2.632605988,31,3.543706051,0.122475106,0.008073348,0.933006248,0.987225149,1.37781338,0.170876841,0.170876794,0.170877132,23.36913437,15.20946616,11.56118017,0,24.65148468,6.972222222
LMST01050016_4-5,230.32,2.840143485,32,3.443931556,0.120594801,0.005016323,1.061066098,0.988640108,1.331108177,0.169043104,0.169043,0.16904311,23.66202759,14.8335685,11.92683612,0,24.10102045,6.916666667
LMST01060005_11-12,219.483,2.539303831,29,3.76915942,0.089083804,-0.002008384,0.858778626,0.988140307,1.355643957,0.176492844,0.176492673,0.176492419,21.58467732,13.89651733,11.11602975,0,24.12090012,6.381944444
LMST01070025_12-13,216.36,2.599116947,27,4.609730588,0.113044991,-0.02305002,0.814560703,0.988233874,1.299326756,0.176674436,0.176673869,0.176673141,20.68062618,13.57564392,10.42309924,1,19.78442022,6.243055556
LMST01080011_8-9,220.71,2.700185991,28,4.680946825,0.08877965,-0.04479235,0.842037034,0.993030192,1.198301551,0.171440978,0.171440027,0.171438895,21.42573776,14.25157326,10.80970632,1,23.20289289,6.5625
LMST01090001_8-9,218.092,2.711536319,28,4.680946825,0.075893165,-0.032591056,0.810027138,0.993053281,1.192070803,0.171494009,0.171493082,0.171491898,21.47814401,14.20497774,10.85755343,1,21.00115274,6.576388889
LMST01100001_0-1,238.848,2.680406514,32,4.348617085,0.190046335,0.009837461,1.167930023,0.987970302,1.227455024,0.168690359,0.168690132,0.16868929,23.97394685,15.48825124,11.78939438,0,18.03661324,6.819444444
LMST01110005_12-13,229.542,2.581836103,30,4.601661934,0.099262154,-0.010707648,0.906454449,0.988159231,1.217879114,0.173813082,0.173812921,0.173812662,22.08467732,14.43519246,11.33062992,0,24.18207725,6.493055556
LMST01120001_17-18,201.635,2.532138857,24,4.98850448,0.147590184,-0.016912209,0.877567035,0.993459013,1.330822573,0.182970319,0.18296989,0.182968942,18.32344347,12.25409872,9.59129145,1,19.65051312,5.8125
LMST01120002_18-19,206.086,2.635951319,24,5.762938051,0.078887914,-0.038985619,0.836657724,0.99345978,1.397916585,0.17691823,0.176917913,0.176917138,18.95835764,12.44719987,9.624963839,1,19.87524924,6.215277778
LMST01130002_30-31,217.276,2.741186254,27,4.838288201,0.121564207,0.009666871,0.674050633,0.99338551,1.410451015,0.16923189,0.169231447,0.169230631,20.71228555,13.10347066,10.30525048,1,19.89597571,6.881944444
LMST01150004_13-14,220.33,2.661678616,28,4.80410851,0.055083311,-0.058499694,0.836303828,0.993030173,1.193920803,0.173975439,0.17397479,0.173972695,21.20003239,14.27079514,10.60996167,1,23.26786027,6.368055556
LMST01160004_1-2,232.091,2.488759266,29,3.455204237,0.156807507,-0.043272234,1.009504251,0.993033651,1.20827891,0.171859704,0.17185958,0.171858694,21.70750806,13.91584292,11.45343225,1,24.84298445,6.631944444
LMST01160023_1-2,227.16,2.723177568,29,4.174785157,0.179592704,0.018482111,1.042170337,0.993033652,1.295432327,0.166831539,0.166831508,0.166830686,22.13531544,13.79571354,11.19507584,1,21.09096076,7.041666667
LMST02010024_5-6,167.466,2.154666253,19,6.001282403,0.084952732,-0.012427872,0.568789809,0.993592159,1.527076754,0.210462226,0.210461418,0.210460471,13.54876325,8.991349047,7.54026139,1,19.89235247,4.458333333
LMST02020005_7-8,174.537,2.217642006,20,5.671966885,0.089899172,-0.041361251,0.475126006,0.993462312,1.539003383,0.205737884,0.205737183,0.205736266,15.09273332,10.20552193,7.669850091,1,16.8566748,4.604166667
