,CCS,AtomCount_nC,MATS_MATS3c,MATS_MATS6s,GATS_GATS8d,GATS_GATS1p,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,Chi_Xp-0dv,DistanceMatrix_VE2_D,ComplementaryIC_CIC0,Lipinski_Lipinski,GhoseFilter_GhoseFilter,Radius_Radius,ZagrebIndex_mZagreb2
LMST01010014_14-15,221.549,28,0.187613082,-0.009429915,0.96887845,1.295245495,0.988210622,1.370663581,21.23899769,0.176051208,5.170354905,1,0,8,6.451388889
LMST01010095_4-5,220.441,28,0.128048116,-0.00769933,0.907217931,1.268135825,0.988211223,1.322355268,20.66202759,0.179279673,5.162617152,1,0,8,6.194444444
LMST01010096_12-13,218.349,28,0.109163835,0.011156665,0.879344526,1.303882083,0.988210667,1.39645333,20.97394685,0.178717821,5.209984341,0,0,8,6.236111111
LMST01010164_15-16,225.131,28,0.087238378,-0.023531946,0.935253803,1.295245495,0.988232232,1.344244468,21.23899769,0.176302687,5.170354905,1,0,8,6.409722222
LMST01010173_14-15,262.125,34,0.151674836,0.046738626,1.072064045,1.334003344,0.988208009,1.150223697,26.67353611,0.152994138,5.3752173,0,0,10,8.659722222
LMST01010178_17-18,231.551,28,0.133318846,0.042903174,0.907778226,1.22508788,0.99333092,1.524319306,23.33896373,0.159181314,5.014110033,0,0,8,7.722222222
LMST01010226_12-13,225.854,29,0.069493248,-0.014887242,0.899554707,1.257808449,0.991688307,1.413358575,21.62268212,0.173007274,5.136995611,1,0,8,6.791666667
LMST01010249_12-13,221.177,28,0.108392501,0.051369323,0.840774171,1.280719536,0.988210966,1.329297208,21.49254545,0.173048224,5.092987817,1,0,8,6.479166667
LMST01010411_19-20,264.912,37,0.115553195,0.036888896,1.124073843,1.283560059,0.991074659,1.358375932,31.04968732,0.138758554,5.365297821,0,0,10,10.11111111
LMST01010434_14-15,265.205,34,0.157096327,-0.041769201,1.02653032,1.229307441,0.988240738,1.266548331,27.88751112,0.144485671,5.217914095,0,0,10,9.611111111
LMST01010442_8-9,294.735,46,0.073355505,-0.022465383,1.086115082,1.340091997,0.987520111,1.095918843,35.4208014,0.133409666,5.817086433,0,0,15,11.70138889
LMST01010469_15-16,223.642,28,0.11413083,-0.034944683,0.966930746,1.167170153,0.991787409,1.501470711,22.50537895,0.163586872,4.930905169,0,0,8,7.208333333
LMST01010495_9-10,246.177,32,0.055907137,-0.042302765,0.770252417,1.334759897,0.991688249,1.224053089,25.74971001,0.155157684,5.131603266,0,0,8,7.861111111
LMST01030094_13-14,221.82,29,0.105339425,-0.030276541,0.826925746,1.275921494,0.98800036,1.37890927,21.53227108,0.176137635,5.223138992,0,0,8,6.416666667
LMST01030096_15-16,225.699,29,0.095213194,-0.025344431,0.940649187,1.310436219,0.987997558,1.344244468,21.7917841,0.176302687,5.268726677,0,0,8,6.409722222
LMST01030100_0-1,234.99,30,0.172457064,0.030864206,1.11112534,1.283201555,0.988141439,1.288916631,22.2917841,0.173896476,5.281304562,0,0,8,6.638888889
LMST01030100_10-11,229.013,30,0.11860229,-0.006923056,0.889285714,1.283201555,0.988138595,1.392578737,22.2917841,0.173384685,5.281304562,0,0,8,6.638888889
LMST01030114_5-6,219.76,29,0.141643543,-0.012855821,0.907554575,1.275921494,0.987998815,1.326836541,21.53227108,0.17655567,5.223138992,0,0,8,6.416666667
LMST01030139_0-1,223.375,30,0.166535018,0.016388128,1.115478064,1.316566658,0.988141186,1.288916631,22.49889088,0.173896476,5.325240035,0,0,8,6.638888889
LMST01031021_1-2,227.837,31,0.130448851,0.016975523,0.909645613,1.322313181,0.987892597,1.35399818,23.53227108,0.17130722,5.379684958,0,0,8,6.805555556
LMST01031049_14-15,216.932,28,0.095227406,-0.043000749,0.841768581,1.268135825,0.987498523,1.364253676,20.66202759,0.179067774,5.162617152,1,0,8,6.298611111
LMST01031081_0-1,230.666,29,0.147540363,0.010165307,1.067182902,1.310436219,0.988241245,1.278189064,21.62864739,0.176651715,5.268726677,0,0,8,6.416666667
LMST01031229_22-23,254.766,35,0.121744732,0.005357467,1.13114828,1.280386655,0.991472698,1.363009533,28.17272849,0.146273788,5.318612896,0,0,8,9.333333333
LMST01031264_0-1,233.96,29,0.164721425,0.078682409,1.006273764,1.257808449,0.988242245,1.315827794,21.62268212,0.173838159,5.136995611,1,0,8,6.576388889
LMST01031264_17-18,229.329,29,0.174468492,0.048286928,0.993805875,1.257808449,0.988238488,1.365486992,21.62268212,0.173501424,5.136995611,1,0,8,6.590277778
LMST01040122_13-14,232.288,30,0.097077973,-0.007901153,0.9862271,1.316566658,0.98722515,1.330615943,22.49889088,0.173647833,5.325240035,0,0,8,6.743055556
