,CCS,ATSC_ATSC2i,ATSC_ATSC7i,AATSC_AATSC1p,GATS_GATS2c,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_Dzv,BaryszMatrix_VE2_Dzp,AtomTypeEState_NsCH3,GhoseFilter_GhoseFilter,PEOE_VSA_PEOE_VSA7,MolecularId_MID_C,MolecularId_AMID_N,TopologicalCharge_GGI7,Radius_Radius
LMST01010014_14-15,221.549,22.51795432,-17.08021908,0.02070046,0.964494188,0.96887845,0.988210622,1.370663581,0.175910173,0.17563918,6,0,79.44735648,57.61021388,0.069086642,0.749185091,8
LMST01010088_15-16,223.73,22.56379829,-16.51769089,0.02070046,0.868703078,0.945116171,0.993025293,1.32172803,0.175814126,0.175414613,5,0,85.86817811,57.83308725,0.069143845,0.668473639,8
LMST01010095_4-5,220.441,26.94021574,-28.54911393,0.017322816,0.923648562,0.907217931,0.988211223,1.322355268,0.179178234,0.178916091,6,0,91.78608415,57.5803537,0.069548456,0.630243764,8
LMST01010096_12-13,218.349,20.04627716,-6.051186281,0.017188672,0.961728991,0.879344526,0.988210667,1.39645333,0.178657203,0.178456734,6,0,74.03236601,57.4746308,0.07246272,0.627657313,8
LMST01010097_11-12,218.883,20.04627716,-28.18696715,0.017188672,0.964894361,0.875320451,0.988210668,1.403690776,0.17862942,0.178434067,6,0,74.03236601,57.50020424,0.072434605,0.727501417,8
LMST01010099_4-5,220.436,24.42167689,-27.20692054,0.017188672,0.908632222,0.910540062,0.988210806,1.322355268,0.179115678,0.17885297,6,0,104.1248118,57.5803537,0.069548456,0.630243764,8
LMST01010103_7-8,243.091,49.71099014,25.25574905,0.018882281,0.900897363,1.031512821,0.991082476,1.50108308,0.149668671,0.14908637,9,0,76.5469439,67.47294002,0.048371233,1.623334751,9
LMST01010143_1-3,217.088,39.52957908,-24.51908369,0.016209177,0.889739456,1.147462475,0.99145249,1.329706322,0.173312635,0.173031138,8,0,111.5514646,61.19871397,0.064133059,0.933212868,8
LMST01010143_13-14,225.948,35.41600021,0.659695335,0.016209177,0.989832268,0.867118768,0.991560656,1.459761747,0.173201749,0.173019358,8,0,94.30066204,61.08176495,0.067758618,0.798646542,8
LMST01010164_15-16,225.131,22.51795432,-16.52234292,0.02070046,0.849167604,0.935253803,0.988232232,1.344244468,0.176106424,0.175766137,6,0,92.28899973,57.63195516,0.06914368,0.740539966,8
LMST01010178_17-18,231.551,24.58201594,1.365104501,0.039751946,0.805062854,0.907778226,0.99333092,1.524319306,0.159023582,0.158639536,5,0,70.12612228,58.0896124,0.056465953,1.202310091,8
LMST01010207_12-13,223.888,35.04767225,-21.36924877,0.016090567,0.941951296,0.933463042,0.987937343,1.418696244,0.173127527,0.172975545,8,0,78.44152533,61.13593901,0.067415792,0.820330215,8
LMST01010226_12-13,225.854,24.64505361,-9.447977741,0.016760934,0.937088666,0.899554707,0.991688307,1.413358575,0.173282457,0.173084576,6,0,88.38275599,59.59476616,0.067967704,0.723993764,8
LMST01010226_1-3,231.9,28.78601698,-35.74962451,0.016760934,0.870740222,1.160854232,0.991550217,1.286980186,0.17340256,0.173105812,6,0,106.1364741,59.71763614,0.064135437,0.858560091,8
LMST01010249_12-13,221.177,23.3783729,2.618662984,0.018868048,0.966432752,0.840774171,0.988210966,1.329297208,0.173024663,0.172845221,6,0,61.69363835,57.68016059,0.067294068,0.721407313,8
LMST01010403_11-12,223.286,24.62967889,-6.829828587,-0.007530421,1.217130316,0.861981361,0.993055259,1.053661314,0.161480205,0.161049705,5,0,38.52492974,61.82136103,0.058199857,0.892467404,8
LMST01010411_19-20,264.912,40.52233301,15.23837164,0.022603401,0.915942317,1.124073843,0.991074659,1.358375932,0.138533948,0.13816751,9,0,70.62903785,76.21660445,0.042897332,2.277848639,10
LMST01010434_14-15,265.205,21.20678405,-22.92511638,0.027856398,0.929853886,1.02653032,0.988240738,1.266548331,0.144276212,0.14401881,6,0,57.44259309,70.66973015,0.047197227,1.675418084,10
LMST01010442_8-9,294.735,-1.996995223,-37.98720357,0.013142926,0.824697901,1.086115082,0.987520111,1.095918843,0.133488378,0.133642051,7,0,119.2943455,93.62840519,0.038806952,1.433248299,15
LMST01010469_15-16,223.642,26.57439673,-8.689155503,0.035914242,0.797535412,0.966930746,0.991787409,1.501470711,0.163323973,0.16293315,6,0,65.37216144,57.83325793,0.060267811,1.164965986,8
LMST01010495_9-10,246.177,22.04687115,-1.127677047,0.000149004,0.990099277,0.770252417,0.991688249,1.224053089,0.154839602,0.154036374,8,0,76.04402832,66.91236364,0.053757094,1.136373299,8
LMST01030094_13-14,221.82,26.5166678,6.438991379,0.016747572,0.937652168,0.826925746,0.98800036,1.37890927,0.176176733,0.175954664,7,0,85.36526253,59.34186214,0.069616351,0.699723639,8
LMST01030096_15-16,225.699,25.90839798,-5.484853536,0.016621549,0.93464064,0.940649187,0.987997558,1.344244468,0.176164961,0.175942824,7,0,85.36526253,59.36411815,0.06914368,0.740539966,8
LMST01030100_0-1,234.99,34.32448725,-27.06239533,0.016209177,0.923092006,1.11112534,0.988141439,1.288916631,0.173653415,0.173389917,7,0,97.7039902,61.32409327,0.06401207,0.842935091,8
LMST01030100_10-11,229.013,30.21090837,3.412820428,0.016209177,0.938598752,0.889285714,0.988138595,1.392578737,0.173380825,0.17320347,7,0,91.78608415,61.18819789,0.067430307,0.780435091,8
LMST01030114_15-16,222.612,26.5166678,-7.613046514,0.016747572,0.93742269,0.913541321,0.988000294,1.344244468,0.17628915,0.17604778,7,0,85.36526253,59.36411815,0.06914368,0.740539966,8
LMST01030114_5-6,219.76,30.63408278,-17.60568612,0.016747572,0.931263489,0.907554575,0.987998815,1.326836541,0.176483694,0.176237376,7,0,91.78608415,59.40598915,0.067289399,0.702310091,8
LMST01030118_12-13,224.33,23.72069812,-17.252721,0.016621549,0.962520974,0.917720789,0.987997647,1.395494614,0.1759947,0.175802979,7,0,79.95027206,59.32548536,0.070097846,0.799567744,8
LMST01030139_0-1,223.375,31.76845942,-21.22049414,0.016090567,0.913404643,1.115478064,0.988141186,1.288916631,0.173678986,0.173418839,7,0,110.0427179,61.32409327,0.06401207,0.842935091,8
LMST01031018_18-19,183.863,24.40177639,6.547108899,0.016347397,0.928008933,0.559631821,0.993384956,1.547645812,0.196975649,0.196673588,4,1,63.36049914,45.97442835,0.08607518,0.355938209,6
LMST01031021_1-2,227.837,33.251268,-35.13765024,0.015592388,0.925549872,0.909645613,0.987892597,1.35399818,0.171188055,0.170977008,9,0,110.5456334,63.06525703,0.063169638,0.846407313,8
LMST01031048_4-5,215.818,26.94021574,-17.61528855,0.017322816,0.931772275,0.833879954,0.987497737,1.334616302,0.179282898,0.179008511,6,0,92.28899973,57.57519006,0.069479761,0.618126417,8
LMST01031049_14-15,216.932,22.81866957,-1.479993837,0.017322816,0.93893694,0.841768581,0.987498523,1.364253676,0.179096754,0.178840132,6,0,79.44735648,57.53214677,0.071448414,0.656356293,8
LMST01031081_0-1,230.666,28.09609785,-21.17809783,0.016621549,0.907190045,1.067182902,0.988241245,1.278189064,0.176415371,0.176126351,6,0,110.5456334,59.47796738,0.066076983,0.762223639,8
LMST01031169_16-17,237.735,27.50076701,-26.23098145,0.015851242,0.842465547,0.970338691,0.987944412,1.469839274,0.161351298,0.16087049,8,0,78.94444091,63.52500534,0.056410247,1.283978175,8
LMST01031221_1-10,231.144,28.4555615,-29.5520873,0.028488367,0.830658121,0.995124128,0.987965301,1.487851066,0.163738088,0.16344312,8,0,74.53528159,61.33696687,0.058974723,1.346478175,8
LMST01031248_0-1,232.358,32.61145272,-25.80321679,0.019638104,0.829653987,1.015476687,0.988142377,1.332010143,0.171019967,0.17075919,7,0,103.7800103,61.25345765,0.062071269,0.842935091,8
LMST01031264_0-1,233.96,28.9287654,-17.40350242,0.016760934,0.870691348,1.006273764,0.988242245,1.315827794,0.173886802,0.173696176,6,0,86.02629217,59.41691519,0.064011475,0.793473639,8
LMST01031264_17-18,229.329,28.9287654,-8.597549702,0.016760934,0.924658055,0.993805875,0.988238488,1.365486992,0.173537944,0.173409548,6,0,92.28899973,59.34937215,0.065697378,0.780435091,8
LMST01040122_13-14,232.288,24.11384687,-11.30991449,0.016090567,0.940599126,0.9862271,0.98722515,1.330615943,0.173515348,0.173304868,7,0,91.78608415,61.37448566,0.066983229,0.771789966,8
LMST01040142_13-14,229.178,26.66987469,-10.5249327,0.016209177,0.944128366,0.996258895,0.987228647,1.330615943,0.173655855,0.173427315,7,0,92.28899973,61.37448566,0.066983229,0.771789966,8
LMST01040142_2-3,230.907,26.66987469,-8.43537333,0.016209177,0.935980828,0.993682206,0.987228641,1.302220323,0.173890689,0.173648355,7,0,91.78608415,61.39357491,0.065501915,0.796981293,8
LMST01040148_10-11,235.454,25.59665545,-17.28076776,0.015592388,0.973872513,0.986032458,0.987225149,1.391899738,0.170745759,0.170592516,8,0,85.86817811,63.181896,0.065848762,0.911529195,8
LMST01040150_3-4,230.279,29.97205518,-16.34655479,0.015592388,0.930444889,1.010377845,0.987225176,1.33223579,0.171118174,0.170919706,8,0,110.0427179,63.25590627,0.063479624,0.814271542,8
LMST01040270_15-16,232.393,24.60403687,-6.599985632,0.022517087,0.834088956,0.97506828,0.98722515,1.398531912,0.168387457,0.168175781,7,0,99.21273693,61.41291533,0.062845925,0.902848639,8
LMST01040272_21-22,250.032,25.69776718,13.2127781,0.036515657,0.875846962,0.914186494,0.991799793,1.369206994,0.151901836,0.15156695,6,0,64.20821623,62.57666476,0.051088517,1.461876417,8
LMST01060005_11-12,219.483,28.44638291,-37.84402302,0.016747572,0.945204269,0.858778626,0.988140307,1.355643957,0.176270885,0.176026147,7,0,92.79191531,59.36130287,0.069143541,0.715348639,8
LMST01060021_11-12,238.463,33.33001557,-16.21533945,0.019194584,0.886446354,0.897692707,0.987905652,1.390183791,0.157235257,0.15683973,9,0,73.02653486,67.51609537,0.054792932,1.349950397,8
LMST01070025_12-13,216.36,25.0749377,4.656726865,0.01953124,0.960834568,0.814560703,0.988233874,1.299326756,0.176305061,0.175973423,6,0,73.02653486,56.35670423,0.069163369,0.745748299,7
LMST01080039_14-15,225.051,24.39185704,-22.98881514,0.020545291,0.901974898,0.840310333,0.993040073,1.194406612,0.16847312,0.16804573,5,0,54.76990115,59.26255617,0.063064318,0.900262188,8
LMST01080045_13-14,216.447,23.70361989,-21.80663116,0.013259265,1.003282469,0.834007353,0.993030192,1.193920803,0.173600379,0.173269012,5,0,73.52945044,59.10305628,0.067005116,0.782206633,8
LMST01090001_8-9,218.092,23.9961016,-0.780224056,0.016975679,0.93549064,0.810027138,0.993053281,1.192070803,0.170741581,0.170362316,5,0,74.53528159,59.10291227,0.064974464,0.854272959,8
LMST01100001_0-1,238.848,50.52291257,11.86722597,0.019383568,0.899507914,1.167930023,0.987970302,1.227455024,0.168396695,0.168158558,8,0,114.9547928,65.36491322,0.060244725,1.126806973,8
LMST01100056_0-1,259.498,44.97574994,-20.55645293,0.019323413,0.753613177,0.973038012,0.993028368,1.299780308,0.154932233,0.154451652,7,0,117.4693706,68.0807818,0.05045709,1.601651077,8
LMST01110005_12-13,229.542,29.00358596,-16.52247455,0.02069168,0.941800454,0.906454449,0.988159231,1.217879114,0.173604624,0.173377704,7,0,92.79191531,61.75706387,0.066983385,0.775297619,8
LMST01120001_17-18,201.635,23.27807789,3.997925362,0.021926531,0.905148691,0.877567035,0.993459013,1.330822573,0.182451636,0.181917791,3,1,80.95610321,50.75431248,0.073233427,0.567743764,7
LMST01120002_18-19,206.086,24.10956949,8.465415349,0.030131274,0.842984191,0.836657724,0.99345978,1.397916585,0.176475855,0.175957577,3,0,61.69363835,50.86056534,0.06847144,0.71704932,7
LMST01120004_22-23,202.203,21.50810162,5.890692247,0.022024528,0.891921317,0.853503494,0.993591378,1.341352464,0.179429185,0.178899678,2,1,75.54111274,51.034009,0.070794589,0.608560091,7
LMST01120008_18-19,200.324,23.68871237,5.599881242,0.02612621,0.870355551,0.82860334,0.993459773,1.368508578,0.179389506,0.178871694,3,1,74.53528159,50.79880903,0.070781552,0.626771542,7
