,CCS,ATSC_ATSC8d,MATS_MATS3c,MATS_MATS5dv,GATS_GATS2c,GATS_GATS8dv,GATS_GATS7i,BCUT_BCUTdv-1l,BaryszMatrix_SpDiam_Dzare,Chi_Xp-1dv,ZModifiedIC_ZMIC3,GhoseFilter_GhoseFilter,MolecularDistanceEdge_MDEC-23,MolecularId_MID_C,MolecularId_MID_N,MolecularId_AMID_N,Diameter_Diameter,Radius_Radius
LMST01010014_14-15,221.549,-13.04526749,0.187613082,-0.047141988,0.964494188,0.881579959,1.022102905,0.988210622,253.7286767,13.94760944,28.31656718,0,23.48934887,57.61021388,2.141685897,0.069086642,15,8
LMST01010087_13-14,226.749,-11.59020326,0.162504334,-0.034344411,0.974178722,0.929183862,0.968589234,0.987897749,264.2691495,14.94199251,31.70875855,0,13.42324724,62.85466082,2.168012844,0.065697359,15,8
LMST01010088_15-16,223.73,-10.06447188,0.086242853,-0.002743039,0.868703078,0.888117663,1.021803411,0.993025293,263.6751006,13.97632955,26.51450638,0,24.60678181,57.83308725,2.143459204,0.069143845,16,8
LMST01010095_14-15,218.115,-9.124260355,0.092482958,-0.020544131,0.943180467,0.850964569,1.030574523,0.98821255,235.221427,13.49587043,24.65432486,0,23.63919357,57.5388409,2.14345458,0.071448486,15,8
LMST01010095_4-5,220.441,-1.334648258,0.128048116,-0.019267815,0.923648562,0.842631147,1.03842703,0.988211223,240.5270399,13.54052862,25.33852437,0,25.8871238,57.5803537,2.08645369,0.069548456,15,8
LMST01010096_12-13,218.349,-6.78625,0.109163835,-0.034861813,0.961728991,0.943872586,0.966067604,0.988210667,236.0062208,13.81318399,27.42489927,0,18.52362834,57.4746308,2.173881591,0.07246272,15,8
LMST01010097_11-12,218.883,-6.45125,0.112183125,-0.036045951,0.964894361,0.861373224,1.038967046,0.988210668,234.1067694,13.81318399,27.42489927,0,18.52157846,57.50020424,2.17303815,0.072434605,15,8
LMST01010099_4-5,220.436,-1.453125,0.122205115,-0.022282382,0.908632222,0.860561887,1.030705528,0.988210806,245.1690835,13.84522352,29.22536223,0,25.8871238,57.5803537,2.08645369,0.069548456,15,8
LMST01010103_22-23,241.908,-15.07908429,0.043612756,-0.039463035,0.843485089,0.851599432,0.89631649,0.991082478,382.7844317,15.73920898,29.70822204,0,17.21170103,67.4324565,2.143791016,0.049855605,17,9
LMST01010103_7-8,243.091,-13.70343392,0.088017798,-0.070976429,0.900897363,0.882634891,0.898416516,0.991082476,390.1044503,15.78386718,28.78382306,0,17.77451383,67.47294002,2.079963005,0.048371233,17,9
LMST01010143_1-3,217.088,-23.08390023,0.13272589,0.017985367,0.889739456,0.979928563,1.032492959,0.99145249,263.9480646,14.28729197,26.07621083,0,21.89893395,61.19871397,2.052257892,0.064133059,15,8
LMST01010143_13-14,225.948,-8.428571429,0.143413361,-0.025495469,0.989832268,0.9341348,0.935077989,0.991560656,247.8025287,14.24263378,27.14129952,0,15.69809684,61.08176495,2.16827576,0.067758618,15,8
LMST01010164_15-16,225.131,-10.85048011,0.087238378,0.012037115,0.849167604,0.987698433,1.018881003,0.988232232,257.4461259,13.92073598,28.46613026,0,23.80412067,57.63195516,2.143454076,0.06914368,15,8
LMST01010173_14-15,262.125,-14.46054308,0.151674836,0.035226655,1.01225089,0.950314593,1.107925629,0.988208009,427.909639,17.34621997,30.56940631,0,29.76651086,70.50169946,2.151819351,0.052483399,20,10
LMST01010178_17-18,231.551,-5.680367766,0.133318846,-0.031768901,0.805062854,0.909959635,0.917851915,0.99333092,318.3844876,14.40532617,27.83977854,0,16.13765576,58.0896124,2.145706219,0.056465953,16,8
LMST01010207_12-13,223.888,-9.196863169,0.131764672,-0.060787965,0.941951296,0.941580112,1.003055722,0.987937343,259.9844124,14.59411108,30.79574627,0,20.91324403,61.13593901,2.157305349,0.067415792,15,8
LMST01010226_12-13,225.854,-6.5,0.069493248,-0.013736193,0.937088666,1.010399596,0.979107837,0.991688307,255.7693752,13.86636427,25.64405942,0,20.89664515,59.59476616,2.174966516,0.067967704,15,8
LMST01010226_1-3,231.9,-19.0,0.057656241,0.025734613,0.870740222,0.946990764,1.098993405,0.991550217,272.0827811,13.91102247,24.80928248,0,27.48940954,59.71763614,2.052333969,0.064135437,15,8
LMST01010249_12-13,221.177,-6.409375,0.108392501,-0.104032634,0.966432752,0.88243377,0.918983672,0.988210966,249.3869341,14.07678728,27.15658635,0,17.28689352,57.68016059,2.153410188,0.067294068,15,8
