,CCS,ATSC_ATSC8d,MATS_MATS3c,MATS_MATS5dv,GATS_GATS2c,GATS_GATS8dv,GATS_GATS7i,BCUT_BCUTdv-1l,BaryszMatrix_SpDiam_Dzare,Chi_Xp-1dv,ZModifiedIC_ZMIC3,GhoseFilter_GhoseFilter,MolecularDistanceEdge_MDEC-23,MolecularId_MID_C,MolecularId_MID_N,MolecularId_AMID_N,Diameter_Diameter,Radius_Radius
LMST01010001_14-15,217.2,-11.1825,0.09093799,-0.009331968,0.936798687,0.89152835,1.01866732,0.988210528,242.6015424,13.82920376,27.9287838,0,23.63919357,57.5388409,2.14345458,0.071448486,15,8
LMST01010013_15-16,218.8,-10.4430727,0.111719122,-0.02590799,0.903942334,0.907763769,0.982021418,0.988210615,248.4500371,13.93757273,28.31656718,0,23.05187556,57.56591777,2.136788356,0.068928657,15,8
LMST01010016_1-3,220.5,-16.68902038,0.104814177,0.045971812,0.903368685,1.008454943,1.096832311,0.991550288,251.190449,13.46317835,25.18013001,0,25.32265565,57.59630745,2.052331991,0.068411066,15,8
LMST01010016_14-15,219.9,-11.03550296,0.086723883,-0.000281923,0.951632389,0.928435338,1.004305636,0.991687809,237.9411254,13.46317835,25.6142297,0,23.63919357,57.5388409,2.14345458,0.071448486,15,8
LMST01010017_1-3,231.2,-26.73417889,0.148473033,0.013514835,0.889200979,1.011616112,1.02899914,0.991055906,276.0976597,14.62062531,27.85600584,0,19.67777934,62.97139495,2.052257467,0.06218962,15,8
LMST01010049_15-16,222.1,-11.78064413,0.111122688,-0.029876339,0.941472309,0.921053851,1.018823105,0.988210719,247.8567673,13.79418159,27.69864714,0,23.05187556,57.56591777,2.136788356,0.068928657,15,8
LMST01010069_12-13,210.4,-5.688362919,0.101719264,-0.070802053,0.942060115,0.926290808,0.942069661,0.988211045,232.0373328,13.54539925,26.22856973,0,23.11363545,57.51658314,2.1581088,0.07193696,15,8
LMST01010069_14-15,210.4,-12.04733728,0.094807355,-0.033555152,0.936758742,0.880232149,1.034435095,0.988210832,235.2825507,13.54539925,26.08622088,0,23.63919357,57.5388409,2.14345458,0.071448486,15,8
LMST01010089_12-13,216.8,-5.4325,0.098020327,-0.06395812,0.937398928,0.929645951,0.938446735,0.98821063,236.2269658,13.8332574,27.74099568,0,23.11363545,57.51658314,2.1581088,0.07193696,15,8
LMST01020003_8-9,291.2,-9.512557543,0.081323889,0.020734827,1.033629631,1.147404154,1.053536679,0.987139818,834.4010959,22.4701037,39.97451467,0,37.33222214,93.41084072,2.095580986,0.042766959,33,17
LMST01020005_23-24,284.5,-10.74555149,0.051459535,0.018580866,1.041938256,1.190064962,1.055873187,0.987139818,734.0716693,21.77561559,49.09025463,0,28.99769831,89.36829529,2.150717369,0.045759944,31,16
LMST01020008_5-6,291.2,-7.003244997,0.084517922,0.015068455,1.044062554,1.12822683,1.059015959,0.987139818,834.9514206,22.11993362,31.60762616,0,36.92866047,93.41303607,2.092684123,0.042707839,33,17
LMST01020008_8-9,291.2,-10.37101136,0.084597888,0.015068455,1.044051633,1.140454076,1.068276666,0.987139818,825.419743,22.11993362,31.60762616,0,37.33222214,93.41084072,2.095580986,0.042766959,33,17
LMST01040123_13-14,224.4,-14.0,0.100545233,-0.007303313,0.944205916,0.89310399,1.026626985,0.987225176,266.2021457,14.46139558,24.96935922,0,25.45190995,61.37448566,2.143463325,0.066983229,15,8
LMST01040123_3-4,222.7,-6.174603175,0.135895461,-0.0184295,0.938901921,0.885068935,1.005398374,0.987225176,269.7534421,14.50605378,25.63268893,0,26.50654357,61.40977885,2.094828638,0.065463395,15,8
LMST01040129_13-14,225.1,-15.90914008,0.097077973,0.010012042,0.940599126,0.934002915,1.016234138,0.98722515,275.902494,14.77789216,28.04188139,0,25.45190995,61.37448566,2.143463325,0.066983229,15,8
LMST01080037_8-9,215.8,3.708086785,0.063396794,-0.020392044,1.003282469,0.904878703,1.027279818,0.993030192,237.2770297,14.16004103,24.37465913,0,23.26786027,59.10305628,2.144163728,0.067005116,15,8
LMST02020021_7-8,176.0,10.40661157,0.093640366,0.032929699,0.874084857,1.021399191,0.938340481,0.993462585,123.9759467,10.05807715,20.60927623,1,16.8566748,42.06618618,2.142851685,0.093167465,10,5
LMST02030088_9-10,183.3,-2.65546896,0.062437966,-0.021067856,0.865176026,0.796148364,0.948929683,0.993385024,149.612736,10.94012232,22.58883433,1,18.43530719,45.98922938,2.143243999,0.08572976,11,6
LMST03010001_9-10,219.8,-9.475404583,0.096072055,0.000987793,0.954574984,1.003869396,1.000504132,0.988063124,252.2209525,13.36109449,25.43381209,0,23.56139969,58.53644737,2.14540367,0.06920657,15,8
LMST03020001_9-10,218.7,-11.02366864,0.087991249,-0.006434907,0.953341132,1.016097019,1.021958477,0.98830074,245.1936488,13.26690747,25.65212119,0,23.25764769,56.71116674,2.145405685,0.071513523,15,8
