,mz,diagIonsInChian,diagIonsInRing,characteristicMass
LMST01010001_14-15_0_0_ring,416.3887,,"385.3465,367.3359","385.3465,367.3359"
LMST01010012_15-16_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010013_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010014_14-15_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010015_15-16_0_0_ring,414.373,,383.3308,383.3308
LMST01010016_1-3_0_0_chain,414.373,"372.3261,354.3155",,"372.3261,354.3155"
LMST01010016_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010017_1-3_0_0_chain,456.42,"414.373,396.3625",,"414.373,396.3625"
LMST01010017_13-14_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01010018_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010019_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010047_25-26_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010049_15-16_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010054_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010057_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010058_15-16_0_0_ring,412.3574,,381.3152,381.3152
LMST01010058_17-18_0_0_ring,412.3574,,381.3152,381.3152
LMST01010059_13-14_0_0_ring,412.3574,,381.3152,381.3152
LMST01010059_15-16_0_0_ring,412.3574,,381.3152,381.3152
LMST01010066_1-3_0_0_chain,414.373,"372.3261,354.3155",,"372.3261,354.3155"
LMST01010066_12-13_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010069_12-13_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010069_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010081_14-15_0_0_ring,416.3887,,"385.3465,367.3359","385.3465,367.3359"
LMST01010086_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010087_13-14_0_0_ring,458.4356,,"427.3934,409.3829","427.3934,409.3829"
LMST01010088_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010089_12-13_0_0_ring,416.3887,,"385.3465,367.3359","385.3465,367.3359"
LMST01010094_12-13_0_0_ring,430.4043,,"399.3621,381.3516","399.3621,381.3516"
LMST01010095_4-5_0_0_chain,414.373,"100.1121,344.2948,326.2842",,"100.1121,344.2948,326.2842"
LMST01010095_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010096_12-13_0_0_ring,416.3887,,"385.3465,367.3359","385.3465,367.3359"
LMST01010097_11-12_0_0_ring,416.3887,,"385.3465,367.3359","385.3465,367.3359"
LMST01010099_4-5_0_0_chain,416.3887,"100.1121,346.3104,328.2999",,"100.1121,346.3104,328.2999"
LMST01010100_16-17_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010101_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010103_7-8_0_0_chain,604.348,"144.1019,490.2799,472.2694,454.2588",,"144.1019,490.2799,472.2694,454.2588"
LMST01010103_22-23_0_0_ring,604.348,,"573.3058,555.2952,537.2847","573.3058,555.2952,537.2847"
LMST01010104_7-8_0_0_chain,588.3531,"144.1019,474.285,456.2744,438.2639",,"144.1019,474.285,456.2744,438.2639"
LMST01010104_22-23_0_0_ring,588.3531,,"557.3109,539.3003,521.2897","557.3109,539.3003,521.2897"
LMST01010105_7-8_0_0_chain,590.3687,"144.1019,476.3006,458.2901,440.2795",,"144.1019,476.3006,458.2901,440.2795"
LMST01010105_22-23_0_0_ring,590.3687,,"559.3265,541.316,523.3054","559.3265,541.316,523.3054"
LMST01010106_4-5_0_0_chain,546.3425,"102.0913,474.285,456.2744,438.2639",,"102.0913,474.285,456.2744,438.2639"
LMST01010106_19-20_0_0_ring,546.3425,,"515.3003,497.2897,479.2792","515.3003,497.2897,479.2792"
LMST01010107_7-8_0_0_chain,586.3374,"144.1019,472.2693,454.2588,436.2482",,"144.1019,472.2693,454.2588,436.2482"
LMST01010107_22-23_0_0_ring,586.3374,,"555.2952,537.2847,519.2741","555.2952,537.2847,519.2741"
LMST01010107_25-26_0_0_ring,586.3374,,"555.2952,537.2847,519.2741","555.2952,537.2847,519.2741"
LMST01010108_4-5_0_0_chain,548.3582,"102.0913,476.3006,458.2901,440.2795",,"102.0913,476.3006,458.2901,440.2795"
LMST01010108_19-20_0_0_ring,548.3582,,"517.316,499.3054,481.2948","517.316,499.3054,481.2948"
LMST01010109_9-10_0_0_ring,564.3531,,"533.3109,515.3003,497.2897","533.3109,515.3003,497.2897"
LMST01010110_4-5_0_0_chain,544.3269,"102.0913,472.2693,454.2588,436.2482",,"102.0913,472.2693,454.2588,436.2482"
LMST01010110_19-20_0_0_ring,544.3269,,"513.2847,495.2741,477.2635","513.2847,495.2741,477.2635"
LMST01010110_22-23_0_0_ring,544.3269,,"513.2847,495.2741,477.2635","513.2847,495.2741,477.2635"
LMST01010111_5-7_0_0_ring,562.3374,,"531.2952,513.2847,495.2741","531.2952,513.2847,495.2741"
LMST01010111_9-10_0_0_ring,562.3374,,"531.2952,513.2847,495.2741","531.2952,513.2847,495.2741"
LMST01010112_19-20_0_0_ring,546.3425,,"515.3003,497.2897,479.2792","515.3003,497.2897,479.2792"
LMST01010112_22-23_0_0_ring,546.3425,,"515.3003,497.2897,479.2792","515.3003,497.2897,479.2792"
LMST01010113_4-5_0_0_chain,548.3582,"102.0913,476.3006,458.2901,440.2795",,"102.0913,476.3006,458.2901,440.2795"
LMST01010113_19-20_0_0_ring,548.3582,,"517.316,499.3054,481.2948","517.316,499.3054,481.2948"
LMST01010114_19-20_0_0_ring,550.3738,,"519.3316,501.321,483.3105","519.3316,501.321,483.3105"
LMST01010115_7-8_0_0_chain,590.3687,"144.1019,476.3006,458.2901,440.2795",,"144.1019,476.3006,458.2901,440.2795"
LMST01010115_22-23_0_0_ring,590.3687,,"559.3265,541.316,523.3054","559.3265,541.316,523.3054"
LMST01010116_17-18_0_0_ring,528.3319,,"497.2897,479.2792","497.2897,479.2792"
LMST01010116_20-21_0_0_ring,528.3319,,"497.2897,479.2792,461.2686","497.2897,479.2792,461.2686"
LMST01010120_12-13_0_0_ring,460.3421,,"429.2999,411.2894","429.2999,411.2894"
LMST01010121_1-3_0_0_chain,412.3574,"370.3104,352.2999",,"370.3104,352.2999"
LMST01010121_12-13_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST01010121_14-15_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST01010122_12-13_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010122_14-15_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010123_15-16_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010124_1-3_0_0_chain,472.4149,"430.3679,412.3574",,"430.3679,412.3574"
LMST01010124_14-15_0_0_ring,472.4149,,"441.3727,423.3621","441.3727,423.3621"
LMST01010128_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010129_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010131_16-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010132_15-17_0_0_ring,448.3785,,"417.3363,399.3257,381.3152","417.3363,399.3257,381.3152"
LMST01010133_15-16_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010136_13-14_0_0_ring,430.4043,,"399.3621,381.3516","399.3621,381.3516"
LMST01010137_14-15_0_0_ring,430.4043,,"399.3621,381.3516","399.3621,381.3516"
LMST01010138_14-15_0_0_ring,430.4043,,"399.3621,381.3516","399.3621,381.3516"
LMST01010141_13-14_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01010141_26-27_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01010142_1-3_0_0_chain,456.42,"414.373,396.3625",,"414.373,396.3625"
LMST01010142_26-27_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01010143_1-3_0_0_chain,442.4043,"400.3574,382.3468",,"400.3574,382.3468"
LMST01010143_13-14_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01010149_1-3_0_0_chain,440.3887,"398.3417,380.3312",,"398.3417,380.3312"
LMST01010149_10-11_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01010149_12-13_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01010152_1-3_0_0_chain,458.3628,"416.3159,398.3053,380.2948",,"416.3159,398.3053,380.2948"
LMST01010152_12-13_0_0_ring,458.3628,,"427.3206,409.3101,391.2995","427.3206,409.3101,391.2995"
LMST01010158_17-18_0_0_ring,542.3323,,"511.2901,493.2796,475.269","511.2901,493.2796,475.269"
LMST01010164_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010167_1-3_0_0_chain,426.373,384.3261,,384.3261
LMST01010167_12-13_0_0_ring,426.373,,395.3308,395.3308
LMST01010168_1-3_0_0_chain,412.3574,370.3104,,370.3104
LMST01010168_12-13_0_0_ring,412.3574,,381.3152,381.3152
LMST01010169_1-3_0_0_chain,444.3836,"402.3366,384.3261,366.3155",,"402.3366,384.3261,366.3155"
LMST01010169_12-13_0_0_ring,444.3836,,"413.3414,395.3308,377.3203","413.3414,395.3308,377.3203"
LMST01010170_23-24_0_0_chain,456.3836,"414.3366,396.3261",,"414.3366,396.3261"
LMST01010170_10-11_0_0_ring,456.3836,,"425.3414,407.3308","425.3414,407.3308"
LMST01010171_1-3_0_0_chain,442.3679,"400.321,382.3104",,"400.321,382.3104"
LMST01010171_12-13_0_0_ring,442.3679,,"411.3257,393.3152","411.3257,393.3152"
LMST01010172_15-16_0_0_ring,492.3319,,"461.2897,443.2792,425.2686","461.2897,443.2792,425.2686"
LMST01010173_14-15_0_0_ring,578.4415,,"547.3993,529.3887,511.3782","547.3993,529.3887,511.3782"
LMST01010175_12-13_0_0_ring,474.3941,,"443.3519,425.3414","443.3519,425.3414"
LMST01010176_1-3_0_0_chain,442.4043,"400.3574,382.3468",,"400.3574,382.3468"
LMST01010176_12-13_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01010177_17-18_0_0_ring,542.3323,,"511.2901,493.2796,475.269","511.2901,493.2796,475.269"
LMST01010178_17-18_0_0_ring,542.3323,,"511.2901,493.2796,475.269","511.2901,493.2796,475.269"
LMST01010179_13-14_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
