LMID,CCS,molwt
LMST01010001_14-15_0_0_ring,217.1767956020338,416.71
LMST01010012_15-16_0_0_ring,223.67184145258773,430.7
LMST01010013_15-16_0_0_ring,216.9383460703653,432.71
LMST01010014_14-15_0_0_ring,218.00322993972208,432.71
LMST01010015_15-16_0_0_ring,220.71628969011076,414.7
LMST01010016_1-3_0_0_chain,224.6089305663449,414.7
LMST01010016_14-15_0_0_ring,218.7291527877769,414.7
LMST01010017_1-3_0_0_chain,233.63712135256944,456.78
LMST01010017_13-14_0_0_ring,226.1886123217815,456.78
LMST01010018_15-16_0_0_ring,218.9523635184228,432.71
LMST01010019_15-16_0_0_ring,219.73009416873447,432.71
LMST01010047_25-26_0_0_ring,216.9383460703653,432.71
LMST01010049_15-16_0_0_ring,217.47815895119254,430.7
LMST01010054_15-16_0_0_ring,216.15678261045943,432.71
LMST01010057_15-16_0_0_ring,219.0554563115848,432.71
LMST01010058_15-16_0_0_ring,217.0615900298252,412.68
LMST01010058_17-18_0_0_ring,217.90607128928698,412.68
LMST01010059_13-14_0_0_ring,217.17976225271877,412.68
LMST01010059_15-16_0_0_ring,220.80563283760108,412.68
LMST01010066_1-3_0_0_chain,224.29452455523068,414.7
LMST01010066_12-13_0_0_ring,217.14996822577967,414.7
LMST01010069_12-13_0_0_ring,214.38361488121947,414.7
LMST01010069_14-15_0_0_ring,216.851342230956,414.7
LMST01010081_14-15_0_0_ring,217.1767956020338,416.71
LMST01010086_15-16_0_0_ring,216.15678261045943,432.71
LMST01010087_13-14_0_0_ring,225.37074875029515,458.8
LMST01010088_15-16_0_0_ring,219.0554563115848,432.71
LMST01010089_12-13_0_0_ring,215.0684472890182,416.71
LMST01010094_12-13_0_0_ring,218.32301390234122,430.74
LMST01010095_4-5_0_0_chain,217.85271619479397,414.7
LMST01010095_14-15_0_0_ring,216.3385524014019,414.7
LMST01010096_12-13_0_0_ring,215.7433633116874,416.71
LMST01010097_11-12_0_0_ring,216.65174867986377,416.71
LMST01010099_4-5_0_0_chain,219.29912557616086,416.71
LMST01010100_16-17_0_0_ring,222.06548628612484,446.7
LMST01010101_16-17_0_0_ring,222.92077856652912,448.71
LMST01010103_7-8_0_0_chain,243.22695812196287,604.76
LMST01010103_22-23_0_0_ring,242.59480328699715,604.76
LMST01010104_7-8_0_0_chain,242.79618065941014,588.76
LMST01010104_22-23_0_0_ring,241.973342321088,588.76
LMST01010105_7-8_0_0_chain,241.88780354710912,590.78
LMST01010105_22-23_0_0_ring,241.31793238121583,590.78
LMST01010106_4-5_0_0_chain,233.21002284779973,546.73
LMST01010106_19-20_0_0_ring,230.4146729651941,546.73
LMST01010107_7-8_0_0_chain,240.95492937762714,586.75
LMST01010107_22-23_0_0_ring,240.90733914014072,586.75
LMST01010107_25-26_0_0_ring,240.8580771267201,586.75
LMST01010108_4-5_0_0_chain,232.6752796574439,548.74
LMST01010108_19-20_0_0_ring,229.9137459887491,548.74
LMST01010109_9-10_0_0_ring,233.20179950507293,564.74
LMST01010110_4-5_0_0_chain,231.32572656400293,544.71
LMST01010110_19-20_0_0_ring,228.90437042712924,544.71
LMST01010110_22-23_0_0_ring,230.00085634009488,544.71
LMST01010111_5-7_0_0_ring,231.98682540225175,562.72
LMST01010111_9-10_0_0_ring,231.84812695748155,562.72
LMST01010112_19-20_0_0_ring,229.61373488258715,546.73
LMST01010112_22-23_0_0_ring,230.741071172945,546.73
LMST01010113_4-5_0_0_chain,232.6752796574439,548.74
LMST01010113_19-20_0_0_ring,229.9137459887491,548.74
LMST01010114_19-20_0_0_ring,230.57294211516023,550.76
LMST01010115_7-8_0_0_chain,242.0325696423066,590.78
LMST01010115_22-23_0_0_ring,241.56521578159024,590.78
LMST01010116_17-18_0_0_ring,227.16743004764453,528.71
LMST01010116_20-21_0_0_ring,227.5258579640903,528.71
LMST01010120_12-13_0_0_ring,220.03878259032314,460.68
LMST01010121_1-3_0_0_chain,223.3127014312825,412.68
LMST01010121_12-13_0_0_ring,215.50349754618276,412.68
LMST01010121_14-15_0_0_ring,218.08971829109566,412.68
LMST01010122_12-13_0_0_ring,213.3281508123068,430.7
LMST01010122_14-15_0_0_ring,215.22423321373833,430.7
LMST01010123_15-16_0_0_ring,221.21605496383808,448.71
LMST01010124_1-3_0_0_chain,233.7226633388615,472.78
LMST01010124_14-15_0_0_ring,227.62330636802687,472.78
LMST01010128_16-17_0_0_ring,225.37950825898423,448.71
LMST01010129_16-17_0_0_ring,224.2733310073911,448.71
LMST01010131_16-17_0_0_ring,224.2378024711864,448.71
LMST01010132_15-17_0_0_ring,222.53122225522225,448.71
LMST01010133_15-16_0_0_ring,219.2872450448054,430.7
LMST01010136_13-14_0_0_ring,216.3491439436885,430.74
LMST01010137_14-15_0_0_ring,220.44768684413208,430.74
LMST01010138_14-15_0_0_ring,220.44768684413208,430.74
LMST01010141_13-14_0_0_ring,224.10986724218395,456.78
LMST01010141_26-27_0_0_ring,223.59867732932227,456.78
LMST01010142_1-3_0_0_chain,233.49699891152346,456.78
LMST01010142_26-27_0_0_ring,225.27291151096614,456.78
LMST01010143_1-3_0_0_chain,231.62093874913006,442.75
LMST01010143_13-14_0_0_ring,223.8359958770842,442.75
LMST01010149_1-3_0_0_chain,233.31381571450066,440.74
LMST01010149_10-11_0_0_ring,228.9574247289535,440.74
LMST01010149_12-13_0_0_ring,225.66519344714845,440.74
LMST01010152_1-3_0_0_chain,228.59382081050182,458.71
LMST01010152_12-13_0_0_ring,221.67346807128916,458.71
LMST01010158_17-18_0_0_ring,228.84608413160743,542.69
LMST01010164_15-16_0_0_ring,219.73009416873447,432.71
LMST01010167_1-3_0_0_chain,226.55341323109542,426.71
LMST01010167_12-13_0_0_ring,220.2078154291215,426.71
LMST01010168_1-3_0_0_chain,223.3519339831521,412.68
LMST01010168_12-13_0_0_ring,217.10876442932403,412.68
LMST01010169_1-3_0_0_chain,231.11612441895366,444.72
